,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169
v11,37.0,41.0,18.0,32.0,15.0,33.0,25.0,23.0,42.0,18.0,0.0,20.0,26.0,21.0,58.0,28.0,39.0,14.0,27.0,20.0,34.0,40.0,21.0,11.0,10.0,17.0,36.0,15.0,17.0,23.0,38.0,25.0,35.0,10.0,12.0,25.0,27.0,20.0,11.0,49.0,29.0,21.0,40.0,10.0,1.0,42.0,34.0,34.0,25.0,36.0,9.0,52.0,18.0,16.0,7.0,44.0,35.0,26.0,22.0,13.0,36.0,11.0,13.0,28.0,46.0,12.0,17.0,7.0,31.0,6.0,13.0,32.0,19.0,33.0,8.0,14.0,20.0,44.0,22.0,38.0,7.0,55.0,48.0,42.0,50.0,34.0,52.0,21.0,16.0,18.0,8.0,11.0,14.0,16.0,35.0,14.0,19.0,9.0,8.0,15.0,10.0,16.0,9.0,22.0,14.0,24.0,16.0,16.0,24.0,18.0,24.0,23.0,26.0,6.0,2.0,1.0,13.0,18.0,8.0,32.0,7.0,14.0,33.0,20.0,34.0,9.0,15.0,21.0,23.0,8.0,42.0,40.0,32.0,37.0,35.0,22.0,19.0,17.0,22.0,41.0,39.0,46.0,43.0,28.0,25.0,29.0,24.0,26.0,35.0,30.0,28.0,29.0,27.0,47.0,44.0,32.0,30.0,23.0,35.0,32.0,34.0,31.0,37.0,34.0,53.0,46.0,48.0,50.0,48.0,41.0,43.0,45.0,19.0,15.0,17.0,25.0,13.0,49.0,31.0,50.0,12.0,32.0,38.0,37.0,40.0,56.0,51.0,19.0,14.0,25.0
v12,23.0,33.0,38.0,36.0,33.0,37.0,45.0,29.0,46.0,14.0,20.0,0.0,6.0,25.0,62.0,8.0,29.0,10.0,31.0,40.0,26.0,32.0,25.0,29.0,30.0,23.0,40.0,17.0,3.0,9.0,42.0,11.0,25.0,12.0,32.0,29.0,31.0,6.0,15.0,53.0,33.0,27.0,44.0,10.0,19.0,46.0,38.0,20.0,29.0,40.0,11.0,56.0,38.0,4.0,13.0,48.0,21.0,30.0,8.0,9.0,22.0,13.0,17.0,32.0,50.0,20.0,9.0,13.0,23.0,14.0,7.0,24.0,11.0,25.0,16.0,6.0,12.0,48.0,14.0,30.0,15.0,59.0,52.0,46.0,54.0,38.0,56.0,41.0,36.0,22.0,12.0,31.0,34.0,36.0,39.0,34.0,23.0,27.0,28.0,21.0,30.0,20.0,29.0,26.0,18.0,28.0,20.0,36.0,44.0,38.0,28.0,27.0,30.0,26.0,22.0,21.0,19.0,8.0,12.0,22.0,13.0,6.0,23.0,10.0,24.0,15.0,5.0,11.0,13.0,14.0,46.0,44.0,36.0,41.0,39.0,40.0,37.0,35.0,26.0,45.0,43.0,50.0,47.0,34.0,31.0,33.0,28.0,30.0,39.0,34.0,32.0,33.0,31.0,51.0,48.0,36.0,34.0,3.0,39.0,36.0,38.0,35.0,41.0,38.0,57.0,50.0,52.0,54.0,52.0,45.0,47.0,49.0,39.0,35.0,37.0,43.0,7.0,53.0,37.0,54.0,8.0,36.0,42.0,41.0,44.0,60.0,55.0,1.0,10.0,5.0
v13,17.0,27.0,44.0,36.0,39.0,31.0,51.0,35.0,40.0,20.0,26.0,6.0,0.0,21.0,56.0,2.0,23.0,16.0,25.0,46.0,20.0,26.0,25.0,35.0,36.0,29.0,34.0,23.0,9.0,3.0,36.0,5.0,19.0,18.0,38.0,29.0,31.0,6.0,15.0,47.0,33.0,33.0,38.0,16.0,25.0,40.0,32.0,14.0,23.0,34.0,17.0,50.0,44.0,10.0,19.0,42.0,15.0,24.0,4.0,15.0,16.0,19.0,13.0,26.0,44.0,26.0,9.0,19.0,17.0,20.0,13.0,18.0,7.0,19.0,22.0,12.0,6.0,42.0,8.0,24.0,21.0,53.0,46.0,40.0,48.0,32.0,50.0,47.0,42.0,28.0,18.0,37.0,40.0,42.0,33.0,40.0,23.0,33.0,34.0,27.0,36.0,26.0,35.0,20.0,12.0,22.0,14.0,42.0,50.0,44.0,22.0,23.0,24.0,32.0,28.0,27.0,25.0,8.0,18.0,16.0,19.0,12.0,17.0,6.0,18.0,21.0,11.0,5.0,7.0,20.0,40.0,38.0,30.0,35.0,33.0,46.0,43.0,41.0,32.0,39.0,37.0,44.0,41.0,40.0,37.0,39.0,34.0,36.0,39.0,28.0,26.0,29.0,27.0,45.0,42.0,30.0,28.0,3.0,33.0,30.0,34.0,31.0,35.0,32.0,51.0,44.0,46.0,48.0,46.0,39.0,41.0,43.0,45.0,41.0,43.0,49.0,13.0,47.0,43.0,48.0,14.0,42.0,36.0,37.0,38.0,54.0,49.0,7.0,16.0,1.0
v14,32.0,36.0,23.0,15.0,18.0,12.0,30.0,14.0,21.0,39.0,21.0,25.0,21.0,0.0,37.0,23.0,34.0,35.0,22.0,25.0,29.0,35.0,4.0,14.0,15.0,8.0,15.0,36.0,22.0,18.0,17.0,20.0,30.0,31.0,17.0,8.0,10.0,19.0,10.0,28.0,12.0,12.0,19.0,29.0,20.0,21.0,13.0,29.0,20.0,15.0,30.0,31.0,23.0,23.0,14.0,23.0,30.0,21.0,17.0,34.0,31.0,32.0,8.0,23.0,25.0,33.0,16.0,26.0,26.0,27.0,20.0,27.0,14.0,28.0,29.0,19.0,15.0,23.0,17.0,33.0,28.0,34.0,27.0,21.0,29.0,29.0,31.0,26.0,21.0,7.0,13.0,16.0,19.0,21.0,14.0,19.0,2.0,12.0,13.0,6.0,15.0,5.0,14.0,1.0,9.0,3.0,11.0,21.0,29.0,23.0,3.0,2.0,5.0,27.0,23.0,22.0,34.0,17.0,27.0,27.0,28.0,21.0,28.0,15.0,29.0,30.0,20.0,16.0,18.0,29.0,21.0,19.0,27.0,16.0,14.0,25.0,22.0,20.0,11.0,20.0,18.0,25.0,22.0,19.0,16.0,18.0,13.0,15.0,18.0,9.0,7.0,8.0,6.0,26.0,23.0,11.0,9.0,22.0,14.0,11.0,13.0,10.0,16.0,13.0,32.0,25.0,27.0,29.0,27.0,20.0,22.0,24.0,24.0,20.0,22.0,28.0,32.0,28.0,22.0,29.0,33.0,21.0,17.0,16.0,19.0,35.0,30.0,26.0,35.0,20.0
v15,39.0,31.0,56.0,26.0,43.0,25.0,35.0,35.0,16.0,76.0,58.0,62.0,56.0,37.0,0.0,54.0,33.0,72.0,31.0,42.0,36.0,30.0,37.0,47.0,48.0,41.0,22.0,73.0,59.0,53.0,20.0,51.0,37.0,68.0,50.0,33.0,31.0,56.0,47.0,9.0,29.0,37.0,18.0,66.0,57.0,16.0,24.0,42.0,33.0,22.0,67.0,6.0,40.0,60.0,51.0,14.0,41.0,32.0,54.0,71.0,40.0,69.0,45.0,30.0,12.0,70.0,53.0,63.0,39.0,64.0,57.0,38.0,51.0,37.0,66.0,56.0,50.0,14.0,48.0,32.0,65.0,3.0,10.0,16.0,8.0,24.0,6.0,37.0,54.0,40.0,50.0,49.0,44.0,46.0,23.0,56.0,39.0,49.0,50.0,43.0,52.0,42.0,51.0,36.0,44.0,34.0,42.0,42.0,34.0,44.0,34.0,35.0,32.0,64.0,60.0,59.0,71.0,54.0,64.0,40.0,65.0,58.0,39.0,52.0,38.0,67.0,57.0,51.0,49.0,66.0,16.0,18.0,26.0,21.0,23.0,36.0,39.0,41.0,36.0,17.0,19.0,12.0,15.0,30.0,33.0,29.0,34.0,32.0,23.0,28.0,30.0,29.0,31.0,11.0,14.0,26.0,28.0,59.0,23.0,26.0,24.0,27.0,21.0,24.0,5.0,12.0,10.0,8.0,10.0,17.0,15.0,13.0,41.0,45.0,43.0,33.0,69.0,9.0,27.0,8.0,70.0,26.0,20.0,21.0,18.0,2.0,7.0,63.0,72.0,57.0
v16,15.0,25.0,46.0,38.0,41.0,29.0,53.0,37.0,38.0,22.0,28.0,8.0,2.0,23.0,54.0,0.0,21.0,18.0,23.0,48.0,18.0,24.0,27.0,37.0,38.0,31.0,32.0,25.0,11.0,5.0,34.0,3.0,17.0,20.0,40.0,31.0,33.0,8.0,17.0,45.0,35.0,35.0,36.0,18.0,27.0,38.0,30.0,12.0,21.0,32.0,19.0,48.0,46.0,12.0,21.0,40.0,13.0,22.0,6.0,17.0,14.0,21.0,15.0,24.0,42.0,28.0,11.0,21.0,15.0,22.0,15.0,16.0,9.0,17.0,24.0,14.0,8.0,40.0,6.0,22.0,23.0,51.0,44.0,38.0,46.0,30.0,48.0,49.0,44.0,30.0,20.0,39.0,42.0,44.0,31.0,42.0,25.0,35.0,36.0,29.0,38.0,28.0,37.0,22.0,14.0,20.0,12.0,44.0,52.0,46.0,24.0,25.0,22.0,34.0,30.0,29.0,27.0,10.0,20.0,14.0,21.0,14.0,15.0,8.0,16.0,23.0,13.0,7.0,5.0,22.0,38.0,36.0,28.0,33.0,31.0,48.0,45.0,43.0,34.0,37.0,35.0,42.0,39.0,42.0,39.0,41.0,36.0,38.0,41.0,30.0,28.0,31.0,29.0,43.0,40.0,28.0,26.0,5.0,35.0,32.0,36.0,33.0,33.0,30.0,49.0,42.0,44.0,46.0,44.0,37.0,39.0,41.0,47.0,43.0,45.0,51.0,15.0,45.0,45.0,46.0,16.0,44.0,38.0,39.0,36.0,52.0,47.0,9.0,18.0,3.0
v17,6.0,4.0,57.0,49.0,52.0,22.0,64.0,48.0,29.0,43.0,39.0,29.0,23.0,34.0,33.0,21.0,0.0,39.0,12.0,59.0,5.0,3.0,38.0,48.0,49.0,42.0,23.0,40.0,26.0,20.0,21.0,18.0,4.0,35.0,51.0,42.0,44.0,23.0,28.0,32.0,46.0,46.0,27.0,33.0,38.0,25.0,21.0,9.0,14.0,19.0,34.0,35.0,57.0,27.0,32.0,27.0,8.0,13.0,21.0,38.0,7.0,36.0,26.0,11.0,29.0,39.0,22.0,32.0,8.0,33.0,26.0,7.0,20.0,6.0,35.0,25.0,19.0,19.0,17.0,1.0,34.0,30.0,23.0,17.0,25.0,9.0,27.0,60.0,55.0,41.0,31.0,50.0,53.0,55.0,24.0,53.0,36.0,46.0,47.0,40.0,49.0,39.0,48.0,33.0,25.0,31.0,23.0,55.0,63.0,57.0,35.0,36.0,33.0,45.0,41.0,40.0,38.0,21.0,31.0,7.0,32.0,25.0,6.0,19.0,5.0,34.0,24.0,18.0,16.0,33.0,17.0,15.0,7.0,22.0,20.0,59.0,56.0,54.0,45.0,30.0,28.0,35.0,32.0,53.0,50.0,52.0,47.0,49.0,52.0,41.0,39.0,42.0,40.0,34.0,31.0,39.0,37.0,26.0,46.0,43.0,47.0,44.0,44.0,41.0,28.0,21.0,23.0,25.0,33.0,26.0,28.0,30.0,58.0,54.0,56.0,62.0,36.0,38.0,56.0,37.0,37.0,55.0,49.0,50.0,47.0,31.0,36.0,30.0,39.0,24.0
v18,33.0,43.0,30.0,46.0,29.0,47.0,39.0,37.0,56.0,6.0,14.0,10.0,16.0,35.0,72.0,18.0,39.0,0.0,41.0,32.0,36.0,42.0,35.0,25.0,24.0,31.0,50.0,9.0,13.0,19.0,52.0,21.0,35.0,4.0,24.0,39.0,41.0,16.0,25.0,63.0,43.0,35.0,54.0,6.0,15.0,56.0,48.0,30.0,39.0,50.0,5.0,66.0,32.0,12.0,21.0,58.0,31.0,40.0,18.0,1.0,32.0,5.0,27.0,42.0,60.0,12.0,19.0,9.0,33.0,8.0,15.0,34.0,21.0,35.0,8.0,16.0,22.0,58.0,24.0,40.0,7.0,69.0,62.0,56.0,64.0,48.0,66.0,35.0,28.0,32.0,22.0,23.0,28.0,28.0,49.0,26.0,33.0,23.0,22.0,29.0,22.0,30.0,21.0,36.0,28.0,38.0,30.0,30.0,38.0,30.0,38.0,37.0,40.0,18.0,14.0,13.0,11.0,18.0,8.0,32.0,7.0,14.0,33.0,20.0,34.0,7.0,15.0,21.0,23.0,6.0,56.0,54.0,46.0,51.0,49.0,36.0,33.0,31.0,36.0,55.0,53.0,60.0,57.0,42.0,39.0,43.0,38.0,40.0,49.0,44.0,42.0,43.0,41.0,61.0,58.0,46.0,44.0,13.0,49.0,46.0,48.0,45.0,51.0,48.0,67.0,60.0,62.0,64.0,62.0,55.0,57.0,59.0,31.0,27.0,29.0,39.0,3.0,63.0,45.0,64.0,2.0,46.0,52.0,51.0,54.0,70.0,65.0,9.0,2.0,15.0
v19,10.0,14.0,45.0,37.0,40.0,10.0,52.0,36.0,17.0,45.0,27.0,31.0,25.0,22.0,31.0,23.0,12.0,41.0,0.0,47.0,7.0,13.0,26.0,36.0,37.0,30.0,11.0,42.0,28.0,22.0,11.0,20.0,8.0,37.0,39.0,30.0,32.0,25.0,16.0,22.0,34.0,34.0,15.0,35.0,26.0,15.0,9.0,11.0,2.0,9.0,36.0,25.0,45.0,29.0,20.0,17.0,10.0,1.0,23.0,40.0,9.0,38.0,14.0,1.0,19.0,39.0,22.0,32.0,8.0,33.0,26.0,7.0,20.0,6.0,35.0,25.0,19.0,17.0,17.0,11.0,34.0,28.0,21.0,15.0,23.0,7.0,25.0,48.0,43.0,29.0,19.0,38.0,41.0,43.0,12.0,41.0,24.0,34.0,35.0,28.0,37.0,27.0,36.0,21.0,13.0,19.0,11.0,43.0,51.0,45.0,23.0,24.0,21.0,33.0,29.0,28.0,40.0,23.0,33.0,9.0,34.0,27.0,8.0,21.0,7.0,36.0,26.0,20.0,18.0,35.0,15.0,13.0,5.0,10.0,8.0,47.0,44.0,42.0,33.0,18.0,16.0,23.0,20.0,41.0,38.0,40.0,35.0,37.0,40.0,29.0,27.0,30.0,28.0,22.0,19.0,27.0,25.0,28.0,34.0,31.0,35.0,32.0,32.0,29.0,26.0,19.0,21.0,23.0,21.0,14.0,16.0,18.0,46.0,42.0,44.0,50.0,38.0,26.0,44.0,25.0,39.0,43.0,37.0,38.0,35.0,29.0,24.0,32.0,41.0,26.0
v20,57.0,61.0,14.0,16.0,7.0,37.0,9.0,11.0,30.0,34.0,20.0,40.0,46.0,25.0,42.0,48.0,59.0,32.0,47.0,0.0,54.0,60.0,21.0,11.0,10.0,17.0,36.0,31.0,37.0,43.0,38.0,45.0,55.0,28.0,8.0,17.0,15.0,40.0,31.0,33.0,13.0,13.0,32.0,30.0,21.0,34.0,38.0,54.0,45.0,40.0,29.0,36.0,2.0,36.0,27.0,32.0,55.0,46.0,42.0,31.0,56.0,27.0,33.0,48.0,30.0,28.0,37.0,27.0,51.0,26.0,33.0,52.0,39.0,53.0,24.0,34.0,40.0,44.0,42.0,58.0,25.0,39.0,40.0,46.0,38.0,54.0,36.0,5.0,12.0,18.0,28.0,9.0,6.0,4.0,35.0,14.0,23.0,13.0,12.0,19.0,10.0,20.0,11.0,26.0,34.0,28.0,36.0,4.0,8.0,2.0,24.0,23.0,26.0,22.0,18.0,19.0,29.0,38.0,28.0,52.0,27.0,34.0,53.0,40.0,54.0,25.0,35.0,41.0,43.0,26.0,42.0,44.0,52.0,37.0,39.0,6.0,3.0,5.0,14.0,29.0,31.0,30.0,27.0,12.0,9.0,13.0,12.0,10.0,19.0,18.0,20.0,17.0,19.0,31.0,28.0,20.0,22.0,43.0,19.0,16.0,18.0,15.0,21.0,18.0,37.0,38.0,36.0,34.0,32.0,33.0,31.0,29.0,1.0,5.0,3.0,9.0,33.0,33.0,15.0,34.0,32.0,16.0,22.0,21.0,24.0,40.0,35.0,39.0,30.0,45.0
m0,3.0,7.0,52.0,44.0,47.0,17.0,59.0,43.0,24.0,40.0,34.0,26.0,20.0,29.0,36.0,18.0,5.0,36.0,7.0,54.0,0.0,6.0,33.0,43.0,44.0,37.0,18.0,37.0,23.0,17.0,16.0,15.0,1.0,32.0,46.0,37.0,39.0,20.0,23.0,27.0,41.0,41.0,22.0,30.0,33.0,20.0,16.0,6.0,9.0,14.0,31.0,30.0,52.0,24.0,27.0,22.0,5.0,8.0,18.0,35.0,4.0,33.0,21.0,6.0,24.0,34.0,17.0,27.0,3.0,28.0,21.0,2.0,15.0,1.0,30.0,20.0,14.0,22.0,12.0,4.0,29.0,33.0,26.0,20.0,28.0,12.0,30.0,55.0,50.0,36.0,26.0,45.0,48.0,50.0,19.0,48.0,31.0,41.0,42.0,35.0,44.0,34.0,43.0,28.0,20.0,26.0,18.0,50.0,58.0,52.0,30.0,31.0,28.0,40.0,36.0,35.0,35.0,18.0,28.0,4.0,29.0,22.0,3.0,16.0,2.0,31.0,21.0,15.0,13.0,30.0,20.0,18.0,10.0,17.0,15.0,54.0,51.0,49.0,40.0,25.0,23.0,30.0,27.0,48.0,45.0,47.0,42.0,44.0,47.0,36.0,34.0,37.0,35.0,29.0,26.0,34.0,32.0,23.0,41.0,38.0,42.0,39.0,39.0,36.0,31.0,24.0,26.0,28.0,28.0,21.0,23.0,25.0,53.0,49.0,51.0,57.0,33.0,33.0,51.0,32.0,34.0,50.0,44.0,45.0,42.0,34.0,31.0,27.0,36.0,21.0
m1,9.0,1.0,58.0,50.0,53.0,23.0,65.0,49.0,30.0,46.0,40.0,32.0,26.0,35.0,30.0,24.0,3.0,42.0,13.0,60.0,6.0,0.0,39.0,49.0,50.0,43.0,24.0,43.0,29.0,23.0,22.0,21.0,7.0,38.0,52.0,43.0,45.0,26.0,29.0,33.0,47.0,47.0,28.0,36.0,39.0,26.0,22.0,12.0,15.0,20.0,37.0,36.0,58.0,30.0,33.0,28.0,11.0,14.0,24.0,41.0,10.0,39.0,27.0,12.0,30.0,40.0,23.0,33.0,9.0,34.0,27.0,8.0,21.0,7.0,36.0,26.0,20.0,16.0,18.0,2.0,35.0,27.0,20.0,14.0,22.0,6.0,24.0,61.0,56.0,42.0,32.0,51.0,54.0,56.0,25.0,54.0,37.0,47.0,48.0,41.0,50.0,40.0,49.0,34.0,26.0,32.0,24.0,56.0,64.0,58.0,36.0,37.0,34.0,46.0,42.0,41.0,41.0,24.0,34.0,10.0,35.0,28.0,9.0,22.0,8.0,37.0,27.0,21.0,19.0,36.0,18.0,16.0,8.0,23.0,21.0,60.0,57.0,55.0,46.0,31.0,29.0,36.0,33.0,54.0,51.0,53.0,48.0,50.0,53.0,42.0,40.0,43.0,41.0,35.0,32.0,40.0,38.0,29.0,47.0,44.0,48.0,45.0,45.0,42.0,29.0,22.0,24.0,26.0,34.0,27.0,29.0,31.0,59.0,55.0,57.0,63.0,39.0,39.0,57.0,38.0,40.0,56.0,50.0,51.0,48.0,32.0,37.0,33.0,42.0,27.0
m2,36.0,40.0,19.0,11.0,14.0,16.0,26.0,10.0,21.0,39.0,21.0,25.0,25.0,4.0,37.0,27.0,38.0,35.0,26.0,21.0,33.0,39.0,0.0,10.0,11.0,4.0,15.0,36.0,22.0,22.0,17.0,24.0,34.0,31.0,13.0,4.0,6.0,19.0,10.0,28.0,8.0,8.0,19.0,29.0,20.0,21.0,17.0,33.0,24.0,19.0,30.0,31.0,19.0,23.0,14.0,23.0,34.0,25.0,21.0,34.0,35.0,32.0,12.0,27.0,25.0,33.0,16.0,26.0,30.0,27.0,20.0,31.0,18.0,32.0,29.0,19.0,19.0,23.0,21.0,37.0,28.0,34.0,27.0,25.0,29.0,33.0,31.0,22.0,17.0,3.0,13.0,12.0,15.0,17.0,14.0,19.0,2.0,12.0,13.0,6.0,15.0,5.0,14.0,5.0,13.0,7.0,15.0,17.0,25.0,19.0,3.0,2.0,5.0,27.0,23.0,22.0,34.0,17.0,27.0,31.0,28.0,21.0,32.0,19.0,33.0,30.0,20.0,20.0,22.0,29.0,21.0,23.0,31.0,16.0,18.0,21.0,18.0,16.0,7.0,20.0,18.0,25.0,22.0,15.0,12.0,14.0,9.0,11.0,14.0,9.0,7.0,8.0,6.0,26.0,23.0,11.0,9.0,22.0,14.0,11.0,13.0,10.0,16.0,13.0,32.0,25.0,27.0,29.0,27.0,20.0,22.0,24.0,20.0,16.0,18.0,24.0,32.0,28.0,18.0,29.0,33.0,17.0,17.0,16.0,19.0,35.0,30.0,26.0,35.0,24.0
m3,46.0,50.0,9.0,21.0,4.0,26.0,16.0,12.0,31.0,29.0,11.0,29.0,35.0,14.0,47.0,37.0,48.0,25.0,36.0,11.0,43.0,49.0,10.0,0.0,1.0,6.0,25.0,26.0,26.0,32.0,27.0,34.0,44.0,21.0,3.0,14.0,16.0,29.0,20.0,38.0,18.0,10.0,29.0,19.0,10.0,31.0,27.0,43.0,34.0,29.0,20.0,41.0,9.0,25.0,16.0,33.0,44.0,35.0,31.0,24.0,45.0,22.0,22.0,37.0,35.0,23.0,26.0,16.0,40.0,17.0,22.0,41.0,28.0,42.0,19.0,23.0,29.0,33.0,31.0,47.0,18.0,44.0,37.0,35.0,39.0,43.0,41.0,12.0,7.0,7.0,17.0,2.0,5.0,7.0,24.0,9.0,12.0,2.0,3.0,8.0,5.0,9.0,4.0,15.0,23.0,17.0,25.0,7.0,15.0,9.0,13.0,12.0,15.0,17.0,13.0,12.0,24.0,27.0,17.0,41.0,18.0,23.0,42.0,29.0,43.0,20.0,24.0,30.0,32.0,19.0,31.0,33.0,41.0,26.0,28.0,11.0,8.0,6.0,11.0,30.0,28.0,35.0,32.0,17.0,14.0,18.0,13.0,15.0,24.0,19.0,17.0,18.0,16.0,36.0,33.0,21.0,19.0,32.0,24.0,21.0,23.0,20.0,26.0,23.0,42.0,35.0,37.0,39.0,37.0,30.0,32.0,34.0,10.0,6.0,8.0,14.0,22.0,38.0,20.0,39.0,23.0,21.0,27.0,26.0,29.0,45.0,40.0,28.0,25.0,34.0
m4,47.0,51.0,8.0,22.0,5.0,27.0,15.0,13.0,32.0,28.0,10.0,30.0,36.0,15.0,48.0,38.0,49.0,24.0,37.0,10.0,44.0,50.0,11.0,1.0,0.0,7.0,26.0,25.0,27.0,33.0,28.0,35.0,45.0,20.0,2.0,15.0,17.0,30.0,21.0,39.0,19.0,11.0,30.0,20.0,11.0,32.0,28.0,44.0,35.0,30.0,19.0,42.0,8.0,26.0,17.0,34.0,45.0,36.0,32.0,23.0,46.0,21.0,23.0,38.0,36.0,22.0,27.0,17.0,41.0,16.0,23.0,42.0,29.0,43.0,18.0,24.0,30.0,34.0,32.0,48.0,17.0,45.0,38.0,36.0,40.0,44.0,42.0,11.0,6.0,8.0,18.0,1.0,4.0,6.0,25.0,8.0,13.0,3.0,2.0,9.0,4.0,10.0,3.0,16.0,24.0,18.0,26.0,6.0,14.0,8.0,14.0,13.0,16.0,16.0,12.0,11.0,23.0,28.0,18.0,42.0,17.0,24.0,43.0,30.0,44.0,19.0,25.0,31.0,33.0,18.0,32.0,34.0,42.0,27.0,29.0,12.0,9.0,7.0,12.0,31.0,29.0,36.0,33.0,18.0,15.0,19.0,14.0,16.0,25.0,20.0,18.0,19.0,17.0,37.0,34.0,22.0,20.0,33.0,25.0,22.0,24.0,21.0,27.0,24.0,43.0,36.0,38.0,40.0,38.0,31.0,33.0,35.0,9.0,5.0,7.0,15.0,23.0,39.0,21.0,40.0,22.0,22.0,28.0,27.0,30.0,46.0,41.0,29.0,24.0,35.0
m5,40.0,44.0,15.0,15.0,10.0,20.0,22.0,6.0,25.0,35.0,17.0,23.0,29.0,8.0,41.0,31.0,42.0,31.0,30.0,17.0,37.0,43.0,4.0,6.0,7.0,0.0,19.0,32.0,20.0,26.0,21.0,28.0,38.0,27.0,9.0,8.0,10.0,23.0,14.0,32.0,12.0,4.0,23.0,25.0,16.0,25.0,21.0,37.0,28.0,23.0,26.0,35.0,15.0,19.0,10.0,27.0,38.0,29.0,25.0,30.0,39.0,28.0,16.0,31.0,29.0,29.0,20.0,22.0,34.0,23.0,16.0,35.0,22.0,36.0,25.0,17.0,23.0,27.0,25.0,41.0,24.0,38.0,31.0,29.0,33.0,37.0,35.0,18.0,13.0,1.0,11.0,8.0,11.0,13.0,18.0,15.0,6.0,8.0,9.0,2.0,11.0,3.0,10.0,9.0,17.0,11.0,19.0,13.0,21.0,15.0,7.0,6.0,9.0,23.0,19.0,18.0,30.0,21.0,23.0,35.0,24.0,17.0,36.0,23.0,37.0,26.0,18.0,24.0,26.0,25.0,25.0,27.0,35.0,20.0,22.0,17.0,14.0,12.0,5.0,24.0,22.0,29.0,26.0,11.0,8.0,12.0,7.0,9.0,18.0,13.0,11.0,12.0,10.0,30.0,27.0,15.0,13.0,26.0,18.0,15.0,17.0,14.0,20.0,17.0,36.0,29.0,31.0,33.0,31.0,24.0,26.0,28.0,16.0,12.0,14.0,20.0,28.0,32.0,14.0,33.0,29.0,15.0,21.0,20.0,23.0,39.0,34.0,22.0,31.0,28.0
m6,21.0,25.0,34.0,26.0,29.0,3.0,41.0,25.0,6.0,54.0,36.0,40.0,34.0,15.0,22.0,32.0,23.0,50.0,11.0,36.0,18.0,24.0,15.0,25.0,26.0,19.0,0.0,51.0,37.0,31.0,2.0,29.0,19.0,46.0,28.0,19.0,21.0,34.0,25.0,13.0,23.0,23.0,4.0,44.0,35.0,6.0,2.0,20.0,11.0,4.0,45.0,16.0,34.0,38.0,29.0,8.0,19.0,10.0,32.0,49.0,20.0,47.0,23.0,12.0,10.0,48.0,31.0,41.0,17.0,42.0,35.0,16.0,29.0,17.0,44.0,34.0,28.0,8.0,26.0,22.0,43.0,19.0,12.0,10.0,14.0,18.0,16.0,37.0,32.0,18.0,28.0,27.0,30.0,32.0,1.0,34.0,17.0,27.0,28.0,21.0,30.0,20.0,29.0,14.0,22.0,12.0,20.0,32.0,40.0,34.0,12.0,13.0,10.0,42.0,38.0,37.0,49.0,32.0,42.0,18.0,43.0,36.0,17.0,30.0,18.0,45.0,35.0,29.0,27.0,44.0,6.0,8.0,16.0,1.0,3.0,36.0,33.0,31.0,22.0,7.0,5.0,12.0,9.0,30.0,27.0,29.0,24.0,26.0,29.0,18.0,16.0,19.0,17.0,11.0,8.0,16.0,14.0,37.0,23.0,20.0,24.0,21.0,21.0,18.0,17.0,10.0,12.0,14.0,12.0,5.0,7.0,9.0,35.0,31.0,33.0,39.0,47.0,15.0,33.0,14.0,48.0,32.0,26.0,27.0,24.0,20.0,15.0,41.0,50.0,35.0
