,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v15,10,32,45,33,58,68,62,24,21,23,60,50,64,50,0,66,51,58,17,40,70,9,28,42,68,60,47,36,19,46,24,29,13,39,53,56,59,29,8,18,24,74,40,31,24,30,51,16,19,31,53,24,43,36,36,24,11,65,40,48,60,31,36,38,14,50,38,56,65,44,36,58,21,41,20,44,32,42,53,35
v16,76,34,21,33,32,26,16,42,49,47,6,36,2,58,66,0,15,8,49,46,20,69,38,44,18,6,19,44,47,20,42,61,53,27,61,10,41,37,72,52,42,12,26,37,48,36,15,50,49,35,17,42,23,34,32,44,59,15,26,56,6,35,42,28,60,16,28,46,5,22,52,26,47,25,46,22,34,50,61,31
v17,61,19,14,18,31,25,15,27,34,32,9,35,13,57,51,15,0,7,34,45,19,54,31,43,17,9,12,43,32,17,27,46,38,28,60,5,40,22,57,37,27,23,19,24,33,33,8,35,34,20,16,27,22,29,29,31,44,14,11,55,9,20,41,21,45,5,23,45,14,23,43,25,32,20,31,13,25,49,60,16
v18,68,26,21,25,38,32,22,34,41,39,6,42,6,64,58,8,7,0,41,52,26,61,38,50,24,2,11,50,39,24,34,53,45,21,67,8,47,29,64,44,34,18,18,29,40,40,15,42,41,27,23,34,15,26,24,38,51,21,18,62,12,27,48,20,52,8,20,52,11,16,50,32,39,17,38,14,26,56,67,23
v19,27,33,28,34,41,51,45,7,8,36,43,33,47,37,17,49,34,41,0,25,53,20,11,25,51,43,32,23,2,29,37,16,20,48,40,39,42,14,23,5,7,57,39,44,11,13,34,9,32,32,36,13,42,49,49,11,24,48,23,35,43,14,21,41,11,33,43,39,48,43,23,41,8,40,15,33,45,29,40,24
v20,50,58,31,59,18,28,30,20,23,61,46,10,46,12,40,46,45,52,25,0,30,43,14,2,28,52,57,10,25,28,62,35,45,73,15,44,19,39,46,26,28,34,64,69,22,12,37,34,57,57,29,38,67,74,74,18,49,31,38,10,40,39,4,66,34,50,68,16,41,68,26,20,21,65,40,58,70,10,15,49
v21,80,38,25,37,12,6,8,46,53,51,20,20,20,38,70,20,19,26,53,30,0,73,42,28,2,26,31,40,51,24,46,65,57,47,41,18,21,41,76,56,46,8,38,43,52,40,19,54,53,39,17,46,41,48,48,48,63,5,30,36,14,39,34,40,64,24,42,26,15,42,56,12,51,39,50,32,44,40,41,35
v22,7,35,48,36,61,71,65,27,20,32,63,53,67,41,9,69,54,61,20,43,73,0,31,45,71,63,50,33,22,49,33,20,16,44,44,59,62,32,3,17,27,77,43,40,21,33,54,19,28,34,56,27,46,45,45,25,20,68,43,45,63,34,39,41,9,53,41,59,68,47,27,61,22,44,23,47,41,33,44,38
v23,38,44,17,45,30,40,34,6,11,47,32,22,36,26,28,38,31,38,11,14,42,31,0,14,40,38,43,12,11,18,48,23,31,59,29,30,31,25,34,14,14,46,50,55,10,2,23,20,43,43,25,24,53,60,60,6,35,37,24,24,32,25,10,52,22,36,54,28,37,54,14,30,9,51,26,44,56,18,29,35
v24,52,56,29,57,16,26,28,18,25,59,44,8,44,14,42,44,43,50,25,2,28,45,14,0,26,50,55,12,23,26,60,37,43,71,17,42,17,37,48,28,26,32,62,67,24,12,35,32,55,55,27,36,65,72,72,20,47,29,36,12,38,37,6,64,36,48,66,14,39,66,28,18,23,63,38,56,68,12,17,47
v25,78,36,23,35,14,8,6,44,51,49,18,18,18,40,68,18,17,24,51,28,2,71,40,26,0,24,29,38,49,22,44,63,55,45,43,16,23,39,74,54,44,6,36,41,50,38,17,52,51,37,15,44,39,46,46,46,61,3,28,38,12,37,32,38,62,22,40,28,13,40,54,10,49,37,48,30,42,38,43,33
v26,70,28,21,27,38,32,22,36,43,41,6,42,6,64,60,6,9,2,43,52,26,63,38,50,24,0,13,50,41,24,36,55,47,21,67,8,47,31,66,46,36,18,20,31,42,40,15,44,43,29,23,36,17,28,26,38,53,21,20,62,12,29,48,22,54,10,22,52,11,16,50,32,41,19,40,16,28,56,67,25
v27,57,15,26,14,43,37,27,37,40,28,13,47,17,69,47,19,12,11,32,57,31,50,43,55,29,13,0,55,32,29,23,48,34,16,72,13,52,18,53,37,29,27,7,18,43,45,20,31,30,16,28,23,10,17,17,43,40,26,19,67,17,18,53,9,41,7,11,57,18,11,55,37,40,8,27,3,15,61,72,12
v28,40,56,29,57,28,38,32,18,15,59,44,20,44,14,36,44,43,50,23,10,40,33,12,12,38,50,55,0,23,26,60,25,43,71,17,42,29,37,36,18,26,44,62,67,12,10,35,32,55,55,27,36,65,72,72,12,47,35,36,12,38,37,6,64,24,48,66,26,39,66,16,28,15,63,38,56,68,6,17,47
v29,29,33,26,34,39,49,43,5,8,36,41,31,45,37,19,47,32,39,2,25,51,22,11,23,49,41,32,23,0,27,37,16,20,48,40,37,40,14,25,5,5,55,39,44,11,13,32,9,32,32,34,13,42,49,49,11,24,46,21,35,41,14,21,41,13,31,43,37,46,43,23,39,8,40,15,33,45,29,40,24
v30,56,30,3,31,14,22,16,22,29,33,18,18,18,40,46,20,17,24,29,28,24,49,18,26,22,24,29,26,27,0,34,41,33,45,43,16,23,17,52,32,22,28,36,41,28,16,9,30,29,29,7,22,39,46,46,24,39,19,10,38,14,15,24,38,40,22,40,28,19,40,32,12,27,37,26,30,42,32,43,21
v31,34,8,31,9,48,44,38,42,45,5,36,52,40,74,24,42,27,34,37,62,46,33,48,60,44,36,23,60,37,34,0,53,17,15,77,32,57,23,32,42,34,50,16,7,48,50,27,28,7,7,33,24,19,12,12,48,17,41,24,72,36,23,58,14,38,26,14,62,41,20,60,42,45,17,22,20,8,66,77,13
v32,19,49,40,50,53,63,57,19,12,52,55,45,59,27,29,61,46,53,16,35,65,20,23,37,63,55,48,25,16,41,53,0,36,64,26,51,54,30,21,11,19,69,55,60,13,25,46,25,48,48,48,29,58,65,65,17,40,60,35,37,55,30,31,57,15,45,59,51,60,59,9,53,14,56,31,49,61,25,30,40
v33,23,19,32,20,45,55,49,25,28,16,47,37,51,57,13,53,38,45,20,45,57,16,31,43,55,47,34,43,20,33,17,36,0,28,60,43,46,16,19,25,17,61,27,24,31,33,38,11,12,18,40,11,30,29,29,31,6,52,27,55,47,18,41,25,21,37,25,45,52,31,43,45,28,28,7,31,25,49,60,22
v34,49,15,42,14,59,53,43,53,56,20,27,63,27,85,39,27,28,21,48,73,47,44,59,71,45,21,16,71,48,45,15,64,28,0,88,29,68,34,45,53,45,39,9,10,59,61,36,39,22,16,44,35,6,7,5,59,32,42,35,83,33,34,69,7,49,23,5,73,32,5,71,53,56,8,33,15,7,77,88,24
v35,43,73,46,74,29,37,45,35,32,76,61,25,61,3,53,61,60,67,40,15,41,44,29,17,43,67,72,17,40,43,77,26,60,88,0,59,28,54,45,35,43,49,79,84,29,27,52,49,72,72,44,53,82,89,89,29,64,46,53,11,55,54,19,81,39,65,83,25,56,83,17,35,32,80,55,73,85,11,4,64
v36,66,24,13,23,30,24,14,32,39,37,4,34,8,56,56,10,5,8,39,44,18,59,30,42,16,8,13,42,37,16,32,51,43,29,59,0,39,27,62,42,32,18,20,27,38,32,7,40,39,25,15,32,23,30,30,34,49,13,16,54,4,25,40,22,50,6,24,44,9,24,42,24,37,21,36,14,26,48,59,21
v37,69,53,26,54,9,15,25,35,42,56,41,9,41,27,59,41,40,47,42,19,21,62,31,17,23,47,52,29,40,23,57,54,46,68,28,39,0,34,65,45,35,29,59,64,41,29,32,43,52,52,24,35,62,69,69,37,52,26,33,17,35,34,23,61,53,45,63,5,36,63,45,15,40,60,39,53,65,29,24,44
v38,39,19,16,20,29,39,33,19,22,22,31,29,35,51,29,37,22,29,14,39,41,32,25,37,39,31,18,37,14,17,23,30,16,34,54,27,34,0,35,19,11,45,25,30,25,27,22,13,18,18,24,5,28,35,35,25,22,36,11,49,31,2,35,27,23,21,29,39,36,29,37,29,22,26,9,19,31,43,54,10
v39,4,38,51,39,64,74,68,30,23,31,66,56,70,42,8,72,57,64,23,46,76,3,34,48,74,66,53,36,25,52,32,21,19,45,45,62,65,35,0,20,30,80,46,39,24,36,57,22,27,37,59,30,49,44,44,28,19,71,46,48,66,37,42,44,12,56,44,62,71,50,28,64,25,47,26,50,40,36,45,41
v40,24,38,31,39,44,54,48,10,3,41,46,36,50,32,18,52,37,44,5,26,56,17,14,28,54,46,37,18,5,32,42,11,25,53,35,42,45,19,20,0,10,60,44,49,6,16,37,14,37,37,39,18,47,54,54,8,29,51,26,30,46,19,22,46,8,36,48,42,51,48,18,44,5,45,20,38,50,24,35,29
v41,34,30,21,31,34,44,38,8,11,33,36,26,40,40,24,42,27,34,7,28,46,27,14,26,44,36,29,26,5,22,34,19,17,45,43,32,35,11,30,10,0,50,36,41,14,16,27,8,29,29,29,10,39,46,46,14,21,41,16,38,36,11,24,38,18,26,40,32,41,40,26,34,11,37,12,30,42,32,43,21
v42,84,42,29,41,20,14,12,50,57,55,14,24,12,46,74,12,23,18,57,34,8,77,46,32,6,18,27,44,55,28,50,69,61,39,49,18,29,45,80,60,50,0,34,45,56,44,23,58,57,43,21,50,33,42,40,52,67,9,34,44,14,43,38,36,68,24,36,34,9,34,60,16,55,33,54,30,42,44,49,39
v43,50,8,33,7,50,44,34,44,47,21,20,54,24,76,40,26,19,18,39,64,38,43,50,62,36,20,7,62,39,36,16,55,27,9,79,20,59,25,46,44,36,34,0,11,50,52,27,30,23,9,35,26,3,10,10,50,33,33,26,74,24,25,60,2,40,14,4,64,25,4,62,44,47,1,24,6,8,68,79,15
v44,41,11,38,10,55,49,39,49,52,10,31,59,35,81,31,37,24,29,44,69,43,40,55,67,41,31,18,67,44,41,7,60,24,10,84,27,64,30,39,49,41,45,11,0,55,57,32,35,12,12,40,31,14,5,5,55,22,38,31,79,31,30,65,9,45,21,9,69,36,15,67,49,52,12,29,15,3,73,84,20
v45,28,44,27,45,40,50,44,6,3,47,42,32,46,26,24,48,33,40,11,22,52,21,10,24,50,42,43,12,11,28,48,13,31,59,29,38,41,25,24,6,14,56,50,55,0,12,33,20,43,43,35,24,53,60,60,4,35,47,24,24,42,25,18,52,12,36,54,38,47,54,12,40,3,51,26,44,56,18,29,35
v46,40,46,19,47,28,38,32,8,13,49,34,20,34,24,30,36,33,40,13,12,40,33,2,12,38,40,45,10,13,16,50,25,33,61,27,32,29,27,36,16,16,44,52,57,12,0,25,22,45,45,23,26,55,62,62,8,37,35,26,22,30,27,8,54,24,38,56,26,35,56,16,28,11,53,28,46,58,16,27,37
v47,61,21,6,22,23,17,11,27,34,32,9,27,13,49,51,15,8,15,34,37,19,54,23,35,17,15,20,35,32,9,27,46,38,36,52,7,32,22,57,37,27,23,27,32,33,25,0,35,34,20,8,27,30,37,37,29,44,14,11,47,9,20,33,29,45,13,31,37,14,31,37,17,32,28,31,21,33,41,52,16
v48,26,24,29,25,42,52,46,14,17,27,44,34,48,46,16,50,35,42,9,34,54,19,20,32,52,44,31,32,9,30,28,25,11,39,49,40,43,13,22,14,8,58,30,35,20,22,35,0,23,23,37,8,33,40,40,20,15,49,24,44,44,15,30,32,10,34,34,40,49,34,32,42,17,31,6,28,36,38,49,19
v49,29,15,28,16,43,51,45,37,40,4,43,47,47,69,19,49,34,41,32,57,53,28,43,55,51,43,30,55,32,29,7,48,12,22,72,39,52,18,27,37,29,57,23,12,43,45,34,23,0,14,36,19,26,17,17,43,10,48,23,67,43,18,53,21,33,33,21,57,48,27,55,41,40,24,17,27,15,61,72,18
v50,41,1,26,2,43,37,31,37,40,12,29,47,33,69,31,35,20,27,32,57,39,34,43,55,37,29,16,55,32,29,7,48,18,16,72,25,52,18,37,37,29,43,9,12,43,45,20,23,14,0,28,19,12,17,17,43,24,34,19,67,29,18,53,9,33,19,11,57,34,13,55,37,40,10,17,13,13,61,72,8
v51,63,29,8,30,15,15,9,29,36,34,17,19,17,41,53,17,16,23,36,29,17,56,25,27,15,23,28,27,34,7,33,48,40,44,44,15,24,24,59,39,29,21,35,40,35,23,8,37,36,28,0,29,38,45,45,31,46,12,13,39,11,22,25,37,47,21,39,29,12,39,39,9,34,36,33,29,41,33,44,20
v52,34,20,21,21,34,44,38,18,21,23,36,28,40,50,24,42,27,34,13,38,46,27,24,36,44,36,23,36,13,22,24,29,11,35,53,32,35,5,30,18,10,50,26,31,24,26,27,8,19,19,29,0,29,36,36,24,17,41,16,48,36,7,34,28,18,26,30,38,41,30,36,34,21,27,4,20,32,42,53,11
v53,53,11,36,10,53,47,37,47,50,24,21,57,21,79,43,23,22,15,42,67,41,46,53,65,39,17,10,65,42,39,19,58,30,6,82,23,62,28,49,47,39,33,3,14,53,55,30,33,26,12,38,29,0,11,9,53,36,36,29,77,27,28,63,5,43,17,5,67,26,1,65,47,50,2,27,9,11,71,82,18
v54,46,16,43,15,60,54,44,54,57,13,28,64,32,86,36,34,29,26,49,74,48,45,60,72,46,28,17,72,49,46,12,65,29,7,89,30,69,35,44,54,46,42,10,5,60,62,37,40,17,17,45,36,11,0,2,60,25,43,36,84,34,35,70,8,50,24,6,74,33,12,72,54,57,9,34,16,4,78,89,25
v55,46,16,43,15,60,54,44,54,57,15,28,64,30,86,36,32,29,24,49,74,48,45,60,72,46,26,17,72,49,46,12,65,29,5,89,30,69,35,44,54,46,40,10,5,60,62,37,40,17,17,45,36,9,2,0,60,27,43,36,84,34,35,70,8,50,24,6,74,33,10,72,54,57,9,34,16,4,78,89,25
v56,32,44,23,45,36,46,40,6,5,47,38,28,42,26,24,44,31,38,11,18,48,25,6,20,46,38,43,12,11,24,48,17,31,59,29,34,37,25,28,8,14,52,50,55,4,8,29,20,43,43,31,24,53,60,60,0,35,43,24,24,38,25,14,52,16,36,54,34,43,54,12,36,3,51,26,44,56,18,29,35
v57,21,25,38,26,51,61,55,29,32,12,53,43,57,61,11,59,44,51,24,49,63,20,35,47,61,53,40,47,24,39,17,40,6,32,64,49,52,22,19,29,21,67,33,22,35,37,44,15,10,24,46,17,36,25,27,35,0,58,33,59,53,24,45,31,25,43,31,49,58,37,47,51,32,34,13,37,25,53,64,28
v58,75,33,20,32,17,11,3,41,48,46,15,21,15,43,65,15,14,21,48,31,5,68,37,29,3,21,26,35,46,19,41,60,52,42,46,13,26,36,71,51,41,9,33,38,47,35,14,49,48,34,12,41,36,43,43,43,58,0,25,41,9,34,29,35,59,19,37,31,10,37,51,11,46,34,45,27,39,35,46,30
v59,50,20,7,21,24,28,22,18,23,23,20,28,24,50,40,26,11,18,23,38,30,43,24,36,28,20,19,36,21,10,24,35,27,35,53,16,33,11,46,26,16,34,26,31,24,26,11,24,23,19,13,16,29,36,36,24,33,25,0,48,20,9,34,28,34,12,30,38,25,30,36,18,21,27,20,20,32,42,53,11
v60,52,68,41,69,24,30,40,30,27,71,56,20,56,10,48,56,55,62,35,10,36,45,24,12,38,62,67,12,35,38,72,37,55,83,11,54,17,49,48,30,38,44,74,79,24,22,47,44,67,67,39,48,77,84,84,24,59,41,48,0,50,49,14,76,36,60,78,14,51,78,28,30,27,75,50,68,80,12,7,59
v61,70,28,15,27,26,20,10,36,43,41,6,30,6,52,60,6,9,12,43,40,14,63,32,38,12,12,17,38,41,14,36,55,47,33,55,4,35,31,66,46,36,14,24,31,42,30,9,44,43,29,11,36,27,34,34,38,53,9,20,50,0,29,36,26,54,10,28,40,5,28,46,20,41,25,40,18,30,44,55,25
v62,41,19,14,20,27,37,31,19,22,22,29,29,33,51,31,35,20,27,14,39,39,34,25,37,37,29,18,37,14,15,23,30,18,34,54,25,34,2,37,19,11,43,25,30,25,27,20,15,18,18,22,7,28,35,35,25,24,34,9,49,29,0,35,27,25,19,29,39,34,29,37,27,22,26,11,19,31,43,54,10
v63,46,54,27,55,22,32,26,16,19,57,42,14,42,16,36,42,41,48,21,4,34,39,10,6,32,48,53,6,21,24,58,31,41,69,19,40,23,35,42,22,24,38,60,65,18,8,33,30,53,53,25,34,63,70,70,14,45,29,34,14,36,35,0,62,30,46,64,20,37,64,22,22,17,61,36,54,66,8,19,45
v64,48,8,35,7,52,46,36,46,49,19,22,56,26,78,38,28,21,20,41,66,40,41,52,64,38,22,9,64,41,38,14,57,25,7,81,22,61,27,44,46,38,36,2,9,52,54,29,32,21,9,37,28,5,8,8,52,31,35,28,76,26,27,62,0,42,16,2,66,27,6,64,46,49,3,26,8,6,70,81,17
v65,16,34,39,35,52,62,56,18,11,37,54,44,58,36,14,60,45,52,11,34,64,9,22,36,62,54,41,24,13,40,38,15,21,49,39,50,53,23,12,8,18,68,40,45,12,24,45,10,33,33,47,18,43,50,50,16,25,59,34,36,54,25,30,42,0,44,44,50,59,44,22,52,13,41,16,38,46,28,39,29
v66,60,18,19,17,36,30,20,30,33,31,10,40,14,62,50,16,5,8,33,50,24,53,36,48,22,10,7,48,31,22,26,45,37,23,65,6,45,21,56,36,26,24,14,21,36,38,13,34,33,19,21,26,17,24,24,36,43,19,12,60,10,19,46,16,44,0,18,50,15,18,48,30,33,15,30,8,20,54,65,15
v67,48,10,37,9,54,48,38,48,51,19,22,58,26,80,38,28,23,20,43,68,42,41,54,66,40,22,11,66,43,40,14,59,25,5,83,24,63,29,44,48,40,36,4,9,54,56,31,34,21,11,39,30,5,6,6,54,31,37,30,78,28,29,64,2,44,18,0,68,27,6,66,48,51,3,28,10,6,72,83,19
v68,66,58,31,59,14,20,30,32,39,61,46,10,46,24,56,46,45,52,39,16,26,59,28,14,28,52,57,26,37,28,62,51,45,73,25,44,5,39,62,42,32,34,64,69,38,26,37,40,57,57,29,38,67,74,74,34,49,31,38,14,40,39,20,66,50,50,68,0,41,68,42,20,37,65,40,58,70,26,21,49
v69,75,33,20,32,27,21,11,41,48,46,5,31,5,53,65,5,14,11,48,41,15,68,37,39,13,11,18,39,46,19,41,60,52,32,56,9,36,36,71,51,41,9,25,36,47,35,14,49,48,34,12,41,26,33,33,43,58,10,25,51,5,34,37,27,59,15,27,41,0,27,51,21,46,24,45,21,33,45,56,30
v70,54,12,37,11,54,48,38,48,51,25,22,58,22,80,44,22,23,16,43,68,42,47,54,66,40,16,11,66,43,40,20,59,31,5,83,24,63,29,50,48,40,34,4,15,54,56,31,34,27,13,39,30,1,12,10,54,37,37,30,78,28,29,64,6,44,18,6,68,27,0,66,48,51,3,28,10,12,72,83,19
v71,26,56,31,57,44,54,48,18,15,59,46,36,50,18,36,52,43,50,23,26,56,27,14,28,54,50,55,16,23,32,60,9,43,71,17,42,45,37,28,18,26,60,62,67,12,16,37,32,55,55,39,36,65,72,72,12,47,51,36,28,46,37,22,64,22,48,66,42,51,66,0,44,15,63,38,56,68,16,21,47
v72,68,38,13,39,6,10,10,34,41,41,26,10,26,32,58,26,25,32,41,20,12,61,30,18,10,32,37,28,39,12,42,53,45,53,35,24,15,29,64,44,34,16,44,49,40,28,17,42,41,37,9,34,47,54,54,36,51,11,18,30,20,27,22,46,52,30,48,20,21,48,44,0,39,45,38,38,50,28,35,29
v73,29,41,26,42,39,49,43,5,2,44,41,31,45,29,21,47,32,39,8,21,51,22,9,23,49,41,40,15,8,27,45,14,28,56,32,37,40,22,25,5,11,55,47,52,3,11,32,17,40,40,34,21,50,57,57,3,32,46,21,27,41,22,17,49,13,33,51,37,46,51,15,39,0,48,23,41,53,21,32,32
v74,51,9,34,8,51,45,35,45,48,22,19,55,23,77,41,25,20,17,40,65,39,44,51,63,37,19,8,63,40,37,17,56,28,8,80,21,60,26,47,45,37,33,1,12,51,53,28,31,24,10,36,27,2,9,9,51,34,34,27,75,25,26,61,3,41,15,3,65,24,3,63,45,48,0,25,7,9,69,80,16
v75,30,18,25,19,38,48,42,20,23,21,40,30,44,52,20,46,31,38,15,40,50,23,26,38,48,40,27,38,15,26,22,31,7,33,55,36,39,9,26,20,12,54,24,29,26,28,31,6,17,17,33,4,27,34,34,26,13,45,20,50,40,11,36,26,16,30,28,40,45,28,38,38,23,25,0,24,30,44,55,15
v76,54,12,27,11,44,38,28,38,41,25,16,48,20,70,44,22,13,14,33,58,32,47,44,56,30,16,3,56,33,30,20,49,31,15,73,14,53,19,50,38,30,30,6,15,44,46,21,28,27,13,29,20,9,16,16,44,37,27,20,68,18,19,54,8,38,8,10,58,21,10,56,38,41,7,24,0,12,62,73,9
v77,42,12,39,11,56,50,40,50,53,13,28,60,32,82,32,34,25,26,45,70,44,41,56,68,42,28,15,68,45,42,8,61,25,7,85,26,65,31,40,50,42,42,8,3,56,58,33,36,15,13,41,32,11,4,4,56,25,39,32,80,30,31,66,6,46,20,6,70,33,12,68,50,53,9,30,12,0,74,85,21
v78,40,62,35,63,28,38,34,24,21,65,50,20,50,8,42,50,49,56,29,10,40,33,18,12,38,56,61,6,29,32,66,25,49,77,11,48,29,43,36,24,32,44,68,73,18,16,41,38,61,61,33,42,71,78,78,18,53,35,42,12,44,43,8,70,28,54,72,26,45,72,16,28,21,69,44,62,74,0,11,53
v79,45,73,46,74,29,35,45,35,32,76,61,25,61,3,53,61,60,67,40,15,41,44,29,17,43,67,72,17,40,43,77,30,60,88,4,59,24,54,45,35,43,49,79,84,29,27,52,49,72,72,44,53,82,89,89,29,64,46,53,7,55,54,19,81,39,65,83,21,56,83,21,35,32,80,55,73,85,11,0,64
v80,45,9,18,10,35,33,27,29,32,16,25,39,29,61,35,31,16,23,24,49,35,38,35,47,33,25,12,47,24,21,13,40,22,24,64,21,44,10,41,29,21,39,15,20,35,37,16,19,18,8,20,11,18,25,25,35,28,30,11,59,25,10,45,17,29,15,19,49,30,19,47,29,32,16,15,9,21,53,64,0
