,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v11,30,59,30,16,7,28,50,21,22,13,0,31,35,28,39,35,25,14,47,67,18,12,30,47,67,43,34,38,27,12,13,43,16,38,32,53,31,22,47,43,16,48,35,11,43,25,10,29,48,38,27,29,48,57,16,39,27,35,56,38,61,35,37,23,9,36,26,43,37,51,48,9,29,68,42,8,11,41,16,19
v12,27,56,27,47,36,59,47,28,53,18,31,0,64,37,36,42,56,21,50,64,45,43,61,44,64,52,31,35,4,27,34,40,41,35,23,50,10,9,44,46,47,45,26,20,40,56,33,54,45,57,40,38,45,54,29,36,32,44,53,35,58,24,54,54,30,47,37,40,34,48,45,40,2,65,43,33,28,72,15,12
v13,39,24,63,25,28,21,45,36,19,46,35,64,0,27,30,22,20,43,14,32,19,23,17,60,36,12,41,71,60,37,30,68,23,55,65,32,64,55,38,18,23,41,68,44,64,22,31,10,43,7,24,26,29,58,35,72,32,20,53,35,34,68,10,18,34,17,27,24,60,22,55,28,62,37,21,31,46,8,49,52
v14,12,31,36,18,21,22,22,9,16,25,28,37,27,0,11,7,19,16,19,39,10,16,24,33,39,15,14,44,33,16,15,41,12,28,38,25,37,30,19,15,16,20,41,33,37,19,18,17,20,20,3,1,20,31,12,45,5,7,28,10,33,41,17,17,19,10,2,15,33,23,28,21,35,40,14,20,39,35,22,25
v15,9,20,33,29,32,25,15,18,23,36,39,36,30,11,0,8,24,25,16,28,21,27,27,30,28,18,11,41,32,27,26,38,23,25,35,14,34,41,8,12,27,11,38,44,34,26,29,20,13,23,12,10,9,28,23,42,12,10,23,5,22,38,20,22,30,13,13,6,30,12,25,32,36,29,9,31,50,38,27,32
v16,17,24,41,25,28,21,23,14,19,32,35,42,22,7,8,0,20,21,12,32,17,23,19,38,32,10,19,49,38,23,22,46,19,33,43,18,42,37,16,8,23,19,46,40,42,22,25,12,21,15,8,6,13,36,19,50,10,2,31,13,26,46,12,18,26,5,9,8,38,16,33,28,40,33,7,27,46,30,27,30
v17,31,44,55,9,20,3,37,28,3,38,25,56,20,19,24,20,0,35,32,52,11,13,5,52,52,28,33,63,52,29,22,60,15,47,57,38,56,47,32,28,9,33,60,36,56,2,23,14,35,23,16,18,33,50,27,64,24,20,45,27,46,60,22,2,26,21,19,28,52,36,47,16,54,53,27,23,28,16,41,44
v18,16,45,20,26,15,38,36,7,32,11,14,21,43,16,25,21,35,0,33,53,24,22,40,33,53,31,20,28,17,6,13,29,20,24,22,39,21,16,33,29,26,34,25,19,29,35,12,33,34,36,19,17,34,43,8,29,13,23,42,24,47,25,33,33,9,26,16,29,23,37,34,19,19,54,28,12,25,51,6,9
v19,25,12,49,37,40,33,31,26,31,44,47,50,14,19,16,12,32,33,0,20,29,35,29,46,22,4,27,57,46,35,34,54,31,41,51,18,50,49,24,4,35,27,54,52,50,34,37,18,29,9,20,18,15,44,31,58,20,12,39,21,20,54,10,30,38,11,21,10,46,8,41,40,48,23,7,39,58,22,35,40
v20,37,8,37,57,60,53,17,46,51,64,67,64,32,39,28,32,52,53,20,0,49,55,49,30,6,24,33,41,60,55,54,38,51,29,41,14,54,69,20,24,55,19,38,72,34,54,57,38,19,29,40,38,19,28,51,42,40,32,23,29,6,40,30,50,58,31,41,24,30,16,25,60,64,7,25,59,78,40,55,60
v21,20,41,44,8,11,14,32,17,8,27,18,45,19,10,21,17,11,24,29,49,0,6,16,41,49,25,22,52,41,18,11,49,4,36,46,35,45,36,29,25,6,30,49,25,45,11,12,11,30,20,9,11,30,39,16,53,13,17,38,20,43,49,19,9,15,18,8,25,41,33,36,11,43,50,24,12,29,27,30,33
v22,18,47,42,4,7,16,38,15,10,25,12,43,23,16,27,23,13,22,35,55,6,0,18,39,55,31,22,50,39,16,9,47,4,34,44,41,43,34,35,31,4,36,47,23,43,13,10,17,36,26,15,17,36,45,14,51,15,23,44,26,49,47,25,11,13,24,14,31,39,39,36,5,41,56,30,10,23,29,28,31
v23,36,41,60,14,25,4,42,33,8,43,30,61,17,24,27,19,5,40,29,49,16,18,0,57,49,25,38,68,57,34,27,65,20,52,62,35,61,52,35,25,14,38,65,41,61,5,28,11,40,20,21,23,30,55,32,69,29,17,50,32,43,65,19,7,31,18,24,25,57,33,52,21,59,50,24,28,33,11,46,49
v24,21,38,17,43,40,55,15,26,49,44,47,44,60,33,30,38,52,33,46,30,41,39,57,0,24,48,19,11,40,35,34,8,37,9,21,28,34,49,22,42,43,19,18,52,4,52,37,50,17,53,36,34,31,10,31,12,28,40,9,25,26,20,50,50,38,43,33,36,10,38,5,40,44,23,39,39,58,68,35,40
v25,37,14,37,57,60,53,17,46,51,64,67,64,36,39,28,32,52,53,22,6,49,55,49,24,0,24,33,35,60,55,54,32,51,29,41,14,54,69,20,24,55,19,38,72,28,54,57,38,19,29,40,38,19,22,51,36,40,32,17,29,6,40,30,50,58,31,41,24,30,16,19,60,64,1,25,59,78,44,55,60
v26,27,16,51,33,36,29,33,24,27,40,43,52,12,15,18,10,28,31,4,24,25,31,25,48,24,0,29,59,48,31,30,56,27,43,53,20,52,45,26,6,31,29,56,48,52,30,33,14,31,5,16,14,17,46,27,60,20,8,41,23,22,56,6,26,34,7,17,12,48,10,43,36,50,25,9,35,54,20,37,40
v27,4,25,22,24,27,36,16,13,30,31,34,31,41,14,11,19,33,20,27,33,22,22,38,19,33,29,0,30,27,22,21,27,18,14,24,19,23,36,13,23,24,14,27,39,23,33,24,31,14,34,17,15,14,23,18,31,9,21,22,6,27,27,31,31,25,24,14,17,19,19,14,27,31,34,20,26,45,49,22,27
v28,32,49,8,54,43,66,26,35,60,35,38,35,71,44,41,49,63,28,57,41,52,50,68,11,35,59,30,0,31,34,41,5,48,16,12,39,25,40,33,53,54,30,9,43,7,63,40,61,28,64,47,45,42,19,36,1,39,51,18,36,37,11,61,61,37,54,44,47,11,49,16,47,35,34,50,40,49,79,26,31
v29,23,52,23,43,32,55,43,24,49,14,27,4,60,33,32,38,52,17,46,60,41,39,57,40,60,48,27,31,0,23,30,36,37,31,19,46,6,9,40,42,43,41,22,16,36,52,29,50,41,53,36,34,41,50,25,32,28,40,49,31,54,20,50,50,26,43,33,36,30,44,41,36,4,61,39,29,24,68,11,8
v30,18,47,26,20,9,32,38,9,26,9,12,27,37,16,27,23,29,6,35,55,18,16,34,35,55,31,22,34,23,0,7,31,14,26,28,41,27,18,35,31,20,36,31,17,31,29,6,27,36,30,15,17,36,45,4,35,15,23,44,26,49,31,27,27,3,24,14,31,25,39,36,13,25,56,30,6,23,45,12,15
v31,17,46,33,13,6,25,37,8,19,16,13,34,30,15,26,22,22,13,34,54,11,9,27,34,54,30,21,41,30,7,0,38,7,25,35,40,34,25,34,30,13,35,38,18,34,22,3,20,35,25,14,16,35,44,5,42,14,22,43,25,48,38,24,20,4,23,13,30,30,38,35,6,32,55,29,5,24,38,19,22
v32,29,46,13,51,40,63,23,32,57,40,43,40,68,41,38,46,60,29,54,38,49,47,65,8,32,56,27,5,36,31,38,0,45,13,17,36,30,45,30,50,51,27,14,48,4,60,37,58,25,61,44,42,39,14,33,4,36,48,15,33,34,16,58,58,34,51,41,44,8,46,13,44,40,31,47,37,54,76,31,36
v33,16,43,40,6,9,18,34,13,12,23,16,41,23,12,23,19,15,20,31,51,4,4,20,37,51,27,18,48,37,14,7,45,0,32,42,37,41,32,31,27,6,32,45,21,41,15,8,13,32,22,11,13,32,41,12,49,11,19,40,22,45,45,21,13,11,20,10,27,37,35,32,9,39,52,26,8,27,31,26,29
v34,16,33,8,38,31,50,12,19,44,35,38,35,55,28,25,33,47,24,41,29,36,34,52,9,29,43,14,16,31,26,25,13,32,0,12,23,25,40,17,37,38,14,13,43,9,47,28,45,12,48,31,29,26,19,22,17,23,35,18,20,23,13,45,45,29,38,28,31,5,33,10,31,35,30,34,30,49,63,26,31
v35,26,43,4,48,37,60,24,29,54,23,32,23,65,38,35,43,57,22,51,41,46,44,62,21,41,53,24,12,19,28,35,17,42,12,0,33,13,28,27,47,48,24,3,31,17,57,34,55,22,58,41,39,36,31,30,13,33,45,30,30,35,3,55,55,31,48,38,41,11,43,22,41,23,42,44,34,37,73,16,19
v36,23,10,31,43,46,39,13,32,37,50,53,50,32,25,14,18,38,39,18,14,35,41,35,28,14,20,19,39,46,41,40,36,37,23,33,0,40,55,6,14,41,9,36,58,32,40,43,24,11,25,26,24,5,26,37,40,26,18,21,15,8,36,22,36,44,17,27,10,28,10,23,46,50,15,11,45,64,40,41,46
v37,25,46,17,47,36,59,37,28,53,18,31,10,64,37,34,42,56,21,50,54,45,43,61,34,54,52,23,25,6,27,34,30,41,25,13,40,0,15,34,46,47,35,16,20,30,56,33,54,35,57,40,38,35,44,29,26,32,44,43,29,48,14,54,54,30,47,37,40,24,42,35,40,10,55,43,33,28,72,15,12
v38,32,61,32,38,27,50,52,23,44,9,22,9,55,30,41,37,47,16,49,69,36,34,52,49,69,45,36,40,9,18,25,45,32,40,28,55,15,0,49,45,38,50,31,11,45,47,24,45,50,48,31,31,50,59,20,41,29,37,58,40,63,29,45,45,21,38,28,45,39,53,50,31,7,70,44,24,19,63,14,9
v39,17,16,25,37,40,33,7,26,31,44,47,44,38,19,8,16,32,33,24,20,29,35,35,22,20,26,13,33,40,35,34,30,31,17,27,6,34,49,0,20,35,3,30,52,26,34,37,28,5,31,20,18,9,20,31,34,20,18,15,9,14,30,28,30,38,21,21,14,22,16,17,40,44,21,17,39,58,46,35,40
v40,21,16,45,33,36,29,27,22,27,40,43,46,18,15,12,8,28,29,4,24,25,31,25,42,24,6,23,53,42,31,30,50,27,37,47,14,46,45,20,0,31,23,50,48,46,30,33,14,25,11,16,14,11,40,27,54,16,8,35,17,18,50,8,26,34,7,17,6,42,8,37,36,44,25,3,35,54,26,31,36
v41,22,47,46,2,11,12,38,19,6,29,16,47,23,16,27,23,9,26,35,55,6,4,14,43,55,31,24,54,43,20,13,51,6,38,48,41,47,38,35,31,0,36,51,27,47,9,14,17,36,26,15,17,36,45,18,55,15,23,44,26,49,51,25,7,17,24,14,31,43,39,38,7,45,56,30,14,23,25,32,35
v42,18,19,22,38,41,36,4,27,32,45,48,45,41,20,11,19,33,34,27,19,30,36,38,19,19,29,14,30,41,36,35,27,32,14,24,9,35,50,3,23,36,0,27,53,23,35,38,31,2,34,21,19,12,17,32,31,21,21,12,10,13,27,31,31,39,24,22,17,19,19,14,41,45,20,20,40,59,49,36,41
v43,29,46,5,51,40,63,23,32,57,26,35,26,68,41,38,46,60,25,54,38,49,47,65,18,38,56,27,9,22,31,38,14,45,13,3,36,16,31,30,50,51,27,0,34,14,60,37,58,25,61,44,42,39,28,33,10,36,48,27,33,34,2,58,58,34,51,41,44,8,46,19,44,26,39,47,37,40,76,19,22
v44,35,64,35,27,16,39,55,26,33,8,11,20,44,33,44,40,36,19,52,72,25,23,41,52,72,48,39,43,16,17,18,48,21,43,31,58,20,11,52,48,27,53,34,0,48,36,15,34,53,43,32,34,53,62,21,44,32,40,61,43,66,32,42,34,14,41,31,48,42,56,53,20,18,73,47,13,8,52,17,12
v45,25,42,13,47,36,59,19,28,53,40,43,40,64,37,34,42,56,29,50,34,45,43,61,4,28,52,23,7,36,31,34,4,41,9,17,32,30,45,26,46,47,23,14,48,0,56,33,54,21,57,40,38,35,14,29,8,32,44,13,29,30,16,54,54,34,47,37,40,6,42,9,40,40,27,43,35,54,72,31,36
v46,31,46,55,9,20,3,37,28,3,38,25,56,22,19,26,22,2,35,34,54,11,13,5,52,54,30,33,63,52,29,22,60,15,47,57,40,56,47,34,30,9,35,60,36,56,0,23,16,35,25,16,18,35,50,27,64,24,22,45,27,48,60,24,4,26,23,19,30,52,38,47,16,54,55,29,23,28,16,41,44
v47,20,49,32,14,3,26,40,11,20,15,10,33,31,18,29,25,23,12,37,57,12,10,28,37,57,33,24,40,29,6,3,37,8,28,34,43,33,24,37,33,14,38,37,15,33,23,0,21,38,28,17,19,38,47,6,41,17,25,46,28,51,37,27,21,3,26,16,33,29,41,38,7,31,58,32,2,21,39,18,21
v48,29,30,53,19,22,15,35,26,13,36,29,54,10,17,20,12,14,33,18,38,11,17,11,50,38,14,31,61,50,27,20,58,13,45,55,24,54,45,28,14,17,31,58,34,54,16,21,0,33,9,14,16,19,48,25,62,22,10,43,25,32,58,8,12,24,7,17,14,50,22,45,22,52,39,13,21,40,18,39,42
v49,18,21,20,38,41,38,2,27,32,45,48,45,43,20,13,21,35,34,29,19,30,36,40,17,19,31,14,28,41,36,35,25,32,12,22,11,35,50,5,25,36,2,25,53,21,35,38,33,0,36,21,19,14,15,32,29,21,23,10,10,13,25,33,33,39,26,22,19,17,21,12,41,45,20,22,40,59,51,36,41
v50,32,21,56,28,31,24,38,29,22,39,38,57,7,20,23,15,23,36,9,29,20,26,20,53,29,5,34,64,53,30,25,61,22,48,58,25,57,48,31,11,26,34,61,43,57,25,28,9,36,0,17,19,22,51,28,65,25,13,46,28,27,61,3,21,29,10,20,17,53,15,48,31,55,30,14,30,49,15,42,45
v51,15,32,39,17,20,19,23,12,13,24,27,40,24,3,12,8,16,19,20,40,9,15,21,36,40,16,17,47,36,15,14,44,11,31,41,26,40,31,20,16,15,21,44,32,40,16,17,14,21,17,0,2,21,34,11,48,8,8,29,11,34,44,14,14,18,9,3,16,36,24,31,20,38,41,15,19,38,32,25,28
v52,13,30,37,19,22,21,21,10,15,26,29,38,26,1,10,6,18,17,18,38,11,17,23,34,38,14,15,45,34,17,16,42,13,29,39,24,38,31,18,14,17,19,42,34,38,18,19,16,19,19,2,0,19,32,13,46,6,6,27,9,32,42,16,16,20,9,3,14,34,22,29,22,36,39,13,21,40,34,23,26
v53,18,11,34,38,41,34,16,27,32,45,48,45,29,20,9,13,33,34,15,19,30,36,30,31,19,17,14,42,41,36,35,39,32,26,36,5,35,50,9,11,36,12,39,53,35,35,38,19,14,22,21,19,0,29,32,43,21,13,24,10,13,39,19,31,39,12,22,5,31,7,26,41,45,20,8,40,59,37,36,41
v54,27,36,27,47,50,53,13,36,47,54,57,54,58,31,28,36,50,43,44,28,39,45,55,10,22,46,23,19,50,45,44,14,41,19,31,26,44,59,20,40,45,17,28,62,14,50,47,48,15,51,34,32,29,0,41,18,30,38,5,23,24,30,48,48,48,41,31,34,20,36,9,50,54,21,37,49,68,66,45,50
v55,14,43,28,18,9,30,34,5,24,13,16,29,35,12,23,19,27,8,31,51,16,14,32,31,51,27,18,36,25,4,5,33,12,22,30,37,29,20,31,27,18,32,33,21,29,27,6,25,32,28,11,13,32,41,0,37,11,19,40,22,45,33,25,25,7,20,10,27,25,35,32,11,27,52,26,8,27,43,14,17
v56,33,50,9,55,44,67,27,36,61,36,39,36,72,45,42,50,64,29,58,42,53,51,69,12,36,60,31,1,32,35,42,4,49,17,13,40,26,41,34,54,55,31,10,44,8,64,41,62,29,65,48,46,43,18,37,0,40,52,19,37,38,12,62,62,38,55,45,48,12,50,17,48,36,35,51,41,50,80,27,32
v57,7,32,31,17,20,27,23,6,21,24,27,32,32,5,12,10,24,13,20,40,13,15,29,28,40,20,9,39,28,15,14,36,11,23,33,26,32,29,20,16,15,21,36,32,32,24,17,22,21,25,8,6,21,30,11,40,0,12,29,11,34,36,22,22,18,15,5,16,28,24,23,20,30,41,15,19,38,40,17,20
v58,19,24,43,25,28,21,25,16,19,32,35,44,20,7,10,2,20,23,12,32,17,23,17,40,32,8,21,51,40,23,22,48,19,35,45,18,44,37,18,8,23,21,48,40,44,22,25,10,23,13,8,6,13,38,19,52,12,0,33,15,26,48,10,18,26,3,9,8,40,16,35,28,42,33,7,27,46,28,29,32
v59,26,31,26,46,49,48,8,35,42,53,56,53,53,28,23,31,45,42,39,23,38,44,50,9,17,41,22,18,49,44,43,15,40,18,30,21,43,58,15,35,44,12,27,61,13,45,46,43,10,46,29,27,24,5,40,19,29,33,0,18,19,29,43,43,47,36,30,29,19,31,8,49,53,16,32,48,67,61,44,49
v60,8,21,28,28,31,30,12,17,24,35,38,35,35,10,5,13,27,24,21,29,20,26,32,25,29,23,6,36,31,26,25,33,22,20,30,15,29,40,9,17,26,10,33,43,29,27,28,25,10,28,11,9,10,23,22,37,11,15,18,0,23,33,25,25,29,18,12,11,25,13,20,31,35,30,14,30,49,43,26,31
v61,31,12,31,51,54,47,11,40,45,58,61,58,34,33,22,26,46,47,20,6,43,49,43,26,6,22,27,37,54,49,48,34,45,23,35,8,48,63,14,18,49,13,34,66,30,48,51,32,13,27,34,32,13,24,45,38,34,26,19,23,0,34,24,44,52,25,35,18,26,12,21,54,58,7,19,53,72,42,49,54
v62,29,46,5,51,40,63,23,32,57,24,35,24,68,41,38,46,60,25,54,40,49,47,65,20,40,56,27,11,20,31,38,16,45,13,3,36,14,29,30,50,51,27,2,32,16,60,37,58,25,61,44,42,39,30,33,12,36,48,29,33,34,0,58,58,34,51,41,44,10,46,21,44,24,41,47,37,38,76,19,20
v63,29,22,53,27,30,23,35,26,21,36,37,54,10,17,20,12,22,33,10,30,19,25,19,50,30,6,31,61,50,27,24,58,21,45,55,22,54,45,28,8,25,31,58,42,54,24,27,8,33,3,14,16,19,48,25,62,22,10,43,25,24,58,0,20,28,7,17,14,50,14,45,30,52,31,11,29,48,18,39,42
v64,29,42,53,7,18,5,35,26,1,36,23,54,18,17,22,18,2,33,30,50,9,11,7,50,50,26,31,61,50,27,20,58,13,45,55,36,54,45,30,26,7,31,58,34,54,4,21,12,33,21,14,16,31,48,25,62,22,18,43,25,44,58,20,0,24,19,17,26,50,34,45,14,52,51,25,21,28,18,39,42
v65,21,50,29,17,6,29,41,12,23,12,9,30,34,19,30,26,26,9,38,58,15,13,31,38,58,34,25,37,26,3,4,34,11,29,31,44,30,21,38,34,17,39,34,14,34,26,3,24,39,29,18,20,39,48,7,38,18,26,47,29,52,34,28,24,0,27,17,34,28,42,39,10,28,59,33,3,20,42,15,18
v66,22,23,46,26,29,22,28,19,20,33,36,47,17,10,13,5,21,26,11,31,18,24,18,43,31,7,24,54,43,24,23,51,20,38,48,17,47,38,21,7,24,24,51,41,47,23,26,7,26,10,9,9,12,41,20,55,15,3,36,18,25,51,7,19,27,0,10,7,43,15,38,29,45,32,6,28,47,25,32,35
v67,12,33,36,16,19,22,24,9,16,23,26,37,27,2,13,9,19,16,21,41,8,14,24,33,41,17,14,44,33,14,13,41,10,28,38,27,37,28,21,17,14,22,41,31,37,19,16,17,22,20,3,3,22,31,10,45,5,9,30,12,35,41,17,17,17,10,0,17,33,25,28,19,35,42,16,18,37,35,22,25
v68,15,16,39,33,36,29,21,22,27,40,43,40,24,15,6,8,28,29,10,24,25,31,25,36,24,12,17,47,36,31,30,44,27,31,41,10,40,45,14,6,31,17,44,48,40,30,33,14,19,17,16,14,5,34,27,48,16,8,29,11,18,44,14,26,34,7,17,0,36,8,31,36,40,25,3,35,54,32,31,36
v69,21,38,7,43,32,55,15,24,49,34,37,34,60,33,30,38,52,23,46,30,41,39,57,10,30,48,19,11,30,25,30,8,37,5,11,28,24,39,22,42,43,19,8,42,6,52,29,50,17,53,36,34,31,20,25,12,28,40,19,25,26,10,50,50,28,43,33,36,0,38,11,36,34,31,39,29,48,68,25,30
v70,21,8,41,41,44,37,23,30,35,48,51,48,22,23,12,16,36,37,8,16,33,39,33,38,16,10,19,49,44,39,38,46,35,33,43,10,42,53,16,8,39,19,46,56,42,38,41,22,21,15,24,22,7,36,35,50,24,16,31,13,12,46,14,34,42,15,25,8,38,0,33,44,48,17,9,43,62,30,39,44
v71,18,33,18,38,41,50,10,27,44,45,48,45,55,28,25,33,47,34,41,25,36,36,52,5,19,43,14,16,41,36,35,13,32,10,22,23,35,50,17,37,38,14,19,53,9,47,38,45,12,48,31,29,26,9,32,17,23,35,8,20,21,21,45,45,39,38,28,31,11,33,0,41,45,20,34,40,59,63,36,41
v72,23,52,39,7,4,19,43,14,13,22,9,40,28,21,32,28,16,19,40,60,11,5,21,40,60,36,27,47,36,13,6,44,9,31,41,46,40,31,40,36,7,41,44,20,40,16,7,22,41,31,20,22,41,50,11,48,20,28,49,31,54,44,30,14,10,29,19,36,36,44,41,0,38,61,35,7,18,32,25,28
v73,27,56,27,45,34,57,47,26,51,16,29,2,62,35,36,40,54,19,48,64,43,41,59,44,64,50,31,35,4,25,32,40,39,35,23,50,10,7,44,44,45,45,26,18,40,54,31,52,45,55,38,36,45,54,27,36,30,42,53,35,58,24,52,52,28,45,35,40,34,48,45,38,0,65,41,31,26,70,13,10
v74,38,15,38,58,61,54,18,47,52,65,68,65,37,40,29,33,53,54,23,7,50,56,50,23,1,25,34,34,61,56,55,31,52,30,42,15,55,70,21,25,56,20,39,73,27,55,58,39,20,30,41,39,20,21,52,35,41,33,16,30,7,41,31,51,59,32,42,25,31,17,20,61,65,0,26,60,79,45,56,61
v75,18,17,42,32,35,28,24,21,26,39,42,43,21,14,9,7,27,28,7,25,24,30,24,39,25,9,20,50,39,30,29,47,26,34,44,11,43,44,17,3,30,20,47,47,43,29,32,13,22,14,15,13,8,37,26,51,15,7,32,14,19,47,11,25,33,6,16,3,39,9,34,35,41,26,0,34,53,29,30,35
v76,22,51,32,14,3,26,42,13,20,15,8,33,31,20,31,27,23,12,39,59,12,10,28,39,59,35,26,40,29,6,5,37,8,30,34,45,33,24,39,35,14,40,37,13,35,23,2,21,40,30,19,21,40,49,8,41,19,27,48,30,53,37,29,21,3,28,18,35,29,43,40,7,31,60,34,0,19,39,18,21
v77,41,70,41,21,18,31,61,32,27,14,11,28,46,39,50,46,28,25,58,78,29,23,33,58,78,54,45,49,24,23,24,54,27,49,37,64,28,19,58,54,23,59,40,8,54,28,21,40,59,49,38,40,59,68,27,50,38,46,67,49,72,38,48,28,20,47,37,54,48,62,59,18,26,79,53,19,0,44,23,18
v78,47,32,71,25,36,13,53,44,19,54,41,72,8,35,38,30,16,51,22,40,27,29,11,68,44,20,49,79,68,45,38,76,31,63,73,40,72,63,46,26,25,49,76,52,72,16,39,18,51,15,32,34,37,66,43,80,40,28,61,43,42,76,18,18,42,25,35,32,68,30,63,32,70,45,29,39,44,0,57,60
v79,18,47,18,32,21,44,38,13,38,9,16,15,49,22,27,27,41,6,35,55,30,28,46,35,55,37,22,26,11,12,19,31,26,26,16,41,15,14,35,31,32,36,19,17,31,41,18,39,36,42,25,23,36,45,14,27,17,29,44,26,49,19,39,39,15,32,22,31,25,39,36,25,13,56,30,18,23,57,0,5
v80,23,52,23,35,24,47,43,16,41,6,19,12,52,25,32,30,44,9,40,60,33,31,49,40,60,40,27,31,8,15,22,36,29,31,19,46,12,9,40,36,35,41,22,12,36,44,21,42,41,45,28,26,41,50,17,32,20,32,49,31,54,20,42,42,18,35,25,36,30,44,41,28,10,61,35,21,18,60,5,0
