,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v19,17,60,49,65,47,79,13,46,10,37,23,35,47,37,53,15,53,30,0,26,43,51,9,10,36,30,36,35,23,31,21,48,27,66,43,23,11,51,18,51,67,46,65,11,33,15,19,45,30,19,25,37,73,35,27,37,63,22,65,30,33,10,38,42,26,24,30,47,37,40,26,42,36,52,30,47,19,12,31,58,36,14,54,32,23,41,10,42,32,13,33,5,58,48,25,53,75,55,59,45,41,26,43,64,71,38,68,11,57,12,4,47,38,37,49,37,49,13,44,26,66,66,57,52,21,12,35,39,7,38,56,27,7,21,47,50,17,13,33,39,53,5,22,46,8,33,60,72,43,47,62,41,22,27,20,17,29,57,29,47
v20,9,34,27,39,21,53,23,56,30,11,13,9,21,17,27,11,27,26,26,0,53,25,17,36,12,8,32,45,3,11,23,22,1,40,33,7,31,25,28,25,41,20,39,37,23,15,29,41,14,29,15,47,47,17,37,27,37,4,39,40,23,20,28,16,32,16,20,21,47,14,12,16,28,32,18,47,29,28,9,32,16,12,28,18,5,25,16,20,8,23,43,27,32,22,35,27,49,29,33,19,15,6,29,38,45,38,42,37,31,30,26,21,26,11,23,47,23,13,24,36,40,40,33,28,13,14,45,37,31,48,30,17,19,5,33,24,27,13,35,49,27,31,26,20,34,41,34,46,33,21,36,29,30,31,10,27,39,31,39,21
v21,48,25,26,34,70,46,32,3,53,44,66,52,58,36,44,58,38,27,43,53,0,70,50,45,41,61,21,14,50,64,30,47,54,45,86,46,40,44,25,28,50,35,40,46,76,58,24,12,39,24,68,8,52,70,16,80,52,55,36,13,76,53,81,53,21,37,73,50,10,47,41,37,25,21,71,12,24,55,44,25,69,55,53,35,48,28,47,73,45,30,10,38,39,69,22,26,40,58,60,48,52,47,24,61,48,15,41,46,50,39,39,42,79,50,68,12,58,54,77,17,31,33,22,25,64,43,16,16,40,13,29,70,46,56,20,29,26,40,18,8,50,40,27,33,43,12,65,37,86,54,57,24,23,22,43,26,14,60,14,60
v22,34,45,44,36,4,28,48,73,55,26,34,18,12,34,26,36,32,43,51,25,70,0,42,61,29,21,49,62,28,20,40,23,24,25,16,28,56,26,45,42,20,35,30,62,24,40,46,58,31,46,36,64,22,16,54,20,18,29,34,57,18,45,13,17,49,33,31,20,64,23,29,33,45,49,21,64,46,53,26,45,15,37,17,35,28,42,41,9,25,44,60,52,31,3,52,44,34,12,10,22,18,25,46,13,22,55,29,62,20,55,51,28,13,20,2,64,12,38,7,53,39,37,50,45,38,39,62,54,56,65,41,34,44,30,50,41,44,38,52,66,20,56,43,37,59,58,9,33,16,16,13,46,47,48,31,44,56,10,56,10
v23,8,51,40,56,38,70,20,53,13,28,16,26,38,28,44,8,44,23,9,17,50,42,0,19,27,21,29,42,14,22,20,39,18,57,36,14,18,42,25,42,58,37,56,20,26,8,26,38,21,26,18,44,64,26,34,30,54,13,56,37,26,3,31,33,29,15,23,38,44,31,17,33,27,43,21,44,26,11,22,49,27,5,45,23,14,32,3,33,23,20,40,12,49,39,32,44,66,46,50,36,32,17,34,55,62,35,59,20,48,19,11,38,29,28,40,44,40,4,35,33,57,57,48,43,14,7,42,34,14,45,47,20,4,12,38,41,24,10,32,46,44,14,23,37,17,38,51,63,36,38,53,32,27,28,11,24,36,48,36,38
v24,27,70,59,75,57,89,13,46,12,47,27,45,57,47,63,25,63,40,10,36,45,61,19,0,46,40,46,33,33,41,31,58,37,76,45,33,9,61,28,61,77,56,75,3,37,21,25,55,40,21,27,37,83,45,31,41,73,32,75,40,43,16,48,52,36,34,32,57,35,50,36,52,46,62,40,57,29,14,41,68,46,24,64,42,33,51,20,52,42,17,41,9,68,58,23,63,85,65,69,55,51,36,53,74,81,48,78,5,67,10,10,57,48,47,59,35,59,23,54,32,76,76,67,62,23,22,33,49,5,36,66,29,17,31,57,60,25,23,43,37,63,5,32,56,2,43,70,82,49,57,72,51,32,37,30,19,35,67,39,57
v25,19,24,15,29,29,43,33,44,40,3,25,11,17,5,17,21,17,14,36,12,41,29,27,46,0,20,20,33,13,23,15,12,13,30,45,13,41,15,18,15,31,10,29,47,35,25,21,29,6,25,27,35,37,29,25,39,27,14,29,28,35,30,40,12,20,12,32,11,35,6,10,6,16,20,30,35,17,38,5,22,28,22,18,6,13,13,26,32,4,29,31,37,22,28,23,17,39,19,23,9,11,10,17,28,35,26,32,47,21,40,36,11,38,9,27,35,17,23,36,24,30,30,21,16,23,24,33,25,41,36,20,29,29,15,21,14,21,23,23,37,17,41,14,10,44,29,24,36,45,13,26,17,18,19,16,27,27,21,27,19
v26,13,36,35,35,17,49,31,64,34,17,13,9,17,25,23,15,23,34,30,8,61,21,21,40,20,0,40,53,11,3,31,18,7,36,25,15,35,21,36,33,37,26,35,41,15,19,37,49,22,37,15,55,43,9,45,19,33,8,35,48,15,24,20,12,40,24,12,17,55,14,20,24,36,40,10,55,37,32,17,36,8,16,24,26,13,33,20,12,16,31,51,31,28,18,43,35,45,25,29,15,11,14,37,34,41,46,38,41,27,34,30,19,18,11,19,55,19,17,16,44,36,36,41,36,17,18,53,45,35,56,32,13,23,9,41,32,35,21,43,57,23,35,34,28,38,49,30,42,25,17,32,37,38,39,18,35,47,27,47,17
v27,27,24,13,29,49,43,33,24,40,23,45,31,37,15,23,37,17,6,36,32,21,49,29,46,20,40,0,15,29,43,15,26,33,30,65,25,41,23,18,15,31,14,29,47,55,37,21,9,18,25,47,15,37,49,15,59,31,34,29,8,55,32,60,32,10,16,52,29,15,26,20,16,4,16,50,15,17,38,23,22,48,34,32,14,27,7,26,52,24,29,11,37,22,48,23,17,39,37,39,27,31,26,7,40,35,6,32,47,29,40,36,21,58,29,47,15,37,33,56,14,30,30,21,16,43,24,17,5,41,16,20,49,29,35,11,14,21,23,3,17,29,41,14,12,44,9,44,36,65,33,36,5,14,9,22,27,11,39,7,39
v28,40,39,28,44,62,58,22,15,45,36,58,44,50,28,36,50,32,19,35,45,14,62,42,33,33,53,15,0,42,56,22,39,46,45,78,38,26,36,17,30,46,27,44,32,68,50,16,24,31,16,60,6,52,62,8,72,44,47,44,9,68,45,73,45,13,29,65,42,4,39,33,29,17,31,63,26,16,47,36,37,61,47,45,27,40,20,39,65,37,22,10,30,37,61,10,32,54,50,52,40,44,39,22,53,50,17,47,38,42,25,31,34,71,42,60,2,50,46,69,9,45,45,36,31,56,35,2,18,28,3,35,62,38,48,26,29,18,32,12,6,42,32,19,25,33,12,57,51,78,46,49,20,15,14,35,18,6,52,8,52
v29,6,37,26,42,24,56,20,53,27,14,16,12,24,14,30,8,30,23,23,3,50,28,14,33,13,11,29,42,0,14,20,25,4,43,36,4,28,28,25,28,44,23,42,34,26,12,26,38,11,26,18,44,50,20,34,30,40,5,42,37,26,17,31,19,29,13,23,24,44,17,9,19,25,29,21,44,26,25,8,35,19,9,31,15,2,22,13,23,9,20,40,24,35,25,32,30,52,32,36,22,18,3,26,41,48,35,45,34,34,27,23,24,29,14,26,44,26,10,27,33,43,43,34,29,14,11,42,34,28,45,33,20,16,6,30,27,24,10,32,46,30,28,23,23,31,38,37,49,36,24,39,26,27,28,7,24,36,34,36,24
v30,16,39,38,34,16,48,34,67,35,20,14,12,16,28,22,16,26,37,31,11,64,20,22,41,23,3,43,56,14,0,34,17,10,35,22,18,36,20,39,36,36,29,34,42,12,20,40,52,25,40,16,58,42,6,48,16,32,9,34,51,12,25,17,11,43,27,11,16,58,17,23,27,39,43,7,58,40,33,20,39,5,17,23,29,16,36,21,11,19,34,54,32,27,17,46,38,44,24,28,16,12,17,40,33,40,49,37,42,26,35,31,22,15,14,18,58,18,18,13,47,35,35,44,39,18,21,56,48,36,59,35,14,24,10,44,35,38,24,46,60,22,36,37,31,39,52,29,41,22,16,31,40,41,42,21,38,50,26,50,16
v31,18,39,28,44,40,58,18,33,25,16,36,22,28,16,32,28,32,9,21,23,30,40,20,31,15,31,15,22,20,34,0,27,24,45,56,16,26,30,5,30,46,25,44,32,46,28,6,24,9,10,38,24,52,40,14,50,42,25,44,17,46,23,51,23,9,7,43,26,24,19,11,21,15,31,41,26,6,25,14,37,39,25,33,11,18,20,17,43,15,14,20,22,37,39,12,32,54,34,38,24,22,17,22,43,50,17,47,32,36,25,21,26,49,20,38,24,28,24,47,13,45,45,36,31,34,13,22,18,26,25,35,40,16,26,26,29,6,10,12,26,32,26,3,25,29,18,39,51,56,26,41,20,7,8,13,12,16,36,16,30
v32,31,22,21,17,23,31,45,50,52,11,31,13,11,11,5,33,9,20,48,22,47,23,39,58,12,18,26,39,25,17,27,0,21,18,39,25,53,3,30,19,19,12,17,59,29,37,33,35,18,37,33,41,25,23,31,33,15,26,17,34,29,42,34,6,26,24,28,3,41,8,22,10,22,26,24,41,29,50,17,22,22,34,6,16,25,19,38,26,16,41,37,49,10,22,35,21,27,11,13,3,7,22,23,16,23,32,20,59,9,52,48,5,32,11,21,41,11,35,30,30,18,18,27,22,35,36,39,31,53,42,18,31,41,27,27,18,33,35,29,43,5,53,26,14,56,35,18,24,39,7,14,23,26,25,28,39,33,13,33,13
v33,10,33,28,38,20,52,24,57,31,10,12,8,20,18,26,12,26,27,27,1,54,24,18,37,13,7,33,46,4,10,24,21,0,39,32,8,32,24,29,26,40,19,38,38,22,16,30,42,15,30,14,48,46,16,38,26,36,5,38,41,22,21,27,15,33,17,19,20,48,13,13,17,29,33,17,48,30,29,10,31,15,13,27,19,6,26,17,19,9,24,44,28,31,21,36,28,48,28,32,18,14,7,30,37,44,39,41,38,30,31,27,20,25,10,22,48,22,14,23,37,39,39,34,29,14,15,46,38,32,49,29,16,20,6,34,25,28,14,36,50,26,32,27,21,35,42,33,45,32,20,35,30,31,32,11,28,40,30,40,20
v34,49,20,19,11,25,13,63,48,70,29,49,31,19,29,13,51,13,36,66,40,45,25,57,76,30,36,30,45,43,35,45,18,39,0,41,43,71,15,48,17,5,20,5,77,39,55,51,33,36,55,51,39,7,31,45,35,7,44,9,36,33,60,36,24,40,42,46,19,41,26,40,24,30,24,36,39,47,68,35,20,30,52,12,34,43,25,56,28,34,59,35,67,8,24,53,19,9,13,15,21,25,40,23,16,5,30,4,77,9,70,66,19,34,29,23,43,17,53,32,44,14,12,25,20,53,54,47,29,71,44,16,49,59,45,25,16,51,53,33,41,13,71,44,20,74,33,20,8,41,19,12,25,44,39,46,57,41,15,37,19
v35,38,61,60,52,16,44,56,89,39,42,20,34,28,50,42,28,48,59,43,33,86,16,36,45,45,25,65,78,36,22,56,39,32,41,0,40,54,42,61,58,36,51,46,48,10,28,62,74,47,62,20,80,38,16,70,6,34,31,50,73,10,33,5,33,65,49,15,36,80,39,45,49,61,65,15,80,62,37,42,61,17,31,33,51,38,58,39,13,41,56,76,48,47,17,68,60,50,28,26,38,34,39,62,29,38,71,45,46,36,55,47,44,7,36,18,80,28,32,9,69,55,53,66,61,22,43,78,70,50,81,57,18,40,30,66,57,60,46,68,82,36,46,59,53,45,74,25,49,4,32,29,62,63,64,43,60,72,26,72,26
v36,6,37,26,42,24,56,20,49,27,14,20,12,24,14,30,12,30,19,23,7,46,28,14,33,13,15,25,38,4,18,16,25,8,43,40,0,28,28,21,28,44,23,42,34,30,12,22,34,7,22,22,40,50,24,30,34,40,9,42,33,30,17,35,19,25,9,27,24,40,17,5,19,21,29,25,40,22,25,8,35,23,9,31,11,2,18,13,27,9,16,36,24,35,25,28,30,52,32,36,22,18,3,22,41,48,31,45,34,34,27,23,24,33,14,26,40,26,10,31,29,43,43,34,29,18,11,38,30,28,41,33,24,16,10,26,27,20,10,28,42,30,28,19,23,31,34,37,49,40,24,39,22,23,24,3,20,32,34,32,24
v37,22,65,54,70,52,84,8,41,21,42,34,40,52,42,58,26,58,35,11,31,40,56,18,9,41,35,41,26,28,36,26,53,32,71,54,28,0,56,23,56,72,51,70,6,44,26,20,50,35,16,36,32,78,40,26,48,68,27,70,35,44,21,49,47,31,29,41,52,30,45,31,47,41,57,39,52,24,23,36,63,41,23,59,37,28,46,15,47,37,12,36,6,63,53,18,58,80,60,64,50,46,31,48,69,76,43,73,14,62,1,7,52,47,42,54,28,54,22,49,27,71,71,62,57,32,17,24,44,4,27,61,38,14,26,52,55,20,18,38,32,58,8,27,51,9,38,65,77,54,52,67,46,27,32,25,14,30,62,34,52
v38,34,19,18,14,26,28,48,47,55,14,34,16,14,14,2,36,6,21,51,25,44,26,42,61,15,21,23,36,28,20,30,3,24,15,42,28,56,0,33,16,16,9,14,62,32,40,36,32,21,40,36,38,22,26,30,36,12,29,14,31,32,45,37,9,25,27,31,6,38,11,25,9,19,23,27,38,32,53,20,19,25,37,9,19,28,16,41,29,19,44,34,52,7,25,38,18,24,14,16,6,10,25,20,17,20,29,17,62,6,55,51,4,35,14,24,38,14,38,33,29,15,15,24,19,38,39,36,28,56,39,15,34,44,30,24,15,36,38,26,40,6,56,29,11,59,32,21,21,42,10,13,20,29,24,31,42,30,16,30,16
v39,23,42,31,47,45,61,15,28,28,19,41,27,33,19,35,33,35,12,18,28,25,45,25,28,18,36,18,17,25,39,5,30,29,48,61,21,23,33,0,33,49,28,47,29,51,33,3,27,14,7,43,19,55,45,9,55,45,30,47,12,51,28,56,28,8,12,48,29,19,22,16,24,18,34,46,29,1,30,19,40,44,30,36,14,23,23,22,48,20,11,15,19,40,44,7,35,57,37,41,27,27,22,25,46,53,20,50,29,39,22,18,29,54,25,43,19,33,29,52,8,48,48,39,34,39,18,17,21,23,20,38,45,21,31,29,32,3,15,15,21,35,23,4,28,26,15,42,54,61,29,44,23,4,9,18,9,11,39,11,35
v40,34,9,2,14,42,28,48,31,55,16,38,24,30,14,16,36,10,21,51,25,28,42,42,61,15,33,15,30,28,36,30,19,26,17,58,28,56,16,33,0,22,7,14,62,48,40,36,16,21,40,40,24,24,42,30,52,24,29,14,21,48,45,53,25,25,27,45,22,26,19,25,9,15,7,43,22,32,53,20,7,41,37,25,19,28,10,41,45,19,44,20,52,11,41,38,2,24,30,32,20,24,25,8,33,20,13,17,62,22,55,51,14,51,22,40,28,30,38,49,29,15,15,8,3,38,39,32,12,56,29,5,42,44,30,8,1,36,38,18,24,22,56,29,5,59,18,37,21,58,26,29,10,29,24,31,42,26,32,22,32
