,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v20,41,39,39,36,65,69,42,51,41,26,33,64,18,78,11,25,25,35,72,0,34,49,78,42,30,40,36,19,40,27,71,53,29,46,24,32,15,50,8,24,60,16,38,42,52,37,33,31,45,21,13,11,65,68,58,49,27,36,26,33,51,33,47,41,24,16,50,23,6,36,29,31,10,38,49,47,60,23,44,30,17,14,22,5,20,45,66,27,50,27,45,26,6,34,68,29,36,43,15,39,54,18,18,51,5,64,40,44,43,59,4,27,50,15,39,12,49,39,51,67,51,49,27,51,51,64,33,21,24,43,46,54,30,14,59,3,34,61,12,76,51,28,38,54,54,34,67,44,66,22,50,25,43,49,24,27,26,20,44,21
v21,9,47,5,52,31,35,20,17,11,8,49,30,24,44,23,37,31,57,38,34,0,27,44,42,10,6,14,33,10,31,37,31,31,12,44,30,23,16,26,46,26,18,18,20,18,15,5,33,23,19,35,33,31,34,30,25,7,34,8,21,29,1,13,19,18,30,26,21,28,18,7,23,40,50,27,21,38,37,22,42,17,28,22,29,40,45,32,29,28,11,23,24,30,54,34,39,8,33,31,11,20,28,38,17,35,30,16,22,21,25,30,41,16,23,13,36,43,17,17,33,29,29,7,29,17,30,9,15,30,15,36,20,26,46,25,31,26,39,32,42,29,20,22,38,20,40,33,10,32,16,28,11,21,27,10,21,28,14,28,29
v22,36,74,28,79,44,48,15,16,16,29,76,23,51,37,48,64,38,84,39,49,27,0,37,69,37,25,19,60,37,58,30,4,38,33,71,57,50,11,45,73,37,37,45,47,11,18,32,60,24,28,62,60,24,27,57,8,26,61,35,28,18,26,16,8,45,57,53,28,53,45,34,30,47,77,12,48,11,44,23,69,38,55,49,50,67,72,27,56,7,22,50,51,43,81,45,66,35,60,38,16,21,55,65,18,44,53,11,25,14,42,51,68,17,34,40,43,70,44,28,26,4,56,28,10,24,27,36,28,37,12,63,43,33,53,30,50,33,12,59,43,6,27,29,65,29,67,30,17,31,27,17,38,22,10,33,48,55,33,55,56
v23,37,45,39,50,15,19,52,27,37,52,47,14,60,6,67,53,75,55,10,78,44,37,0,40,48,38,56,59,38,51,7,41,75,32,54,46,63,28,70,54,18,62,40,36,26,55,45,47,61,63,65,67,13,10,28,29,51,42,52,65,55,45,31,45,54,62,28,65,72,42,49,67,84,48,49,31,42,81,60,48,61,64,56,73,58,43,12,51,44,55,33,52,74,52,16,49,42,35,75,39,24,60,60,27,79,24,38,62,51,19,74,51,28,67,39,80,41,39,27,11,41,29,51,47,27,14,45,59,74,35,34,24,70,90,19,75,70,43,66,14,31,64,66,36,24,44,11,34,12,60,54,53,59,47,54,51,52,58,34,57
v24,33,5,41,10,25,27,62,53,53,40,9,54,24,36,31,17,45,15,30,42,42,69,40,0,32,44,56,23,32,15,47,73,49,36,18,12,27,58,34,18,32,32,24,22,58,57,37,11,65,41,29,31,51,42,16,67,43,8,34,53,71,43,53,61,24,26,16,43,36,24,35,51,48,8,69,21,80,45,64,12,31,28,20,37,22,3,42,15,70,47,19,18,38,12,26,13,34,9,39,53,48,24,24,51,43,22,58,64,63,27,38,15,52,35,29,44,7,25,41,51,71,13,41,71,45,42,33,41,44,57,6,26,50,54,39,39,54,81,30,34,71,48,58,12,40,8,39,52,38,42,70,31,63,69,36,21,16,36,14,21
v25,11,37,9,42,35,39,30,21,21,8,39,34,14,48,19,27,27,47,42,30,10,37,48,32,0,12,24,23,10,21,41,41,27,16,34,20,15,26,22,36,30,14,8,12,26,25,5,23,33,15,25,23,35,38,28,35,11,24,4,21,39,11,21,29,8,20,20,17,24,8,3,19,36,40,37,17,48,33,32,32,13,18,12,25,30,35,36,19,38,15,15,14,26,44,38,29,6,23,27,21,24,18,28,21,31,34,26,32,31,29,26,31,20,19,9,32,33,9,21,37,39,19,9,39,21,34,3,11,26,25,26,24,22,42,29,27,22,49,22,46,39,16,26,28,24,30,37,20,36,12,38,5,31,37,6,11,18,10,18,19
v26,11,49,3,54,25,29,18,11,9,14,51,24,26,38,29,39,37,59,32,40,6,25,38,44,12,0,18,35,12,33,31,29,37,8,46,32,25,14,32,48,20,24,20,22,14,17,7,35,23,25,37,35,25,28,32,23,13,36,14,27,27,7,9,17,20,32,28,27,34,20,11,29,46,52,25,23,36,43,22,44,23,30,24,35,42,47,26,31,26,17,25,26,36,56,28,41,10,35,37,9,14,30,40,11,41,28,14,24,19,19,36,43,10,29,15,42,45,19,11,27,27,31,13,27,11,24,11,21,36,13,38,18,32,52,19,37,32,37,34,36,27,26,28,40,14,42,27,8,26,22,26,15,21,25,16,23,30,20,30,31
v27,23,61,17,66,43,47,6,29,19,16,63,42,38,56,35,51,19,71,50,36,14,19,56,56,24,18,0,47,24,45,49,17,19,24,58,44,37,28,32,60,38,24,32,34,30,1,19,47,9,15,49,47,43,46,44,27,13,48,22,9,15,13,25,11,32,44,40,13,40,32,21,11,28,64,13,35,24,25,8,56,25,42,36,37,54,59,44,43,14,9,37,38,30,68,46,53,22,47,21,17,32,42,52,29,31,42,18,8,7,37,38,55,28,21,27,24,57,31,29,45,15,43,15,15,29,42,23,15,18,21,50,32,14,34,37,37,14,25,46,54,25,8,10,52,32,54,45,22,44,14,14,25,7,13,20,35,42,20,42,43
v28,24,20,32,19,46,50,53,44,44,31,16,45,9,59,12,6,36,24,53,19,33,60,59,23,23,35,47,0,23,8,52,64,40,27,11,13,10,49,15,13,41,23,19,23,49,48,28,12,56,32,6,8,46,49,39,58,34,17,25,44,62,34,44,52,15,3,31,34,13,17,26,42,25,19,60,28,71,34,55,11,22,5,11,14,7,26,47,8,61,38,26,9,17,21,49,10,25,24,26,44,39,5,5,42,20,45,49,55,54,40,15,8,43,26,20,23,30,20,32,48,62,30,32,62,36,45,24,32,35,48,27,35,41,31,40,16,45,72,7,57,62,39,49,35,35,15,48,43,47,33,61,22,54,60,27,12,7,27,25,4
v29,1,37,9,42,25,29,30,21,21,14,39,24,22,38,29,27,37,47,32,40,10,37,38,32,10,12,24,23,0,21,31,41,37,6,34,20,25,26,32,36,20,24,8,10,26,25,7,23,33,25,27,29,25,28,20,35,13,24,14,27,39,11,21,29,16,24,16,27,34,8,11,29,46,40,37,11,48,43,32,32,23,26,18,35,30,35,26,19,38,17,13,14,36,44,28,29,4,23,37,21,16,22,28,19,41,24,26,32,31,19,36,31,20,29,3,42,33,7,11,27,39,19,13,39,13,24,7,21,36,25,26,14,32,52,19,37,32,49,28,36,39,26,28,28,14,30,27,20,26,22,38,15,31,37,16,13,18,20,18,19
v30,22,16,30,21,38,42,51,42,42,29,18,43,9,51,16,6,34,26,45,27,31,58,51,15,21,33,45,8,21,0,44,62,38,25,13,5,12,47,19,15,33,21,13,15,47,46,26,4,54,30,14,16,40,41,31,56,32,9,23,42,60,32,42,50,13,11,23,32,21,13,24,40,33,19,58,20,69,32,53,11,20,13,9,22,9,18,39,2,59,36,18,7,23,23,41,8,23,16,24,42,37,9,9,40,28,37,47,53,52,32,23,10,41,24,18,29,22,14,30,40,60,22,30,60,34,37,22,30,33,46,19,27,39,39,32,24,43,70,15,49,60,37,47,27,29,9,40,41,39,31,59,20,52,58,25,10,3,25,17,6
v31,30,52,32,57,22,26,45,20,30,45,54,7,53,13,60,46,68,62,17,71,37,30,7,47,41,31,49,52,31,44,0,34,68,25,49,39,56,21,63,51,15,55,33,29,19,48,38,40,54,56,58,60,6,5,35,22,44,39,45,58,48,38,24,38,47,55,31,58,65,35,42,60,77,55,42,26,35,74,53,47,54,57,49,66,51,50,5,44,37,48,28,45,67,59,23,44,35,38,68,32,17,53,53,20,72,31,31,55,44,20,67,46,21,60,32,73,48,32,20,4,34,34,44,40,20,7,38,52,67,28,41,21,63,83,12,68,63,36,59,21,24,57,59,43,17,45,8,27,9,53,47,46,52,40,47,44,45,51,33,50
v32,40,78,32,83,48,52,11,20,20,33,80,27,55,41,52,68,34,88,43,53,31,4,41,73,41,29,17,64,41,62,34,0,34,37,75,61,54,15,49,77,41,41,49,51,15,16,36,64,20,32,66,64,28,31,61,12,30,65,39,24,14,30,20,12,49,61,57,30,57,49,38,26,43,81,8,52,7,40,19,73,42,59,53,54,71,76,31,60,3,26,54,55,47,85,49,70,39,64,38,20,25,59,69,22,48,57,15,21,10,46,55,72,21,38,44,41,74,48,32,30,2,60,32,6,28,31,40,32,33,16,67,47,29,49,34,54,29,8,63,47,10,25,25,69,33,71,34,21,35,31,13,42,18,6,37,52,59,37,59,60
v33,38,54,36,59,62,66,23,48,38,23,56,61,31,75,28,44,4,64,69,29,31,38,75,49,27,37,19,40,37,38,68,34,0,43,51,37,30,47,25,53,57,17,35,39,49,20,30,40,16,12,42,40,62,65,55,46,24,41,23,10,22,30,44,30,25,37,47,10,33,33,26,8,19,57,26,44,33,6,15,49,18,35,29,30,47,52,63,36,31,20,42,31,23,61,65,46,33,40,14,36,51,35,45,48,24,61,37,15,24,56,31,48,47,14,36,17,50,36,48,64,34,46,24,28,48,61,30,16,5,40,43,51,5,15,56,30,5,32,39,73,44,11,9,51,51,47,64,41,63,15,21,22,16,28,21,28,35,17,41,36
v34,5,41,7,46,19,23,26,17,17,20,43,18,28,32,35,31,43,51,26,46,12,33,32,36,16,8,24,27,6,25,25,37,43,0,38,24,31,22,38,40,14,30,12,14,22,23,13,27,29,31,33,35,19,22,24,31,19,28,20,33,35,13,17,25,22,30,20,33,40,12,17,35,52,44,33,15,44,49,28,36,29,32,24,41,34,39,20,23,34,23,17,20,42,48,22,33,10,27,43,17,12,28,32,15,47,20,22,30,27,13,42,35,16,35,7,48,37,11,5,21,35,23,19,35,9,18,13,27,42,21,30,10,38,58,13,43,38,45,34,30,35,32,34,32,8,34,21,16,20,28,34,21,27,33,22,19,22,26,22,25
v35,35,15,43,12,41,45,64,55,55,42,9,56,20,54,23,7,47,13,48,24,44,71,54,18,34,46,58,11,34,13,49,75,51,38,0,14,21,60,26,2,36,34,26,24,60,59,39,11,67,43,11,13,53,44,34,69,45,12,36,55,73,45,55,63,26,14,26,45,18,26,37,53,32,14,71,23,82,45,66,6,33,16,22,21,4,21,44,15,72,49,21,20,28,10,44,5,36,19,37,55,50,16,6,53,27,40,60,66,65,35,20,3,54,37,31,34,25,27,43,53,73,25,43,73,47,44,35,43,46,59,22,30,52,36,41,21,56,83,12,52,73,50,60,30,42,10,43,54,42,44,72,33,65,71,38,23,16,38,20,15
v36,21,17,29,22,33,37,50,41,41,28,19,42,14,46,21,7,33,27,40,32,30,57,46,12,20,32,44,13,20,5,39,61,37,24,14,0,17,46,24,16,28,20,12,10,46,45,25,3,53,29,19,21,39,36,26,55,31,4,22,41,59,31,41,49,12,16,18,31,26,12,23,39,38,20,57,15,68,35,52,12,19,18,10,27,12,15,34,5,58,35,13,6,28,24,36,9,22,11,29,41,36,14,14,39,33,32,46,52,51,27,28,11,40,23,17,34,17,13,29,39,59,17,29,59,33,32,21,29,32,45,14,22,38,44,27,29,42,69,20,44,59,36,46,22,28,10,35,40,34,30,58,19,51,57,24,9,6,24,12,11
v37,26,24,24,29,50,54,43,36,34,21,26,49,3,63,4,14,26,34,57,15,23,50,63,27,15,25,37,10,25,12,56,54,30,31,21,17,0,39,7,23,45,13,23,27,39,38,18,16,46,22,12,10,50,53,43,48,24,21,15,34,52,24,34,42,9,7,35,24,9,21,16,32,21,27,50,32,61,24,45,19,12,5,7,10,17,30,51,12,51,28,30,11,11,31,53,16,21,28,16,34,39,5,15,36,16,49,39,45,44,44,11,18,35,16,24,17,34,24,36,52,52,34,22,52,36,49,18,22,25,38,31,39,31,27,44,12,35,62,9,61,52,29,39,39,39,19,52,33,51,23,51,12,44,50,17,12,11,17,29,6
v38,25,63,17,68,33,37,24,5,9,24,65,14,40,28,39,53,47,73,28,50,16,11,28,58,26,14,28,49,26,47,21,15,47,22,60,46,39,0,42,62,26,34,34,36,2,27,21,49,33,35,51,49,15,18,46,9,23,50,24,37,27,17,5,17,34,46,42,37,44,34,23,39,56,66,21,37,22,53,32,58,33,44,38,45,56,61,16,45,16,27,39,40,46,70,34,55,24,49,47,11,10,44,54,7,51,42,10,34,23,31,46,57,6,39,29,52,59,33,17,17,13,45,23,19,13,16,25,31,46,7,52,32,42,62,19,47,42,23,48,32,13,36,38,54,18,56,19,6,20,32,26,27,31,19,26,37,44,30,44,45
v39,33,31,31,34,57,61,38,43,33,18,31,56,10,70,3,19,21,39,64,8,26,45,70,34,22,32,32,15,32,19,63,49,25,38,26,24,7,42,0,28,52,8,30,34,44,33,25,23,41,17,17,15,57,60,50,43,19,28,18,29,47,25,39,37,16,12,42,19,8,28,21,27,14,32,45,39,56,19,40,24,9,10,14,5,22,37,58,19,46,23,37,18,4,36,60,21,28,35,11,31,46,10,20,43,9,56,34,40,39,51,6,23,42,11,31,10,41,31,43,59,47,41,19,47,43,56,25,17,20,35,38,46,26,20,51,5,30,57,14,68,47,24,34,46,46,26,59,36,58,18,46,17,39,45,16,19,18,12,36,13
v40,37,15,45,12,41,45,66,57,57,44,9,58,22,54,25,9,49,11,48,24,46,73,54,18,36,48,60,13,36,15,51,77,53,40,2,16,23,62,28,0,36,36,28,26,62,61,41,13,69,45,11,13,55,46,34,71,47,12,38,57,75,47,57,65,28,16,26,47,20,28,39,55,34,14,73,25,84,47,68,6,35,18,24,23,6,21,46,17,74,51,23,22,30,10,44,7,38,19,39,57,52,18,8,55,29,40,62,68,67,35,22,5,56,39,33,36,25,29,45,55,75,25,45,75,49,46,37,45,48,61,22,30,54,38,43,23,58,85,14,52,75,52,62,30,44,10,43,56,42,46,74,35,67,73,40,25,18,40,20,17
