,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v14,12,26,17,47,15,30,47,59,65,55,10,54,55,0,35,54,48,41,42,35,31,46,31,43,36,41,37,25,12,15,45,39,20,52,28,52,26,19,9,30,60,23,34,42,21,7,18,51,43,4,49,41,52,31,21,33,49,72,43,48,45,43,29,61,32,34,48,5,13,63,71,54,33,19,52,24,39,76,21,58,29,40,43,17,43,24,38,33,47,40,35,21,25,51,39,41,24,75,57,32,58,51,12,18,26,37,17,27,20,58,38,48,11,40,38,43,41,29,41,27,31,13,59,17,59,18,70,16,43,34,35,19,31,43,25,49,62,29,48,61,47,39,45,29,41,52,11,40,28,31,51,54,2,48,11,24,28,55,34,68
v15,29,47,36,12,50,65,12,42,48,38,31,37,44,35,0,51,23,58,47,18,4,29,8,20,29,24,2,50,23,28,10,22,47,17,43,35,9,36,26,23,43,18,39,25,48,36,35,40,26,39,32,60,35,14,16,54,32,55,8,31,26,26,6,44,17,5,31,32,44,46,54,37,38,52,35,59,22,59,20,41,40,31,34,24,26,57,63,16,12,23,56,42,10,54,56,6,19,58,48,5,41,34,27,27,25,18,18,46,49,41,29,13,28,9,45,64,38,36,18,50,4,34,42,34,42,17,53,51,26,21,4,16,6,62,46,34,45,14,39,44,26,22,28,46,24,41,24,35,7,10,34,45,35,17,30,11,47,38,31,51
v16,66,28,37,63,41,32,63,25,15,49,64,16,7,54,51,0,64,13,12,45,47,44,47,59,22,37,53,29,58,65,61,31,34,68,26,46,42,35,47,28,36,33,20,34,33,47,36,11,27,56,33,13,26,47,35,21,19,24,59,26,61,49,45,21,34,50,40,59,41,11,23,48,21,35,22,38,29,22,33,30,25,20,17,61,59,30,16,41,63,46,19,33,41,3,15,57,32,29,3,48,28,33,64,36,28,53,53,27,34,42,22,64,65,56,16,13,13,25,57,27,47,41,17,71,41,42,16,40,45,30,51,51,47,11,29,17,38,51,12,29,63,37,49,25,47,10,43,16,44,47,45,6,56,64,43,48,26,13,20,34
v17,52,60,49,17,63,78,13,39,49,15,50,48,57,48,23,64,0,71,60,19,21,20,17,5,42,27,23,63,44,51,19,33,60,6,56,18,28,49,39,36,28,31,52,30,61,49,48,53,37,52,31,73,38,17,29,67,45,40,19,38,3,15,21,43,30,18,24,45,57,53,41,16,51,65,42,72,35,42,33,34,53,44,47,47,5,70,76,23,11,18,69,55,25,67,69,23,32,35,61,28,36,31,50,40,38,11,39,59,62,22,42,18,51,14,58,77,51,49,7,63,23,47,47,57,23,30,50,64,19,34,19,37,29,75,59,47,26,37,52,35,3,27,15,59,17,54,37,48,20,33,19,58,48,6,43,34,60,51,44,30
v18,53,15,24,70,28,19,70,32,24,56,51,23,14,41,58,13,71,0,11,52,54,51,54,66,29,44,60,16,45,52,68,38,21,75,15,53,49,22,34,35,43,40,19,41,20,34,23,18,34,43,40,2,33,54,42,8,26,31,66,33,68,56,52,28,41,57,47,46,28,22,30,55,20,22,29,25,36,35,38,37,18,27,24,48,66,17,5,48,70,53,6,20,48,10,2,64,39,36,16,55,35,40,51,31,33,60,40,14,21,49,29,71,52,63,13,6,20,22,64,14,54,28,24,58,48,41,29,27,52,37,58,42,54,4,16,24,45,52,19,36,70,44,56,12,54,17,34,23,51,54,52,13,43,71,30,47,13,20,27,41
v19,54,16,25,59,29,20,59,21,23,45,52,12,13,42,47,12,60,11,0,41,43,40,43,55,18,33,49,17,46,53,57,27,22,64,14,42,38,23,35,24,32,29,8,30,21,35,24,9,23,44,29,13,22,43,31,9,15,30,55,22,57,45,41,19,30,46,36,47,29,21,29,44,9,23,18,26,25,34,27,26,13,16,13,49,55,18,16,37,59,42,9,21,37,9,9,53,28,33,15,44,24,29,52,24,22,49,41,15,22,38,18,60,53,52,4,17,9,13,53,15,43,29,17,59,37,30,28,28,41,26,47,39,43,15,17,13,34,41,8,25,59,33,45,13,43,10,31,12,40,43,41,12,44,60,31,36,14,13,16,30
v20,47,41,30,18,44,59,18,24,30,20,45,29,38,35,18,45,19,52,41,0,16,11,10,14,23,8,18,44,39,46,16,14,41,23,37,17,23,30,28,17,25,12,33,11,42,30,29,34,18,37,14,54,19,4,14,48,26,37,14,19,16,8,16,26,11,13,13,40,38,34,36,19,32,46,23,53,16,41,14,23,34,25,28,42,14,51,57,4,18,5,50,36,20,48,50,18,13,40,42,23,23,16,45,21,19,8,34,40,43,23,23,19,46,11,39,58,32,30,12,44,18,28,28,52,24,23,35,45,8,15,14,32,24,56,40,28,27,32,33,26,18,8,10,40,6,35,24,29,11,28,16,39,37,19,24,29,41,32,25,33
v21,31,43,32,16,46,61,16,40,46,36,29,35,40,31,4,47,21,54,43,16,0,27,6,18,25,22,6,46,23,30,14,20,43,21,39,33,7,32,22,19,41,14,35,23,44,32,31,36,24,35,30,56,33,12,12,50,30,53,12,29,24,24,2,42,13,3,29,28,40,44,52,35,34,48,33,55,20,57,16,39,36,27,30,26,24,53,59,14,16,21,52,38,6,50,52,10,15,56,44,7,39,32,29,23,21,16,18,42,45,39,25,17,30,9,41,60,34,32,16,46,2,30,40,36,40,13,51,47,24,17,4,16,8,58,42,30,43,16,35,42,24,20,26,42,22,37,20,31,5,12,32,41,31,17,26,13,43,36,27,49
v22,58,40,29,23,43,58,19,19,29,9,56,28,37,46,29,44,20,51,40,11,27,0,21,15,22,7,29,43,50,57,25,13,40,24,36,6,34,29,39,16,14,23,32,10,41,39,28,33,17,48,11,53,18,15,25,47,25,26,25,18,17,5,27,23,14,24,4,51,37,33,25,8,31,45,22,52,15,30,25,14,33,24,27,53,15,50,56,13,19,6,49,35,31,47,49,29,22,29,41,34,16,11,56,28,20,11,45,39,42,12,22,24,57,20,38,57,31,29,13,43,29,33,27,63,13,34,30,44,3,14,25,43,35,55,39,27,16,43,32,15,19,7,5,39,5,34,35,28,22,39,5,38,48,20,35,40,40,31,24,22
v23,37,43,32,16,46,61,16,34,40,30,35,31,40,31,8,47,17,54,43,10,6,21,0,12,25,16,8,46,29,36,14,16,43,21,39,27,13,32,22,19,35,14,35,17,44,32,31,36,20,35,24,56,27,6,12,50,28,47,12,23,18,18,6,36,13,3,23,30,40,38,46,29,34,48,27,55,18,51,16,33,36,27,30,32,18,53,59,8,16,15,52,38,10,50,52,10,15,50,44,13,33,26,35,23,21,10,24,42,45,33,25,17,36,9,41,60,34,32,10,46,8,30,34,42,34,13,45,47,18,17,4,22,14,58,42,30,37,22,35,36,18,14,20,42,16,37,20,31,3,18,26,41,31,17,26,19,43,34,27,43
v24,49,55,44,14,58,73,10,34,44,18,47,43,52,43,20,59,5,66,55,14,18,15,12,0,37,22,20,58,41,48,16,28,55,9,51,15,25,44,34,31,23,26,47,25,56,44,43,48,32,47,26,68,33,12,24,62,40,35,16,33,6,10,18,38,25,15,19,42,52,48,36,17,46,60,37,67,30,39,28,29,48,39,42,44,6,65,71,18,8,13,64,50,22,62,64,20,27,38,56,25,31,26,47,35,33,6,36,54,57,21,37,15,48,11,53,72,46,44,2,58,20,42,42,54,22,25,45,59,14,29,16,34,26,70,54,42,25,34,47,30,6,22,10,54,12,49,32,43,15,30,14,53,43,5,38,31,55,46,39,31
v25,48,18,19,41,23,36,41,23,29,27,46,18,19,36,29,22,42,29,18,23,25,22,25,37,0,15,31,21,40,47,39,9,18,46,14,24,24,17,29,6,24,13,10,12,19,29,18,15,7,38,13,31,16,25,15,25,13,36,37,12,39,27,23,25,12,28,18,41,23,27,35,26,9,23,16,30,7,40,15,22,11,4,7,43,37,28,34,19,41,24,27,15,21,25,27,35,12,39,21,26,22,15,46,18,10,31,35,17,20,22,2,42,47,34,16,35,9,7,35,21,25,23,23,53,23,24,34,22,23,8,29,33,25,33,17,13,26,33,12,25,41,15,27,17,25,16,25,6,22,29,23,18,38,42,25,30,18,19,2,32
v26,53,33,24,26,36,51,26,18,24,14,51,21,30,41,24,37,27,44,33,8,22,7,16,22,15,0,24,36,45,52,24,6,33,31,29,11,29,22,34,11,19,18,25,3,34,34,23,26,10,43,8,46,11,10,20,40,18,31,22,11,24,12,22,20,9,19,7,46,30,26,30,13,24,38,15,45,8,35,20,17,26,17,20,48,22,43,49,8,26,9,42,28,26,40,42,24,17,34,34,29,17,10,51,23,15,16,40,32,35,17,15,27,52,19,31,50,24,22,20,36,24,28,20,58,18,29,29,37,8,7,20,38,30,48,32,20,21,38,25,20,26,2,12,32,10,27,30,21,17,34,10,31,43,27,30,35,33,24,17,27
v27,31,49,38,10,52,67,10,42,48,38,33,37,46,37,2,53,23,60,49,18,6,29,8,20,31,24,0,52,25,28,8,22,49,17,45,35,11,38,28,25,43,20,41,25,50,38,37,42,26,41,32,62,35,14,18,56,34,55,6,31,26,26,8,44,19,5,31,34,46,46,54,37,40,54,35,61,24,59,22,41,42,33,36,24,26,59,65,16,12,23,58,44,12,56,58,4,21,58,50,5,41,34,27,29,27,18,20,48,51,41,31,11,28,9,47,66,40,38,18,52,6,36,42,34,42,19,53,53,26,23,4,18,6,64,48,36,45,14,41,44,26,22,28,48,24,43,26,37,9,10,34,47,37,17,32,13,49,40,33,51
v28,37,3,14,62,12,15,62,34,40,48,35,29,30,25,50,29,63,16,17,44,46,43,46,58,21,36,52,0,29,36,60,30,5,67,7,45,41,14,24,27,35,32,11,33,4,18,15,26,26,27,32,16,27,46,34,8,24,47,58,25,60,48,44,36,33,49,39,30,12,38,46,47,12,6,27,9,28,51,30,33,10,19,18,32,58,7,13,40,62,45,10,8,40,26,14,56,31,50,32,47,33,32,35,23,25,52,32,4,5,41,21,63,36,55,13,18,16,14,56,2,46,16,34,42,40,33,45,11,44,29,50,34,46,18,4,24,37,44,23,36,62,36,48,4,46,27,26,15,43,46,44,29,27,63,20,39,3,30,19,43
v29,8,30,21,35,27,42,35,63,69,59,8,58,59,12,23,58,44,45,46,39,23,50,29,41,40,45,25,29,0,7,33,43,24,40,32,56,16,23,11,34,64,27,38,46,25,13,22,55,47,16,53,45,56,35,25,37,53,76,31,52,47,47,23,65,36,26,52,9,21,67,75,58,37,29,56,36,43,80,25,62,33,44,47,5,47,34,42,37,35,44,39,25,19,55,43,29,28,79,61,20,62,55,6,22,30,39,5,31,26,62,42,36,7,30,42,47,45,33,39,31,21,17,63,13,63,16,74,28,47,38,25,7,19,47,29,53,66,17,52,65,47,43,49,33,45,56,15,44,28,19,55,58,12,38,15,12,32,59,38,72
v30,9,37,28,34,30,45,38,70,76,66,11,65,66,15,28,65,51,52,53,46,30,57,36,48,47,52,28,36,7,0,32,50,31,45,39,63,23,30,18,41,71,34,45,53,32,18,29,62,54,19,60,52,63,42,32,44,60,83,32,59,54,54,30,72,43,33,59,12,24,74,82,65,44,32,63,39,50,87,32,69,40,51,54,4,54,37,49,44,40,51,46,32,26,62,50,28,35,86,68,23,69,62,3,29,37,46,12,38,31,69,49,33,4,37,49,54,52,40,46,38,28,24,70,6,70,23,81,31,54,45,32,14,22,54,36,60,73,14,59,72,54,50,56,40,52,63,22,51,35,18,62,65,15,45,22,17,39,66,45,79
v31,39,57,46,2,60,75,6,38,46,34,41,45,54,45,10,61,19,68,57,16,14,25,14,16,39,24,8,60,33,32,0,30,57,13,53,31,19,46,36,33,39,28,49,27,58,46,45,50,34,49,28,70,35,14,26,64,42,51,2,35,22,22,16,40,27,11,27,42,54,50,50,33,48,62,39,69,32,55,30,37,50,41,44,28,22,67,73,20,8,19,66,52,20,64,66,4,29,54,58,13,37,30,33,37,35,14,28,56,59,37,39,3,34,5,55,74,48,46,14,60,14,44,44,38,38,27,49,61,22,31,10,26,14,72,56,44,41,18,49,40,22,24,24,56,20,51,34,45,17,14,30,55,45,13,40,21,57,48,41,47
v32,51,27,22,32,30,45,32,20,26,18,49,15,24,39,22,31,33,38,27,14,20,13,16,28,9,6,22,30,43,50,30,0,27,37,23,15,27,20,32,9,21,16,19,3,28,32,21,20,4,41,10,40,13,16,18,34,12,33,28,9,30,18,20,22,7,19,9,44,26,24,32,17,18,32,13,39,2,37,18,19,20,11,14,46,28,37,43,10,32,15,36,22,24,34,36,26,15,36,28,27,19,12,49,21,13,22,38,26,29,19,9,33,50,25,25,44,18,16,26,30,22,26,20,56,20,27,31,31,14,5,20,36,28,42,26,14,23,36,19,22,32,6,18,26,16,21,28,15,15,32,14,25,41,33,28,33,27,18,11,29
v33,32,6,11,59,7,18,59,39,45,45,30,34,35,20,47,34,60,21,22,41,43,40,43,55,18,33,49,5,24,31,57,27,0,64,8,42,38,11,21,24,40,29,14,30,1,13,12,31,23,22,29,21,32,43,31,13,29,52,55,28,57,45,41,41,30,46,36,25,7,43,51,44,13,5,32,12,25,56,27,38,9,20,23,29,55,10,18,37,59,42,15,5,37,31,19,53,28,55,37,44,38,31,30,20,22,49,29,7,2,38,18,60,31,52,18,23,21,11,53,7,43,13,39,37,39,30,50,6,41,26,47,31,43,23,5,29,42,41,28,41,59,33,45,9,43,32,23,20,40,43,41,34,22,60,17,36,8,35,16,48
v34,46,64,53,11,67,82,7,43,53,21,48,52,61,52,17,68,6,75,64,23,21,24,21,9,46,31,17,67,40,45,13,37,64,0,60,22,26,53,43,40,32,35,56,34,65,53,52,57,41,56,35,77,42,21,33,71,49,44,13,42,9,19,23,47,34,18,28,49,61,57,45,20,55,69,46,76,39,46,37,38,57,48,51,41,9,74,80,27,5,22,73,59,27,71,73,17,36,41,65,22,40,35,44,44,42,15,35,63,66,26,46,12,45,12,62,81,55,53,11,67,21,51,51,51,27,34,54,68,23,38,17,33,23,79,63,51,30,31,56,39,9,31,19,63,21,58,41,52,24,27,23,62,52,4,47,28,64,55,48,34
v35,40,4,11,55,15,22,55,31,37,41,38,26,27,28,43,26,56,15,14,37,39,36,39,51,14,29,45,7,32,39,53,23,8,60,0,38,34,9,21,20,32,25,6,26,7,21,10,23,19,30,25,17,24,39,27,11,21,44,51,20,53,41,37,33,26,42,32,33,15,35,43,40,5,9,24,16,21,48,23,30,3,12,15,35,51,14,20,33,55,38,13,7,33,23,13,49,24,47,29,40,30,25,38,16,18,45,27,3,8,34,14,56,39,48,10,21,13,7,49,7,39,15,31,45,33,26,42,14,37,22,43,27,39,19,3,21,34,37,20,33,55,29,41,3,39,24,19,12,36,39,37,26,30,56,17,32,4,27,12,40
v36,64,42,35,29,45,60,25,21,31,3,62,30,39,52,35,46,18,53,42,17,33,6,27,15,24,11,35,45,56,63,31,15,42,22,38,0,40,33,45,22,10,29,34,12,43,45,34,35,19,54,13,55,20,21,31,49,27,22,31,20,15,9,33,25,20,30,6,57,39,35,23,2,33,47,24,54,17,24,31,16,35,26,29,59,13,52,58,19,23,12,51,37,37,49,51,35,28,23,43,40,18,13,62,34,26,17,51,41,44,6,24,30,63,26,40,59,33,31,17,45,35,39,29,69,7,40,32,46,9,18,31,49,41,57,41,29,10,49,34,17,17,13,7,41,11,36,41,30,28,45,1,40,54,18,41,46,42,33,26,16
v37,24,38,27,21,41,56,21,47,53,43,22,42,43,26,9,42,28,49,38,23,7,34,13,25,24,29,11,41,16,23,19,27,38,26,34,40,0,27,17,18,48,11,30,30,39,27,26,39,31,30,37,51,40,19,9,45,37,60,17,36,31,31,7,49,20,10,36,23,35,51,59,42,29,43,40,50,27,64,11,46,31,28,31,19,31,48,54,21,21,28,47,33,3,45,47,15,12,63,45,6,46,39,22,18,16,23,11,37,40,46,26,22,23,14,36,55,29,27,23,41,5,25,47,29,47,8,58,42,31,22,9,9,5,53,37,37,50,9,36,49,31,27,33,37,29,40,15,28,12,5,39,42,26,22,21,6,38,43,22,56
v38,31,11,2,48,14,29,48,40,46,36,29,35,36,19,36,35,49,22,23,30,32,29,32,44,17,22,38,14,23,30,46,20,11,53,9,33,27,0,12,13,41,18,15,23,12,12,1,32,24,21,30,24,33,32,20,18,30,53,44,29,46,34,30,42,19,35,29,24,8,44,52,35,14,16,33,23,20,57,16,39,10,21,24,26,44,21,27,26,48,31,20,6,26,32,20,42,17,56,38,33,39,32,29,9,11,38,18,10,13,39,19,49,30,41,19,28,22,10,42,14,32,6,40,36,40,19,51,15,30,15,36,20,32,26,10,30,43,30,29,42,48,22,34,10,32,33,12,21,29,32,32,35,21,49,8,25,11,36,15,49
v39,19,21,10,38,24,39,38,52,58,48,17,47,48,9,26,47,39,34,35,28,22,39,22,34,29,34,28,24,11,18,36,32,21,43,21,45,17,12,0,23,53,16,27,35,22,10,11,44,36,13,42,34,45,24,14,28,42,65,34,41,36,36,20,54,25,25,41,12,18,56,64,47,26,26,45,33,32,69,14,51,22,33,36,14,36,31,37,26,38,33,30,16,16,44,32,32,17,68,50,23,51,44,17,11,19,28,8,20,23,51,31,39,18,31,31,38,34,22,32,24,22,8,52,24,52,9,63,25,36,27,26,10,22,36,20,42,55,20,41,54,38,32,38,22,34,45,4,33,19,22,44,47,9,39,4,15,21,48,27,61
v40,42,24,13,35,27,42,35,29,35,25,40,24,25,30,23,28,36,35,24,17,19,16,19,31,6,11,25,27,34,41,33,9,24,40,20,22,18,13,23,0,30,7,16,12,25,23,12,21,13,32,19,37,22,19,9,31,19,42,31,18,33,21,17,31,6,22,18,35,21,33,41,24,15,29,22,36,9,46,9,28,17,10,13,37,31,34,40,13,35,18,33,19,15,31,33,29,6,45,27,20,28,21,40,12,4,25,29,23,26,28,8,36,41,28,22,41,15,13,29,27,19,17,29,47,29,18,40,28,17,4,23,27,19,39,23,19,32,27,18,31,35,9,21,23,19,22,19,12,16,23,21,24,32,36,19,24,24,25,8,38
