,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v11,46,34,22,37,18,8,45,23,10,63,0,44,22,46,27,30,27,39,37,29,43,17,22,55,41,35,4,17,18,16,65,36,24,27,42,59,22,37,59,15,36,60,46,38,5,12,28,36,32,37,27,33,24,50,41,46,20,15,54,52,43,34,23,36,59,46,24,11,15,46,32,32,45,30,12,33,25,27,27,38,46,10,30,22,43,55,29,24,29,11,15,3,33,54,32,14,15,24,48,23
v12,28,10,66,11,36,36,5,31,54,19,44,0,38,20,17,14,41,21,19,27,37,61,22,37,39,17,48,31,26,60,21,8,24,17,4,41,22,33,15,33,52,16,22,6,43,46,38,18,12,7,57,27,46,6,23,2,38,29,10,34,17,16,67,42,15,28,32,47,37,6,26,38,39,18,54,25,49,17,33,6,8,34,14,38,47,11,23,62,55,45,59,41,35,36,18,30,39,20,36,35
v13,66,28,44,27,8,20,43,7,32,41,22,38,0,58,31,26,5,59,57,49,63,39,30,75,61,55,26,37,32,38,43,42,14,39,34,79,38,15,37,9,56,38,24,32,25,24,48,56,46,41,47,53,44,40,61,40,6,33,46,72,21,54,45,56,39,66,6,31,15,44,52,10,65,20,32,53,45,33,47,38,46,22,32,42,63,35,49,44,49,23,37,23,53,74,52,34,35,44,68,43
v14,28,30,68,31,56,38,15,51,56,21,46,20,58,0,27,32,61,15,19,29,39,63,28,35,41,15,50,33,28,62,19,16,44,19,24,25,24,53,25,53,54,30,42,26,45,50,40,14,14,17,59,29,48,18,7,18,58,31,12,22,37,12,69,44,19,12,52,49,53,14,28,58,41,38,56,27,51,25,35,20,12,36,26,40,49,23,25,64,57,49,61,43,37,38,20,32,41,22,38,37
v15,35,7,49,10,29,19,18,24,37,36,27,17,31,27,0,5,34,28,26,18,32,44,5,44,30,24,31,14,9,43,38,11,17,8,15,48,7,26,32,26,35,33,19,11,26,29,21,25,15,10,40,22,29,23,30,19,31,12,27,41,16,23,50,25,32,35,25,30,26,19,21,31,34,11,37,22,32,2,16,11,19,17,3,21,32,28,18,45,38,28,42,24,22,43,21,13,22,13,37,18
v16,40,4,52,7,24,22,17,19,40,33,30,14,26,32,5,0,29,33,31,23,37,47,8,49,35,29,34,17,12,46,35,16,12,13,12,53,12,21,29,21,38,30,16,8,29,32,24,30,20,15,43,27,32,20,35,16,26,15,24,46,13,28,53,30,29,40,20,33,23,18,26,26,39,6,40,27,35,7,21,12,20,20,6,24,37,25,23,48,41,31,45,27,27,48,26,16,25,18,42,21
v17,69,31,49,30,13,23,46,10,37,40,27,41,5,61,34,29,0,62,60,52,66,44,33,78,64,58,31,40,35,43,42,45,17,42,37,82,41,10,36,14,59,33,19,35,28,29,51,59,49,44,50,56,47,43,64,43,11,36,49,75,24,57,50,59,42,69,9,34,20,47,55,5,68,23,37,56,48,36,50,41,49,25,35,45,66,38,52,47,52,28,42,26,56,77,55,37,38,47,71,46
v18,13,31,53,32,57,39,16,52,41,32,39,21,59,15,28,33,62,0,4,14,24,48,29,20,26,4,39,22,27,47,34,17,45,20,25,20,21,54,28,54,39,31,43,27,34,51,25,3,13,18,44,14,33,19,8,19,59,26,23,13,38,5,54,29,28,7,53,34,54,15,13,59,26,39,41,12,36,26,20,21,15,37,27,25,34,24,10,49,42,50,46,36,22,23,7,25,26,15,23,22
v19,9,29,49,30,55,37,18,50,37,36,37,19,57,19,26,31,60,4,0,10,20,44,27,18,22,4,37,20,25,43,38,15,43,18,23,22,19,52,32,52,35,33,41,25,32,49,21,5,11,16,40,10,29,23,12,19,57,24,27,15,36,7,50,25,32,9,51,30,52,19,9,57,22,37,37,8,32,24,16,19,19,35,25,21,30,28,8,45,38,48,42,34,18,19,5,23,22,13,19,18
v20,17,21,39,22,47,29,28,42,27,46,29,27,49,29,18,23,52,14,10,0,14,34,19,26,12,14,29,12,17,33,48,19,35,10,25,30,11,44,42,44,25,43,33,21,24,41,11,15,15,20,30,4,19,33,22,29,49,16,37,23,28,17,40,15,42,17,43,20,44,29,3,49,16,29,27,4,22,16,6,21,29,27,17,11,20,38,4,35,28,40,32,26,8,25,9,15,14,7,19,8
v21,11,35,29,36,61,43,38,56,37,56,43,37,63,39,32,37,66,24,20,14,0,34,33,12,2,24,43,26,31,27,58,29,49,24,35,16,25,58,52,58,15,53,47,31,38,55,15,25,25,30,20,10,19,43,32,39,63,30,47,17,42,27,30,7,52,27,57,32,58,39,11,63,2,43,31,12,18,30,16,31,39,41,31,21,10,48,14,25,18,54,36,40,10,11,19,29,28,19,5,20
v22,37,51,9,54,31,25,62,40,7,80,17,61,39,63,44,47,44,48,44,34,34,0,39,46,32,48,13,30,35,7,82,53,41,44,59,50,39,54,76,30,27,77,63,55,18,21,23,49,49,54,18,34,15,67,56,63,33,32,71,43,60,51,10,27,76,51,41,14,24,63,35,49,36,47,7,36,16,44,28,55,63,27,47,23,34,72,38,15,20,20,2,20,26,45,43,31,22,41,39,26
v23,36,12,44,15,28,14,23,23,32,41,22,22,30,28,5,8,33,29,27,19,33,39,0,45,31,25,26,9,4,38,43,14,16,9,20,49,8,25,37,25,30,38,24,16,21,24,18,26,16,15,35,23,24,28,31,24,30,7,32,42,21,24,45,26,37,36,24,25,25,24,22,30,35,10,32,23,27,5,17,16,24,12,8,16,33,33,19,40,33,23,37,19,23,44,22,8,17,14,38,13
v24,9,47,37,48,73,55,34,68,49,52,55,37,75,35,44,49,78,20,18,26,12,46,45,0,14,20,55,38,43,39,54,33,61,36,41,10,37,70,48,70,19,49,59,43,50,67,27,21,29,34,28,22,31,39,28,35,75,42,43,13,54,23,36,19,48,23,69,44,70,35,23,75,10,55,43,22,30,42,28,37,35,53,43,33,14,44,26,31,26,66,48,52,22,3,23,41,40,31,7,32
v25,13,33,27,34,59,41,40,54,35,58,41,39,61,41,30,35,64,26,22,12,2,32,31,14,0,26,41,24,29,25,60,31,47,22,37,18,23,56,54,56,13,55,45,33,36,53,13,27,27,32,18,12,17,45,34,41,61,28,49,19,40,29,28,5,54,29,55,30,56,41,13,61,4,41,29,14,16,28,14,33,41,39,29,19,8,50,16,23,16,52,34,38,8,13,21,27,26,19,7,18
v26,13,27,53,28,53,35,14,48,41,32,35,17,55,15,24,29,58,4,4,14,24,48,25,20,26,0,35,18,23,47,34,13,41,16,21,24,17,50,28,50,39,29,39,23,30,47,25,1,9,14,44,14,33,19,8,15,55,22,23,17,34,3,54,29,28,11,49,34,50,15,13,55,26,35,41,12,36,22,20,17,15,33,23,25,34,24,10,49,42,46,46,32,22,23,5,21,26,11,23,22
v27,46,38,18,41,18,12,49,27,6,67,4,48,26,50,31,34,31,39,37,29,43,13,26,55,41,35,0,17,22,16,69,40,28,31,46,59,26,41,63,17,36,64,50,42,5,12,28,36,36,41,27,33,24,54,43,50,20,19,58,52,47,38,19,36,63,46,28,11,15,50,32,36,45,34,12,33,25,31,27,42,50,14,34,22,43,59,29,24,29,11,11,7,33,54,32,18,15,28,48,23
v28,29,21,35,24,35,17,32,30,23,50,17,31,37,33,14,17,40,22,20,12,26,30,9,38,24,18,17,0,5,29,52,23,23,14,29,42,9,32,46,32,21,47,33,25,12,29,11,19,19,24,26,16,15,37,26,33,37,4,41,35,30,21,36,19,46,29,31,16,32,33,15,37,28,17,23,16,18,14,10,25,33,15,17,7,26,42,12,31,24,28,28,14,16,37,15,3,8,11,31,6
v29,34,16,40,19,30,12,27,25,28,45,18,26,32,28,9,12,35,27,25,17,31,35,4,43,29,23,22,5,0,34,47,18,18,9,24,47,6,27,41,27,26,42,28,20,17,24,16,24,14,19,31,21,20,32,29,28,32,3,36,40,25,22,41,24,41,34,26,21,27,28,20,32,33,12,28,21,23,9,15,20,28,10,12,12,31,37,17,36,29,23,33,15,21,42,20,4,13,12,36,11
v30,34,50,6,53,34,24,61,39,10,79,16,60,38,62,43,46,43,47,43,33,27,7,38,39,25,47,16,29,34,0,81,52,40,43,58,43,38,53,75,31,20,76,62,54,17,28,22,48,48,53,11,33,14,66,55,62,36,31,70,40,59,50,7,20,75,50,40,13,31,62,34,48,29,46,6,35,11,43,27,54,62,26,46,22,27,71,37,8,13,27,9,19,25,38,42,30,21,40,32,25
v31,47,31,87,28,51,57,20,42,75,2,65,21,43,19,38,35,42,34,38,48,58,82,43,54,60,34,69,52,47,81,0,29,41,38,23,44,43,34,6,52,73,11,23,27,64,67,59,33,33,28,78,48,67,15,26,19,49,50,11,41,22,31,88,63,6,31,41,68,58,19,47,39,60,35,75,46,70,38,54,27,19,55,35,59,68,10,44,83,76,66,80,62,56,57,39,51,60,41,57,56
v32,24,14,58,15,40,28,9,35,46,27,36,8,42,16,11,16,45,17,15,19,29,53,14,33,31,13,40,23,18,52,29,0,28,9,8,37,14,37,23,37,44,24,26,10,35,38,30,14,4,1,49,19,38,14,19,10,42,21,18,30,21,12,59,34,23,24,36,39,37,10,18,42,31,22,46,17,41,9,25,4,10,26,10,30,39,19,15,54,47,37,51,33,27,32,10,22,31,12,28,27
v33,52,14,46,13,12,16,29,7,34,39,24,24,14,44,17,12,17,45,43,35,49,41,16,61,47,41,28,23,18,40,41,28,0,25,20,65,24,13,35,11,42,36,22,18,23,26,34,42,32,27,37,39,30,26,47,26,14,19,32,58,19,40,47,42,35,52,8,27,17,30,38,14,51,6,34,39,31,19,33,24,32,14,18,28,49,31,35,42,35,25,39,21,39,60,38,20,21,30,54,29
v34,27,11,49,12,37,19,18,32,37,36,27,17,39,19,8,13,42,20,18,10,24,44,9,36,22,16,31,14,9,43,38,9,25,0,15,40,5,34,32,34,35,33,23,11,26,31,21,17,7,10,40,14,29,23,22,19,39,12,27,33,18,15,50,25,32,27,33,30,34,19,13,39,26,19,37,14,32,6,16,11,19,17,7,21,30,28,10,45,38,30,42,24,18,35,13,13,22,5,29,18
v35,32,8,64,7,32,34,9,27,52,21,42,4,34,24,15,12,37,25,23,25,35,59,20,41,37,21,46,29,24,58,23,8,20,15,0,45,20,29,17,29,50,18,18,4,41,44,36,22,12,7,55,25,44,8,27,6,34,27,12,38,13,20,65,40,17,32,28,45,35,10,24,34,37,14,52,23,47,15,31,4,12,32,12,36,45,13,21,60,53,43,57,39,33,40,18,28,37,18,34,33
v36,13,51,43,52,77,59,36,72,53,42,59,41,79,25,48,53,82,20,22,30,16,50,49,10,18,24,59,42,47,43,44,37,65,40,45,0,41,74,46,74,29,51,63,47,54,71,31,23,33,38,34,26,35,39,18,39,79,46,33,7,58,25,44,23,40,13,73,48,74,35,27,79,16,59,47,26,34,46,32,41,33,57,47,37,24,44,30,39,32,70,52,56,26,13,27,45,44,35,13,36
v37,28,12,44,15,36,18,23,31,32,41,22,22,38,24,7,12,41,21,19,11,25,39,8,37,23,17,26,9,6,38,43,14,24,5,20,41,0,33,37,33,30,38,24,16,21,30,16,18,10,15,35,15,24,28,23,24,38,7,32,34,21,16,45,20,37,28,32,25,33,24,14,38,27,18,32,15,27,5,11,16,24,16,8,16,25,33,11,40,33,29,37,19,15,36,14,8,17,6,30,13
v38,61,23,59,22,23,29,38,14,47,32,37,33,15,53,26,21,10,54,52,44,58,54,25,70,56,50,41,32,27,53,34,37,13,34,29,74,33,0,28,24,51,23,11,27,36,39,43,51,41,36,50,48,39,35,56,35,21,28,41,67,16,49,60,51,34,61,13,40,30,39,47,5,60,15,47,48,42,28,42,33,41,27,27,37,58,30,44,55,48,38,52,34,48,69,47,29,32,39,63,38
v39,41,25,81,22,45,51,14,36,69,4,59,15,37,25,32,29,36,28,32,42,52,76,37,48,54,28,63,46,41,75,6,23,35,32,17,46,37,28,0,46,67,5,17,21,58,61,53,27,27,22,72,42,61,9,28,13,43,44,13,39,16,25,82,57,6,33,35,62,52,13,41,33,54,29,69,40,64,32,48,21,13,49,29,53,62,4,38,77,70,60,74,56,50,51,33,45,54,35,51,50
v40,61,23,35,24,3,15,38,10,23,50,15,33,9,53,26,21,14,54,52,44,58,30,25,70,56,50,17,32,27,31,52,37,11,34,29,74,33,24,46,0,51,47,33,27,20,15,43,51,41,36,42,48,39,37,56,35,5,28,41,67,30,49,36,51,46,61,11,26,6,39,47,19,60,17,27,48,40,28,42,33,41,17,27,37,58,42,44,39,44,14,28,18,48,69,47,29,30,39,63,38
v41,26,42,18,45,54,36,53,49,30,71,36,52,56,54,35,38,59,39,35,25,15,27,30,19,13,39,36,21,26,20,73,44,42,35,50,29,30,51,67,51,0,68,54,46,31,48,14,40,40,45,9,25,12,58,47,54,56,23,62,32,51,42,17,10,67,42,50,25,51,54,26,56,13,38,24,27,11,35,19,46,54,34,38,14,7,63,29,12,7,47,29,33,17,18,34,22,21,32,16,17
v42,42,26,82,23,46,52,15,37,70,9,60,16,38,30,33,30,33,31,33,43,53,77,38,49,55,29,64,47,42,76,11,24,36,33,18,51,38,23,5,47,68,0,14,22,59,62,54,28,28,23,73,43,62,12,33,14,44,45,18,44,17,26,83,58,11,38,36,63,53,16,42,28,55,30,70,41,65,33,49,22,18,50,30,54,63,7,39,78,71,61,75,57,51,52,34,46,55,36,52,51
v43,50,12,68,11,32,38,27,23,56,21,46,22,24,42,19,16,19,43,41,33,47,63,24,59,45,39,50,33,28,62,23,26,22,23,18,63,24,11,17,33,54,14,0,16,45,48,40,40,30,25,59,37,48,24,45,24,30,31,30,56,5,38,69,44,23,50,22,49,39,28,36,16,49,16,56,37,51,19,35,22,30,36,16,40,49,19,33,64,57,47,61,43,37,58,36,32,41,28,52,37
v44,34,4,60,5,30,30,11,25,48,25,38,6,32,26,11,8,35,27,25,21,31,55,16,43,33,23,42,25,20,54,27,10,18,11,4,47,16,27,21,27,46,22,16,0,37,40,32,24,14,9,51,21,40,12,29,8,32,23,16,40,11,22,61,36,21,34,26,41,31,12,20,32,33,12,48,21,43,11,27,6,14,28,8,32,41,17,17,56,49,39,53,35,29,42,20,24,33,14,36,29
v45,41,33,23,36,23,7,44,22,11,62,5,43,25,45,26,29,28,34,32,24,38,18,21,50,36,30,5,12,17,17,64,35,23,26,41,54,21,36,58,20,31,59,45,37,0,17,23,31,31,36,22,28,19,49,38,45,25,14,53,47,42,33,24,31,58,41,23,6,20,45,27,31,40,29,11,28,20,26,22,37,45,9,29,17,38,54,24,19,24,16,16,2,28,49,27,13,10,23,43,18
v46,58,36,30,39,16,12,47,25,18,65,12,46,24,50,29,32,29,51,49,41,55,21,24,67,53,47,12,29,24,28,67,38,26,31,44,71,30,39,61,15,48,62,48,40,17,0,40,48,38,39,39,45,36,52,53,48,18,25,56,64,45,46,31,48,61,58,26,23,9,48,44,34,57,32,24,45,37,29,39,40,48,14,32,34,55,57,41,36,41,1,19,15,45,66,44,26,27,36,60,35
v47,18,28,28,31,46,28,39,41,22,57,28,38,48,40,21,24,51,25,21,11,15,23,18,27,13,25,28,11,16,22,59,30,34,21,36,31,16,43,53,43,14,54,40,32,23,40,0,26,26,31,19,11,8,44,33,40,48,15,48,24,37,28,29,8,53,28,42,17,43,40,12,48,17,28,16,13,11,21,5,32,40,26,24,6,15,49,15,24,17,39,21,25,5,26,20,14,13,18,20,5
v48,14,28,54,29,54,36,13,49,42,31,36,18,56,14,25,30,59,3,5,15,25,49,26,21,27,1,36,19,24,48,33,14,42,17,22,23,18,51,27,51,40,28,40,24,31,48,26,0,10,15,45,15,34,18,7,16,56,23,22,16,35,2,55,30,27,10,50,35,51,14,14,56,27,36,42,13,37,23,21,18,14,34,24,26,35,23,11,50,43,47,47,33,23,24,6,22,27,12,24,23
v49,20,18,54,19,44,26,13,39,42,31,32,12,46,14,15,20,49,13,11,15,25,49,16,29,27,9,36,19,14,48,33,4,32,7,12,33,10,41,27,41,40,28,30,14,31,38,26,10,0,5,45,15,34,18,15,14,46,17,22,26,25,8,55,30,27,20,40,35,41,14,14,46,27,26,42,13,37,13,21,8,14,24,14,26,35,23,11,50,43,37,47,29,23,28,6,18,27,8,24,23
v50,25,13,59,14,39,29,8,34,47,26,37,7,41,17,10,15,44,18,16,20,30,54,15,34,32,14,41,24,19,53,28,1,27,10,7,38,15,36,22,36,45,23,25,9,36,39,31,15,5,0,50,20,39,13,20,9,41,22,17,31,20,13,60,35,22,25,35,40,36,9,19,41,32,21,47,18,42,10,26,3,9,27,9,31,40,18,16,55,48,38,52,34,28,33,11,23,32,13,29,28
v51,31,47,9,50,45,27,58,40,21,76,27,57,47,59,40,43,50,44,40,30,20,18,35,28,18,44,27,26,31,11,78,49,37,40,55,34,35,50,72,42,9,73,59,51,22,39,19,45,45,50,0,30,11,63,52,59,47,28,67,37,56,47,10,15,72,47,41,16,42,59,31,47,18,43,15,32,8,40,24,51,59,25,43,19,16,68,34,5,2,38,20,24,22,27,39,27,18,37,21,22
v52,13,25,39,26,51,33,28,46,27,46,33,27,53,29,22,27,56,14,10,4,10,34,23,22,12,14,33,16,21,33,48,19,39,14,25,26,15,48,42,48,25,43,37,21,28,45,11,15,15,20,30,0,19,33,22,29,53,20,37,19,32,17,40,15,42,17,47,22,48,29,1,53,12,33,27,2,22,20,6,21,29,31,21,11,20,38,4,35,28,44,32,30,8,21,9,19,18,9,15,10
v53,22,36,20,39,42,24,47,37,18,65,24,46,44,48,29,32,47,33,29,19,19,15,24,31,17,33,24,15,20,14,67,38,30,29,44,35,24,39,61,39,12,62,48,40,19,36,8,34,34,39,11,19,0,52,41,48,44,17,56,28,45,36,21,12,61,36,38,13,39,48,20,44,21,32,12,21,3,29,13,40,48,22,32,8,19,57,23,16,9,35,17,21,11,30,28,16,9,26,24,11
v54,32,16,72,13,38,42,5,33,60,13,50,6,40,18,23,20,43,19,23,33,43,67,28,39,45,19,54,37,32,66,15,14,26,23,8,39,28,35,9,37,58,12,24,12,49,52,44,18,18,13,63,33,52,0,21,4,40,35,6,32,19,16,73,48,9,26,34,53,43,4,32,40,45,20,60,31,55,23,39,12,6,40,20,44,53,5,29,68,61,51,65,47,41,42,24,36,45,26,42,41
v55,21,33,61,34,59,41,18,54,49,24,41,23,61,7,30,35,64,8,12,22,32,56,31,28,34,8,43,26,29,55,26,19,47,22,27,18,23,56,28,56,47,33,45,29,38,53,33,7,15,20,52,22,41,21,0,21,61,28,15,15,40,7,62,37,22,5,55,42,56,17,21,61,34,41,49,20,44,28,28,23,15,39,29,33,42,26,18,57,50,52,54,38,30,31,13,27,34,17,31,30
v56,28,12,68,13,38,38,3,33,56,17,46,2,40,18,19,16,43,19,19,29,39,63,24,35,41,15,50,33,28,62,19,10,26,19,6,39,24,35,13,35,54,14,24,8,45,48,40,16,14,9,59,29,48,4,21,0,40,31,8,32,19,14,69,44,13,26,34,49,39,4,28,40,41,20,56,27,51,19,35,8,6,36,16,40,49,9,25,64,57,47,61,43,37,38,20,32,41,22,38,37
v57,66,28,38,27,2,20,43,7,26,47,20,38,6,58,31,26,11,59,57,49,63,33,30,75,61,55,20,37,32,36,49,42,14,39,34,79,38,21,43,5,56,44,30,32,25,18,48,56,46,41,47,53,44,40,61,40,0,33,46,72,27,54,39,56,43,66,8,31,9,44,52,16,65,20,32,53,45,33,47,38,46,22,32,42,63,39,49,44,49,17,31,23,53,74,52,34,35,44,68,43
v58,33,19,37,22,31,13,30,26,25,48,15,29,33,31,12,15,36,26,24,16,30,32,7,42,28,22,19,4,3,31,50,21,19,12,27,46,7,28,44,28,23,45,31,23,14,25,15,23,17,22,28,20,17,35,28,31,33,0,39,39,28,21,38,23,44,33,27,18,28,31,19,33,32,15,25,20,20,12,14,23,31,11,15,9,30,40,16,33,26,24,30,12,20,41,19,1,10,11,35,10
v59,36,20,76,19,44,46,9,39,64,9,54,10,46,12,27,24,49,23,27,37,47,71,32,43,49,23,58,41,36,70,11,18,32,27,12,33,32,41,13,41,62,18,30,16,53,56,48,22,22,17,67,37,56,6,15,8,46,39,0,30,25,20,77,52,7,20,40,57,47,8,36,46,49,26,64,35,59,27,43,16,8,44,24,48,57,11,33,72,65,55,69,51,45,46,28,40,49,30,46,45
v60,6,44,46,45,70,52,29,65,46,39,52,34,72,22,41,46,75,13,15,23,17,43,42,13,19,17,52,35,40,40,41,30,58,33,38,7,34,67,39,67,32,44,56,40,47,64,24,16,26,31,37,19,28,32,15,32,72,39,30,0,51,18,47,22,35,10,66,41,67,28,20,72,19,52,40,19,29,39,25,34,26,50,40,30,27,37,23,42,35,63,45,49,19,16,20,38,37,28,16,29
v61,45,9,65,6,29,35,22,20,53,20,43,17,21,37,16,13,24,38,36,28,42,60,21,54,40,34,47,30,25,59,22,21,19,18,13,58,21,16,16,30,51,17,5,11,42,45,37,35,25,20,56,32,45,19,40,19,27,28,25,51,0,33,66,41,18,45,19,46,36,23,31,21,44,13,53,32,48,16,32,17,25,33,13,37,46,14,28,61,54,44,58,40,34,53,31,29,38,23,47,34
v62,16,26,56,27,52,34,11,47,44,29,34,16,54,12,23,28,57,5,7,17,27,51,24,23,29,3,38,21,22,50,31,12,40,15,20,25,16,49,25,49,42,26,38,22,33,46,28,2,8,13,47,17,36,16,7,14,54,21,20,18,33,0,57,32,25,12,48,37,49,12,16,54,29,34,44,15,39,21,23,16,12,32,22,28,37,21,13,52,45,45,49,31,25,26,8,20,29,10,26,25
v63,41,57,1,60,37,31,68,46,13,86,23,67,45,69,50,53,50,54,50,40,30,10,45,36,28,54,19,36,41,7,88,59,47,50,65,44,45,60,82,36,17,83,69,61,24,31,29,55,55,60,10,40,21,73,62,69,39,38,77,47,66,57,0,25,82,57,47,20,34,69,41,55,28,53,13,42,18,50,34,61,69,33,53,29,24,78,44,5,12,30,12,26,32,35,49,37,28,47,31,32
v64,16,32,24,35,54,36,43,49,30,61,36,42,56,44,25,30,59,29,25,15,7,27,26,19,5,29,36,19,24,20,63,34,42,25,40,23,20,51,57,51,10,58,44,36,31,48,8,30,30,35,15,15,12,48,37,44,56,23,52,22,41,32,25,0,57,32,50,25,51,44,16,56,9,36,24,17,11,25,9,36,44,34,28,14,7,53,19,20,13,47,29,33,7,18,24,22,21,22,12,13
v65,41,25,81,22,45,51,14,36,69,4,59,15,39,19,32,29,42,28,32,42,52,76,37,48,54,28,63,46,41,75,6,23,35,32,17,40,37,34,6,46,67,11,23,21,58,61,53,27,27,22,72,42,61,9,22,13,43,44,7,35,18,25,82,57,0,27,35,62,52,13,41,39,54,29,69,40,64,32,48,21,13,49,29,53,62,4,38,77,70,60,74,56,50,51,33,45,54,35,51,50
v66,16,38,56,39,64,46,23,59,44,29,46,28,66,12,35,40,69,7,9,17,27,51,36,23,29,11,46,29,34,50,31,24,52,27,32,13,28,61,33,61,42,38,50,34,41,58,28,10,20,25,47,17,36,26,5,26,66,33,20,10,45,12,57,32,27,0,60,37,61,22,16,66,29,46,44,15,39,33,23,28,20,44,34,28,37,31,17,52,45,57,49,43,25,26,14,32,31,22,26,25
