,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v37,20,40,26,32,69,24,10,25,15,33,43,48,35,36,49,10,10,18,28,14,17,2,27,27,1,67,17,23,39,20,41,25,35,35,3,39,0,31,17,24,31,26,12,20,25,30,46,44,3,51,27,12,38,15,33,24,22,38,20,25,11,23,35,23,45,33,52,22,40,43,27,13,62,20,33,60,18,64,36,12,10,38,38,38,19,46,41,36,19,37,15,60,16,21,33,23,40,19,20,3
v38,11,37,29,29,38,19,21,8,16,22,38,17,26,39,18,21,41,37,19,29,48,31,14,14,32,36,14,20,42,11,26,12,6,10,28,42,31,0,14,15,28,13,19,23,14,27,33,17,34,20,6,25,27,34,6,27,9,41,23,28,20,8,24,10,14,22,21,25,25,18,22,18,31,13,30,29,21,33,33,43,21,25,7,11,24,49,30,33,16,40,22,29,35,26,30,22,13,28,23,34
v39,17,23,15,43,52,33,15,8,22,16,26,31,40,25,32,11,27,23,11,25,34,17,28,10,18,50,26,34,28,21,24,26,18,18,14,28,17,14,0,29,42,9,5,9,28,41,29,31,20,34,20,23,21,26,20,13,5,27,9,14,6,10,38,6,28,36,35,11,23,26,10,24,45,27,44,43,7,47,47,29,17,21,21,25,30,35,44,47,2,26,8,43,27,32,44,8,23,30,9,20
v40,12,52,44,14,45,4,14,23,9,37,53,24,11,54,25,18,34,36,34,22,41,24,3,29,25,43,7,11,57,8,41,3,21,25,21,57,24,15,29,0,13,28,28,38,1,12,48,20,27,27,9,18,42,27,9,42,24,56,38,43,25,19,11,25,21,9,28,40,40,33,37,11,38,4,15,36,36,40,18,36,14,40,18,14,17,64,17,18,31,55,33,36,28,19,15,37,28,21,38,27
v41,25,65,57,11,46,9,27,36,20,50,66,25,12,67,30,31,39,49,47,21,40,29,14,42,32,44,16,10,70,21,54,16,34,38,34,70,31,28,42,13,0,41,41,51,14,3,61,21,30,28,22,19,55,26,22,55,37,69,51,56,38,32,12,38,24,10,29,53,53,46,50,18,39,15,10,45,49,41,5,35,25,53,31,17,16,77,18,5,44,68,46,39,27,18,4,50,41,20,51,34
v42,16,24,16,42,43,32,16,5,21,9,25,22,39,26,23,16,36,32,6,24,43,26,27,1,27,41,25,33,29,20,15,25,9,9,23,29,26,13,9,28,41,0,14,16,27,40,20,30,29,25,19,22,14,29,19,14,4,28,10,23,15,9,37,3,19,35,26,12,14,17,9,23,36,26,43,34,16,38,46,38,16,12,12,24,29,36,43,46,7,27,17,34,30,31,43,9,14,29,12,29
v43,16,28,16,42,57,32,14,13,21,21,31,36,39,26,37,10,22,18,16,24,29,12,27,15,13,55,25,33,29,20,29,25,23,23,9,29,12,19,5,28,41,14,0,10,27,40,34,32,15,39,19,22,26,25,21,14,10,28,10,15,3,11,37,11,33,35,40,12,28,31,15,23,50,26,43,48,8,52,46,24,16,26,26,26,29,36,43,46,7,27,5,48,26,31,43,11,28,29,10,15
v44,26,30,8,52,59,42,24,15,31,23,33,38,49,16,39,20,20,16,18,34,27,22,37,17,19,57,35,43,19,30,31,35,25,25,17,19,20,23,9,38,51,16,10,0,37,50,36,40,21,41,29,32,28,35,29,4,14,28,10,7,13,19,47,13,35,45,42,8,30,33,17,33,52,36,53,50,2,54,56,22,26,28,28,34,39,26,53,56,9,21,5,50,36,41,53,13,30,39,4,17
v45,11,51,43,15,44,5,15,22,10,36,52,23,12,53,24,17,35,35,33,23,42,25,2,28,26,42,8,12,56,7,40,2,20,24,22,56,25,14,28,1,14,27,27,37,0,13,47,19,28,26,8,19,41,28,8,41,23,55,37,42,24,18,10,24,20,8,27,39,39,32,36,12,37,5,16,35,35,39,19,37,15,39,17,13,18,63,16,19,30,54,32,35,29,20,16,36,27,22,37,28
v46,24,64,56,14,43,8,26,35,19,49,65,22,9,66,29,30,38,48,46,24,43,28,13,41,31,41,15,13,69,20,53,15,33,37,33,69,30,27,41,12,3,40,40,50,13,0,60,18,29,25,21,20,54,29,21,54,36,68,50,55,37,31,9,37,23,7,26,52,52,45,49,17,36,14,7,44,48,38,6,38,24,52,30,16,19,76,15,6,43,67,45,38,30,21,3,49,40,23,50,33
v47,36,6,28,62,27,52,36,25,41,13,5,40,59,20,31,36,56,52,18,44,63,46,47,19,47,23,45,53,17,40,7,45,27,23,43,31,46,33,29,48,61,20,34,36,47,60,0,50,49,35,39,42,8,49,39,32,24,8,26,43,35,29,57,23,37,55,40,28,8,15,19,43,26,46,63,16,36,36,66,58,36,8,30,44,49,16,63,66,27,15,37,22,50,51,63,23,20,49,32,49
v48,24,54,46,32,25,20,34,25,29,39,55,10,9,56,19,34,54,50,36,42,61,44,17,31,45,27,27,31,59,24,43,19,23,27,41,59,44,17,31,20,21,30,32,40,19,18,50,0,47,15,17,38,44,47,11,44,26,58,40,45,33,21,9,27,13,11,10,42,42,35,39,31,24,24,13,34,38,20,18,56,34,42,20,6,37,66,13,24,33,57,35,28,48,39,17,39,30,41,40,47
v49,23,43,27,31,72,27,13,28,18,36,46,51,38,37,52,13,9,19,31,13,14,3,30,30,2,70,20,22,40,23,44,28,38,38,6,40,3,34,20,27,30,29,15,21,28,29,49,47,0,54,30,11,41,14,36,25,25,41,23,26,14,26,38,26,48,36,55,23,43,46,30,16,65,23,36,63,19,67,35,9,13,41,41,41,18,47,44,35,22,38,16,63,15,20,32,26,43,18,21,4
v50,31,39,33,39,18,27,41,26,36,24,40,5,24,41,4,41,61,57,23,49,68,51,24,24,52,16,34,38,44,31,28,26,16,16,48,44,51,20,34,27,28,25,39,41,26,25,35,15,54,0,24,45,29,54,18,37,29,43,31,48,40,28,22,28,6,20,5,33,27,20,24,38,11,31,28,19,41,13,31,63,41,27,13,13,44,51,28,31,32,42,42,13,55,46,28,28,15,48,37,54
v51,7,43,35,23,42,13,17,14,12,28,44,21,20,45,22,17,37,33,25,25,44,27,8,20,28,40,10,14,48,7,32,6,12,16,24,48,27,6,20,9,22,19,19,29,8,21,39,17,30,24,0,21,33,30,6,33,15,47,29,34,16,10,18,16,18,16,25,31,31,24,28,14,35,7,24,33,27,37,27,39,17,31,11,11,20,55,24,27,22,46,24,33,31,22,24,28,19,24,29,30
v52,14,46,38,20,63,18,8,19,9,31,47,42,29,48,43,12,20,30,28,4,23,10,21,23,13,61,11,11,51,14,35,19,29,29,15,51,12,25,23,18,19,22,22,32,19,20,42,38,11,45,21,0,36,9,27,36,18,50,32,37,19,17,29,19,39,27,46,34,34,37,31,7,56,14,27,54,30,58,24,18,6,34,32,32,7,58,35,24,25,49,27,54,10,9,21,31,34,7,32,15
v53,30,10,20,56,31,46,28,19,35,5,11,34,53,12,25,28,48,44,10,38,55,38,41,13,39,29,39,47,15,34,3,39,21,17,35,23,38,27,21,42,55,14,26,28,41,54,8,44,41,29,33,36,0,41,33,24,18,14,18,35,27,23,51,17,31,49,34,20,2,9,11,37,24,40,57,22,28,30,60,50,30,2,24,38,43,22,57,60,19,13,29,22,42,45,57,15,14,43,24,41
v54,23,49,41,17,72,27,13,28,18,36,50,51,38,51,52,15,23,33,31,5,20,13,30,30,16,70,20,16,54,23,44,28,38,38,18,54,15,34,26,27,26,29,25,35,28,29,49,47,14,54,30,9,41,0,36,39,25,53,35,40,22,26,38,26,48,36,55,37,43,46,34,16,65,23,36,63,33,67,29,13,13,41,41,41,10,61,44,23,28,52,30,63,1,8,30,34,43,6,35,18
v55,13,43,35,23,36,13,23,14,18,28,44,15,20,45,16,23,43,39,25,31,50,33,8,20,34,34,16,20,48,13,32,8,12,16,30,48,33,6,20,9,22,19,21,29,8,21,39,11,36,18,6,27,33,36,0,33,15,47,29,34,22,10,18,16,12,16,19,31,31,24,28,20,29,13,24,27,27,31,27,45,23,31,9,5,26,55,24,27,22,46,24,27,37,28,24,28,19,30,29,36
v56,30,26,4,56,55,46,28,19,35,19,29,34,53,12,35,24,24,20,14,38,31,26,41,13,23,53,39,47,15,34,27,39,21,21,21,15,24,27,13,42,55,14,14,4,41,54,32,44,25,37,33,36,24,39,33,0,18,24,6,11,17,23,51,17,31,49,38,4,26,29,13,37,48,40,57,46,6,50,60,26,30,24,24,38,43,22,57,60,11,17,9,46,40,45,57,9,26,43,4,21
v57,12,28,20,38,47,28,12,3,17,13,29,26,35,30,27,12,32,28,10,20,39,22,23,5,23,45,21,29,33,16,19,21,13,13,19,33,22,9,5,24,37,4,10,14,23,36,24,26,25,29,15,18,18,25,15,18,0,32,14,19,11,5,33,1,23,31,30,16,18,21,13,19,40,22,39,38,12,42,42,34,12,16,16,20,25,40,39,42,7,31,13,38,26,27,39,13,18,25,14,25
v58,44,4,20,70,35,60,42,33,49,19,5,48,67,12,39,38,48,44,22,52,55,40,55,27,39,31,53,61,9,48,15,53,35,31,35,23,38,41,27,56,69,28,28,28,55,68,8,58,41,43,47,50,14,53,47,24,32,0,18,35,31,37,65,31,45,63,48,20,16,23,19,51,34,54,71,24,28,44,74,50,44,16,38,52,57,8,71,74,25,7,29,30,54,59,71,19,28,57,24,41
v59,26,20,6,52,49,42,24,15,31,13,23,30,49,16,29,20,30,26,8,34,37,22,37,9,21,47,35,43,19,30,21,35,17,15,17,19,20,23,9,38,51,10,10,10,37,50,26,40,23,31,29,32,18,35,29,6,14,18,0,17,13,19,47,13,27,45,32,2,20,23,7,33,42,36,53,40,10,44,56,32,26,18,20,34,39,26,53,56,7,17,11,40,36,41,53,3,20,39,6,23
v60,31,37,15,57,66,47,29,22,36,30,40,45,54,23,46,25,17,9,25,39,20,27,42,24,24,64,40,48,26,35,38,40,32,32,22,14,25,28,14,43,56,23,15,7,42,55,43,45,26,48,34,37,35,40,34,11,19,35,17,0,18,24,52,20,42,50,49,15,37,40,24,38,59,41,58,57,7,61,61,27,31,35,35,39,44,29,58,61,16,28,10,57,41,46,58,20,37,44,11,22
v61,13,29,19,39,58,29,11,14,18,22,32,37,36,29,38,7,21,17,17,21,28,11,24,16,12,56,22,30,32,17,30,22,24,24,8,32,11,20,6,25,38,15,3,13,24,37,35,33,14,40,16,19,27,22,22,17,11,31,13,18,0,12,34,12,34,32,41,15,29,32,16,20,51,23,40,49,11,53,43,23,13,27,27,27,26,39,40,43,8,30,8,49,23,28,40,12,29,26,13,14
v62,7,33,25,33,46,23,13,4,12,18,34,25,30,35,26,13,33,29,15,21,40,23,18,10,24,44,16,24,38,11,22,16,12,12,20,38,23,8,10,19,32,9,11,19,18,31,29,21,26,28,10,17,23,26,10,23,5,37,19,24,12,0,28,6,22,26,29,21,21,20,18,14,39,17,34,37,17,41,37,35,13,21,15,15,20,45,34,37,12,36,14,37,27,22,34,18,17,20,19,26
v63,21,61,53,23,34,11,25,32,20,46,62,17,2,63,26,27,45,45,43,33,52,35,10,38,36,34,18,22,66,17,50,12,30,34,32,66,35,24,38,11,12,37,37,47,10,9,57,9,38,22,18,29,51,38,18,51,33,65,47,52,34,28,0,34,20,2,17,49,49,42,46,22,31,15,6,41,45,29,9,47,25,49,27,13,28,73,6,15,40,64,42,35,39,30,8,46,37,32,47,38
v64,13,27,19,39,46,29,13,2,18,12,28,25,36,29,26,13,33,29,9,21,40,23,24,4,24,44,22,30,32,17,18,22,12,12,20,32,23,10,6,25,38,3,11,13,24,37,23,27,26,28,16,19,17,26,16,17,1,31,13,20,12,6,34,0,22,32,29,15,17,20,12,20,39,23,40,37,13,41,43,35,13,15,15,21,26,39,40,43,6,30,14,37,27,28,40,12,17,26,13,26
v65,25,41,33,33,24,21,35,20,30,26,42,3,22,43,6,35,55,51,23,43,62,45,18,18,46,22,28,32,46,25,30,20,10,14,42,46,45,14,28,21,24,19,33,35,20,23,37,13,48,6,18,39,31,48,12,31,23,45,27,42,34,22,20,22,0,18,7,29,29,22,26,32,17,25,26,21,35,19,29,57,35,29,7,7,38,53,26,29,26,44,36,15,49,40,26,26,17,42,31,48
v66,19,59,51,21,36,9,23,30,18,44,60,15,4,61,24,25,43,43,41,31,50,33,8,36,34,34,16,20,64,15,48,10,28,32,30,64,33,22,36,9,10,35,35,45,8,7,55,11,36,20,16,27,49,36,16,49,31,63,45,50,32,26,2,32,18,0,19,47,47,40,44,20,29,13,8,39,43,31,11,45,23,47,25,11,26,71,8,13,38,62,40,33,37,28,8,44,35,30,45,36
