,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32
m10,5.0,29.0,20.0,52.0,38.0,10.0,15.0,13.0,25.0,3.0,22.0,17.0,3.0,15.0,28.0,2.0,5.0,3.0,11.0,13.0,0.0,27.0,26.0,14.0,37.0,29.0,17.0,45.0,19.0,30.0,22.0,1.0,11.0,26.0,37.0,36.0,21.0,10.0,13.0,40.0,11.0,22.0,14.0
m11,26.0,2.0,7.0,27.0,65.0,35.0,42.0,18.0,24.0,30.0,9.0,14.0,24.0,12.0,51.0,25.0,28.0,28.0,38.0,36.0,27.0,0.0,1.0,13.0,12.0,4.0,16.0,34.0,8.0,19.0,11.0,26.0,16.0,53.0,64.0,43.0,28.0,17.0,20.0,39.0,38.0,49.0,41.0
m12,27.0,3.0,8.0,26.0,64.0,36.0,41.0,19.0,23.0,29.0,10.0,15.0,25.0,13.0,50.0,24.0,27.0,29.0,37.0,35.0,26.0,1.0,0.0,12.0,11.0,3.0,15.0,33.0,7.0,18.0,10.0,27.0,17.0,52.0,63.0,42.0,27.0,16.0,19.0,38.0,37.0,48.0,40.0
m13,15.0,15.0,6.0,38.0,52.0,24.0,29.0,7.0,11.0,17.0,8.0,3.0,13.0,1.0,38.0,12.0,15.0,17.0,25.0,23.0,14.0,13.0,12.0,0.0,23.0,15.0,3.0,31.0,5.0,16.0,8.0,15.0,5.0,40.0,51.0,30.0,15.0,4.0,7.0,26.0,25.0,36.0,28.0
m14,38.0,14.0,19.0,15.0,53.0,47.0,52.0,30.0,12.0,34.0,21.0,26.0,36.0,24.0,39.0,35.0,32.0,40.0,48.0,24.0,37.0,12.0,11.0,23.0,0.0,8.0,20.0,22.0,18.0,7.0,15.0,38.0,28.0,41.0,52.0,31.0,16.0,27.0,24.0,27.0,26.0,37.0,45.0
m15,30.0,6.0,11.0,23.0,61.0,39.0,44.0,22.0,20.0,26.0,13.0,18.0,28.0,16.0,47.0,27.0,24.0,32.0,40.0,32.0,29.0,4.0,3.0,15.0,8.0,0.0,12.0,30.0,10.0,15.0,7.0,30.0,20.0,49.0,60.0,39.0,24.0,19.0,16.0,35.0,34.0,45.0,37.0
m16,18.0,18.0,9.0,35.0,49.0,27.0,32.0,10.0,8.0,14.0,11.0,6.0,16.0,4.0,35.0,15.0,12.0,20.0,28.0,20.0,17.0,16.0,15.0,3.0,20.0,12.0,0.0,28.0,8.0,13.0,5.0,18.0,8.0,37.0,48.0,27.0,12.0,7.0,4.0,23.0,22.0,33.0,25.0
m17,46.0,36.0,27.0,7.0,31.0,55.0,60.0,38.0,20.0,42.0,29.0,34.0,44.0,32.0,17.0,43.0,40.0,48.0,56.0,32.0,45.0,34.0,33.0,31.0,22.0,30.0,28.0,0.0,26.0,15.0,23.0,46.0,36.0,19.0,30.0,9.0,24.0,35.0,32.0,5.0,34.0,45.0,53.0
m18,20.0,10.0,1.0,33.0,57.0,29.0,34.0,12.0,16.0,22.0,3.0,8.0,18.0,6.0,43.0,17.0,20.0,22.0,30.0,28.0,19.0,8.0,7.0,5.0,18.0,10.0,8.0,26.0,0.0,11.0,3.0,20.0,10.0,45.0,56.0,35.0,20.0,9.0,12.0,31.0,30.0,41.0,33.0
m19,31.0,21.0,12.0,22.0,46.0,40.0,45.0,23.0,5.0,27.0,14.0,19.0,29.0,17.0,32.0,28.0,25.0,33.0,41.0,17.0,30.0,19.0,18.0,16.0,7.0,15.0,13.0,15.0,11.0,0.0,8.0,31.0,21.0,34.0,45.0,24.0,9.0,20.0,17.0,20.0,19.0,30.0,38.0
m20,23.0,13.0,4.0,30.0,54.0,32.0,37.0,15.0,13.0,19.0,6.0,11.0,21.0,9.0,40.0,20.0,17.0,25.0,33.0,25.0,22.0,11.0,10.0,8.0,15.0,7.0,5.0,23.0,3.0,8.0,0.0,23.0,13.0,42.0,53.0,32.0,17.0,12.0,9.0,28.0,27.0,38.0,30.0
m21,4.0,28.0,19.0,53.0,39.0,9.0,16.0,12.0,26.0,4.0,21.0,16.0,2.0,14.0,29.0,3.0,6.0,2.0,12.0,14.0,1.0,26.0,27.0,15.0,38.0,30.0,18.0,46.0,20.0,31.0,23.0,0.0,10.0,27.0,38.0,37.0,22.0,11.0,14.0,41.0,12.0,23.0,15.0
m22,10.0,18.0,9.0,43.0,49.0,19.0,26.0,2.0,16.0,14.0,11.0,6.0,8.0,4.0,35.0,9.0,12.0,12.0,22.0,20.0,11.0,16.0,17.0,5.0,28.0,20.0,8.0,36.0,10.0,21.0,13.0,10.0,0.0,37.0,48.0,27.0,12.0,1.0,4.0,31.0,22.0,33.0,25.0
m23,31.0,55.0,46.0,26.0,12.0,36.0,41.0,39.0,29.0,23.0,48.0,43.0,29.0,41.0,2.0,28.0,25.0,29.0,37.0,17.0,26.0,53.0,52.0,40.0,41.0,49.0,37.0,19.0,45.0,34.0,42.0,27.0,37.0,0.0,11.0,10.0,25.0,36.0,33.0,14.0,15.0,26.0,34.0
m24,42.0,66.0,57.0,37.0,1.0,47.0,30.0,50.0,40.0,34.0,59.0,54.0,40.0,52.0,13.0,39.0,36.0,40.0,26.0,28.0,37.0,64.0,63.0,51.0,52.0,60.0,48.0,30.0,56.0,45.0,53.0,38.0,48.0,11.0,0.0,21.0,36.0,47.0,44.0,25.0,26.0,15.0,23.0
m25,37.0,45.0,36.0,16.0,22.0,46.0,51.0,29.0,19.0,33.0,38.0,33.0,35.0,31.0,8.0,34.0,31.0,39.0,47.0,23.0,36.0,43.0,42.0,30.0,31.0,39.0,27.0,9.0,35.0,24.0,32.0,37.0,27.0,10.0,21.0,0.0,15.0,26.0,23.0,4.0,25.0,36.0,44.0
m26,22.0,30.0,21.0,31.0,37.0,31.0,36.0,14.0,4.0,18.0,23.0,18.0,20.0,16.0,23.0,19.0,16.0,24.0,32.0,8.0,21.0,28.0,27.0,15.0,16.0,24.0,12.0,24.0,20.0,9.0,17.0,22.0,12.0,25.0,36.0,15.0,0.0,11.0,8.0,19.0,10.0,21.0,29.0
m27,11.0,19.0,10.0,42.0,48.0,20.0,25.0,3.0,15.0,13.0,12.0,7.0,9.0,5.0,34.0,8.0,11.0,13.0,21.0,19.0,10.0,17.0,16.0,4.0,27.0,19.0,7.0,35.0,9.0,20.0,12.0,11.0,1.0,36.0,47.0,26.0,11.0,0.0,3.0,30.0,21.0,32.0,24.0
m28,14.0,22.0,13.0,39.0,45.0,23.0,28.0,6.0,12.0,10.0,15.0,10.0,12.0,8.0,31.0,11.0,8.0,16.0,24.0,16.0,13.0,20.0,19.0,7.0,24.0,16.0,4.0,32.0,12.0,17.0,9.0,14.0,4.0,33.0,44.0,23.0,8.0,3.0,0.0,27.0,18.0,29.0,21.0
m29,41.0,41.0,32.0,12.0,26.0,50.0,55.0,33.0,15.0,37.0,34.0,29.0,39.0,27.0,12.0,38.0,35.0,43.0,51.0,27.0,40.0,39.0,38.0,26.0,27.0,35.0,23.0,5.0,31.0,20.0,28.0,41.0,31.0,14.0,25.0,4.0,19.0,30.0,27.0,0.0,29.0,40.0,48.0
m30,16.0,40.0,31.0,41.0,27.0,21.0,26.0,24.0,14.0,8.0,33.0,28.0,14.0,26.0,17.0,13.0,10.0,14.0,22.0,2.0,11.0,38.0,37.0,25.0,26.0,34.0,22.0,34.0,30.0,19.0,27.0,12.0,22.0,15.0,26.0,25.0,10.0,21.0,18.0,29.0,0.0,11.0,19.0
m31,27.0,51.0,42.0,52.0,16.0,32.0,15.0,35.0,25.0,19.0,44.0,39.0,25.0,37.0,28.0,24.0,21.0,25.0,11.0,13.0,22.0,49.0,48.0,36.0,37.0,45.0,33.0,45.0,41.0,30.0,38.0,23.0,33.0,26.0,15.0,36.0,21.0,32.0,29.0,40.0,11.0,0.0,8.0
m32,19.0,43.0,34.0,60.0,24.0,24.0,7.0,27.0,33.0,11.0,36.0,31.0,17.0,29.0,36.0,16.0,13.0,17.0,3.0,21.0,14.0,41.0,40.0,28.0,45.0,37.0,25.0,53.0,33.0,38.0,30.0,15.0,25.0,34.0,23.0,44.0,29.0,24.0,21.0,48.0,19.0,8.0,0.0
