,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26
m14,37.0,18.0,38.0,20.0,40.0,27.0,14.0,28.0,34.0,39.0,23.0,33.0,19.0,35.0,19.0,24.0,30.0,5.0,9.0,24.0,11.0,33.0,16.0,14.0,0.0,4.0,6.0,27.0,37.0,24.0,10.0,23.0,9.0,13.0,15.0,28.0,31.0
m15,33.0,14.0,42.0,24.0,36.0,31.0,10.0,24.0,30.0,35.0,19.0,29.0,15.0,31.0,23.0,28.0,26.0,9.0,5.0,20.0,7.0,29.0,12.0,18.0,4.0,0.0,2.0,23.0,33.0,28.0,14.0,27.0,13.0,9.0,11.0,24.0,27.0
m16,31.0,12.0,44.0,26.0,34.0,33.0,12.0,22.0,28.0,33.0,17.0,27.0,13.0,29.0,25.0,30.0,24.0,11.0,7.0,18.0,5.0,27.0,10.0,20.0,6.0,2.0,0.0,21.0,31.0,30.0,16.0,29.0,15.0,11.0,9.0,26.0,29.0
m17,28.0,9.0,47.0,47.0,31.0,36.0,15.0,1.0,31.0,30.0,14.0,24.0,10.0,26.0,46.0,33.0,27.0,32.0,28.0,15.0,26.0,30.0,13.0,41.0,27.0,23.0,21.0,0.0,28.0,33.0,19.0,32.0,18.0,14.0,12.0,29.0,32.0
m18,8.0,19.0,75.0,47.0,3.0,64.0,43.0,27.0,59.0,2.0,14.0,4.0,18.0,6.0,46.0,61.0,55.0,32.0,28.0,13.0,26.0,58.0,41.0,51.0,37.0,33.0,31.0,28.0,0.0,61.0,47.0,60.0,46.0,42.0,40.0,57.0,60.0
m19,61.0,42.0,14.0,16.0,64.0,31.0,18.0,34.0,38.0,63.0,47.0,57.0,43.0,59.0,15.0,28.0,34.0,29.0,33.0,48.0,35.0,37.0,20.0,10.0,24.0,28.0,30.0,33.0,61.0,0.0,14.0,1.0,15.0,19.0,21.0,32.0,35.0
m20,47.0,28.0,28.0,30.0,50.0,17.0,4.0,20.0,24.0,49.0,33.0,43.0,29.0,45.0,29.0,14.0,20.0,15.0,19.0,34.0,21.0,23.0,6.0,24.0,10.0,14.0,16.0,19.0,47.0,14.0,0.0,15.0,1.0,5.0,7.0,18.0,21.0
m21,60.0,41.0,15.0,15.0,63.0,32.0,19.0,33.0,39.0,62.0,46.0,56.0,42.0,58.0,14.0,29.0,35.0,28.0,32.0,47.0,34.0,38.0,21.0,9.0,23.0,27.0,29.0,32.0,60.0,1.0,15.0,0.0,14.0,18.0,20.0,33.0,36.0
m22,46.0,27.0,29.0,29.0,49.0,18.0,5.0,19.0,25.0,48.0,32.0,42.0,28.0,44.0,28.0,15.0,21.0,14.0,18.0,33.0,20.0,24.0,7.0,23.0,9.0,13.0,15.0,18.0,46.0,15.0,1.0,14.0,0.0,4.0,6.0,19.0,22.0
m23,42.0,23.0,33.0,33.0,45.0,22.0,1.0,15.0,21.0,44.0,28.0,38.0,24.0,40.0,32.0,19.0,17.0,18.0,14.0,29.0,16.0,20.0,3.0,27.0,13.0,9.0,11.0,14.0,42.0,19.0,5.0,18.0,4.0,0.0,2.0,15.0,18.0
m24,40.0,21.0,35.0,35.0,43.0,24.0,3.0,13.0,19.0,42.0,26.0,36.0,22.0,38.0,34.0,21.0,15.0,20.0,16.0,27.0,14.0,18.0,1.0,29.0,15.0,11.0,9.0,12.0,40.0,21.0,7.0,20.0,6.0,2.0,0.0,17.0,20.0
m25,57.0,38.0,18.0,48.0,60.0,7.0,14.0,30.0,6.0,59.0,43.0,53.0,39.0,55.0,47.0,4.0,2.0,33.0,29.0,44.0,31.0,5.0,16.0,42.0,28.0,24.0,26.0,29.0,57.0,32.0,18.0,33.0,19.0,15.0,17.0,0.0,3.0
m26,60.0,41.0,21.0,51.0,63.0,4.0,17.0,33.0,3.0,62.0,46.0,56.0,42.0,58.0,50.0,7.0,5.0,36.0,32.0,47.0,34.0,2.0,19.0,45.0,31.0,27.0,29.0,32.0,60.0,35.0,21.0,36.0,22.0,18.0,20.0,3.0,0.0
