,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125
v11,71.0,35.0,42.0,46.0,50.0,17.0,68.0,21.0,28.0,30.0,0.0,22.0,23.0,57.0,44.0,33.0,23.0,58.0,63.0,9.0,53.0,60.0,63.0,39.0,40.0,47.0,41.0,57.0,64.0,66.0,43.0,44.0,58.0,51.0,45.0,60.0,65.0,53.0,52.0,50.0,52.0,59.0,63.0,57.0,62.0,23.0,31.0,32.0,14.0,16.0,65.0,64.0,29.0,30.0,38.0,39.0,29.0,46.0,40.0,59.0,64.0,24.0,38.0,39.0,54.0,61.0,40.0,41.0,48.0,42.0,41.0,56.0,42.0,43.0,50.0,44.0,40.0,55.0,41.0,42.0,49.0,43.0,28.0,32.0,33.0,34.0,34.0,27.0,25.0,54.0,55.0,56.0,56.0,57.0,32.0,36.0,37.0,38.0,62.0,24.0,19.0,20.0,31.0,37.0,35.0,30.0,28.0,27.0,22.0,23.0,45.0,43.0,47.0,53.0,51.0,49.0,55.0,53.0,17.0,24.0,23.0,40.0,12.0,14.0,46.0,39.0,48.0,44.0,37.0,31.0,46.0,20.0,11.0,13.0,6.0,7.0,21.0,28.0,27.0,20.0,15.0,16.0,19.0,14.0,15.0,8.0
v12,49.0,13.0,20.0,24.0,32.0,11.0,46.0,3.0,12.0,12.0,22.0,0.0,13.0,35.0,22.0,11.0,17.0,36.0,41.0,13.0,31.0,38.0,41.0,17.0,18.0,25.0,19.0,35.0,42.0,44.0,21.0,22.0,36.0,29.0,23.0,38.0,43.0,31.0,30.0,28.0,30.0,37.0,41.0,35.0,40.0,1.0,9.0,10.0,8.0,6.0,43.0,42.0,11.0,8.0,16.0,17.0,7.0,24.0,18.0,37.0,42.0,16.0,16.0,17.0,32.0,39.0,18.0,19.0,26.0,20.0,19.0,34.0,20.0,21.0,28.0,22.0,18.0,33.0,19.0,20.0,27.0,21.0,6.0,10.0,11.0,12.0,12.0,5.0,7.0,32.0,33.0,34.0,34.0,35.0,10.0,14.0,15.0,16.0,40.0,8.0,13.0,12.0,9.0,15.0,13.0,8.0,10.0,11.0,16.0,15.0,23.0,25.0,25.0,31.0,29.0,27.0,33.0,31.0,7.0,2.0,1.0,18.0,10.0,8.0,24.0,17.0,26.0,26.0,19.0,13.0,28.0,2.0,11.0,9.0,16.0,15.0,11.0,6.0,5.0,4.0,9.0,8.0,3.0,8.0,7.0,14.0
v13,48.0,12.0,19.0,35.0,45.0,12.0,45.0,16.0,25.0,25.0,23.0,13.0,0.0,34.0,25.0,24.0,30.0,35.0,40.0,14.0,30.0,37.0,40.0,16.0,17.0,24.0,18.0,34.0,41.0,43.0,20.0,21.0,35.0,28.0,22.0,37.0,42.0,42.0,29.0,31.0,43.0,36.0,40.0,38.0,39.0,14.0,22.0,23.0,9.0,7.0,42.0,41.0,24.0,7.0,15.0,16.0,6.0,23.0,17.0,36.0,41.0,29.0,15.0,16.0,31.0,38.0,17.0,18.0,25.0,19.0,18.0,33.0,19.0,20.0,27.0,21.0,17.0,32.0,18.0,19.0,26.0,20.0,17.0,21.0,22.0,11.0,23.0,18.0,20.0,31.0,32.0,33.0,33.0,34.0,13.0,17.0,18.0,19.0,39.0,21.0,26.0,25.0,20.0,14.0,16.0,21.0,23.0,24.0,29.0,28.0,36.0,38.0,36.0,30.0,32.0,38.0,32.0,34.0,6.0,13.0,12.0,29.0,11.0,9.0,37.0,30.0,39.0,39.0,32.0,26.0,41.0,15.0,12.0,10.0,17.0,16.0,2.0,9.0,8.0,17.0,22.0,21.0,16.0,21.0,20.0,15.0
v14,14.0,22.0,17.0,11.0,19.0,46.0,15.0,36.0,29.0,27.0,57.0,35.0,34.0,0.0,13.0,24.0,34.0,3.0,8.0,48.0,4.0,9.0,10.0,18.0,17.0,10.0,16.0,2.0,7.0,9.0,16.0,15.0,1.0,8.0,14.0,3.0,8.0,16.0,5.0,7.0,17.0,10.0,6.0,12.0,7.0,34.0,26.0,25.0,43.0,41.0,8.0,9.0,28.0,27.0,19.0,18.0,28.0,11.0,17.0,2.0,7.0,33.0,19.0,18.0,3.0,8.0,17.0,16.0,9.0,15.0,16.0,1.0,15.0,14.0,7.0,13.0,17.0,2.0,16.0,15.0,8.0,14.0,29.0,25.0,24.0,23.0,23.0,30.0,32.0,3.0,2.0,1.0,5.0,4.0,25.0,21.0,20.0,19.0,9.0,33.0,38.0,37.0,26.0,20.0,22.0,27.0,29.0,30.0,35.0,34.0,12.0,14.0,10.0,4.0,6.0,12.0,6.0,8.0,40.0,33.0,34.0,17.0,45.0,43.0,11.0,18.0,13.0,13.0,20.0,26.0,15.0,37.0,46.0,44.0,51.0,50.0,36.0,29.0,30.0,37.0,42.0,41.0,38.0,43.0,42.0,49.0
v15,27.0,15.0,16.0,10.0,20.0,33.0,24.0,23.0,16.0,14.0,44.0,22.0,25.0,13.0,0.0,11.0,21.0,14.0,19.0,35.0,9.0,16.0,19.0,11.0,10.0,3.0,9.0,13.0,20.0,22.0,15.0,14.0,14.0,7.0,13.0,16.0,21.0,17.0,8.0,6.0,18.0,15.0,19.0,13.0,18.0,21.0,13.0,12.0,30.0,28.0,21.0,20.0,15.0,18.0,10.0,9.0,19.0,2.0,8.0,15.0,20.0,20.0,12.0,13.0,10.0,17.0,12.0,11.0,4.0,10.0,15.0,12.0,14.0,13.0,6.0,12.0,14.0,11.0,13.0,12.0,5.0,11.0,16.0,12.0,11.0,14.0,10.0,17.0,19.0,10.0,11.0,12.0,12.0,13.0,12.0,8.0,7.0,6.0,18.0,20.0,25.0,24.0,13.0,11.0,9.0,14.0,16.0,17.0,22.0,21.0,11.0,13.0,11.0,9.0,7.0,13.0,11.0,9.0,27.0,20.0,21.0,4.0,32.0,30.0,12.0,5.0,14.0,14.0,7.0,13.0,16.0,24.0,33.0,31.0,38.0,37.0,23.0,16.0,17.0,24.0,29.0,28.0,25.0,30.0,29.0,36.0
v16,38.0,14.0,15.0,13.0,21.0,22.0,35.0,12.0,5.0,3.0,33.0,11.0,24.0,24.0,11.0,0.0,10.0,25.0,30.0,24.0,20.0,27.0,30.0,10.0,9.0,14.0,8.0,24.0,31.0,33.0,14.0,13.0,25.0,18.0,12.0,27.0,32.0,20.0,19.0,17.0,19.0,26.0,30.0,24.0,29.0,10.0,2.0,1.0,19.0,17.0,32.0,31.0,4.0,17.0,9.0,8.0,18.0,13.0,7.0,26.0,31.0,9.0,11.0,12.0,21.0,28.0,11.0,10.0,15.0,9.0,14.0,23.0,13.0,12.0,17.0,11.0,13.0,22.0,12.0,11.0,16.0,10.0,7.0,3.0,2.0,13.0,1.0,6.0,8.0,21.0,22.0,23.0,23.0,24.0,11.0,7.0,6.0,5.0,29.0,9.0,14.0,13.0,4.0,10.0,8.0,3.0,5.0,6.0,11.0,10.0,12.0,14.0,14.0,20.0,18.0,16.0,22.0,20.0,18.0,11.0,12.0,7.0,21.0,19.0,13.0,6.0,15.0,15.0,8.0,2.0,17.0,13.0,22.0,20.0,27.0,26.0,22.0,15.0,16.0,13.0,18.0,17.0,14.0,19.0,18.0,25.0
v17,48.0,20.0,21.0,23.0,27.0,28.0,45.0,14.0,5.0,7.0,23.0,17.0,30.0,34.0,21.0,10.0,0.0,35.0,40.0,16.0,30.0,37.0,40.0,16.0,17.0,24.0,18.0,34.0,41.0,43.0,20.0,21.0,35.0,28.0,22.0,37.0,42.0,30.0,29.0,27.0,29.0,36.0,40.0,34.0,39.0,16.0,8.0,9.0,25.0,23.0,42.0,41.0,6.0,23.0,15.0,16.0,24.0,23.0,17.0,36.0,41.0,1.0,17.0,18.0,31.0,38.0,17.0,18.0,25.0,19.0,20.0,33.0,19.0,20.0,27.0,21.0,19.0,32.0,18.0,19.0,26.0,20.0,13.0,9.0,10.0,19.0,11.0,12.0,10.0,31.0,32.0,33.0,33.0,34.0,17.0,13.0,14.0,15.0,39.0,9.0,4.0,5.0,10.0,16.0,14.0,9.0,7.0,6.0,1.0,2.0,22.0,20.0,24.0,30.0,28.0,26.0,32.0,30.0,24.0,17.0,18.0,17.0,23.0,21.0,23.0,16.0,25.0,21.0,14.0,8.0,23.0,15.0,22.0,20.0,17.0,18.0,28.0,21.0,22.0,13.0,8.0,9.0,14.0,9.0,10.0,15.0
v18,13.0,23.0,20.0,12.0,16.0,47.0,12.0,37.0,30.0,28.0,58.0,36.0,35.0,3.0,14.0,25.0,35.0,0.0,5.0,49.0,5.0,6.0,7.0,19.0,18.0,11.0,17.0,5.0,6.0,8.0,19.0,18.0,4.0,11.0,17.0,2.0,7.0,13.0,6.0,8.0,14.0,7.0,5.0,9.0,4.0,35.0,27.0,26.0,44.0,42.0,7.0,6.0,29.0,28.0,20.0,19.0,29.0,12.0,18.0,1.0,6.0,34.0,20.0,19.0,4.0,5.0,18.0,17.0,10.0,16.0,19.0,4.0,18.0,17.0,10.0,16.0,18.0,3.0,17.0,16.0,9.0,15.0,30.0,26.0,25.0,24.0,24.0,31.0,33.0,4.0,3.0,2.0,2.0,1.0,26.0,22.0,21.0,20.0,6.0,34.0,39.0,38.0,27.0,21.0,23.0,28.0,30.0,31.0,36.0,35.0,13.0,15.0,11.0,5.0,7.0,9.0,3.0,5.0,41.0,34.0,35.0,18.0,46.0,44.0,12.0,19.0,10.0,14.0,21.0,27.0,12.0,38.0,47.0,45.0,52.0,51.0,37.0,30.0,31.0,38.0,43.0,42.0,39.0,44.0,43.0,50.0
v19,8.0,28.0,25.0,17.0,13.0,52.0,7.0,42.0,35.0,33.0,63.0,41.0,40.0,8.0,19.0,30.0,40.0,5.0,0.0,54.0,10.0,3.0,2.0,24.0,23.0,16.0,22.0,10.0,3.0,3.0,24.0,23.0,9.0,16.0,22.0,7.0,2.0,10.0,11.0,13.0,11.0,4.0,2.0,6.0,1.0,40.0,32.0,31.0,49.0,47.0,2.0,1.0,34.0,33.0,25.0,24.0,34.0,17.0,23.0,6.0,1.0,39.0,25.0,24.0,9.0,2.0,23.0,22.0,15.0,21.0,24.0,9.0,23.0,22.0,15.0,21.0,23.0,8.0,22.0,21.0,14.0,20.0,35.0,31.0,30.0,29.0,29.0,36.0,38.0,9.0,8.0,7.0,7.0,6.0,31.0,27.0,26.0,25.0,1.0,39.0,44.0,43.0,32.0,26.0,28.0,33.0,35.0,36.0,41.0,40.0,18.0,20.0,16.0,10.0,12.0,14.0,8.0,10.0,46.0,39.0,40.0,23.0,51.0,49.0,17.0,24.0,15.0,19.0,26.0,32.0,17.0,43.0,52.0,50.0,57.0,56.0,42.0,35.0,36.0,43.0,48.0,47.0,44.0,49.0,48.0,55.0
v20,62.0,26.0,33.0,37.0,41.0,12.0,59.0,12.0,19.0,21.0,9.0,13.0,14.0,48.0,35.0,24.0,16.0,49.0,54.0,0.0,44.0,51.0,54.0,30.0,31.0,38.0,32.0,48.0,55.0,57.0,34.0,35.0,49.0,42.0,36.0,51.0,56.0,44.0,43.0,41.0,43.0,50.0,54.0,48.0,53.0,14.0,22.0,23.0,9.0,7.0,56.0,55.0,20.0,21.0,29.0,30.0,20.0,37.0,31.0,50.0,55.0,15.0,29.0,30.0,45.0,52.0,31.0,32.0,39.0,33.0,32.0,47.0,33.0,34.0,41.0,35.0,31.0,46.0,32.0,33.0,40.0,34.0,19.0,23.0,24.0,25.0,25.0,18.0,16.0,45.0,46.0,47.0,47.0,48.0,23.0,27.0,28.0,29.0,53.0,15.0,12.0,11.0,22.0,28.0,26.0,21.0,19.0,18.0,15.0,14.0,36.0,34.0,38.0,44.0,42.0,40.0,46.0,44.0,8.0,15.0,14.0,31.0,7.0,5.0,37.0,30.0,39.0,35.0,28.0,22.0,37.0,11.0,6.0,4.0,3.0,2.0,12.0,19.0,18.0,11.0,8.0,7.0,10.0,7.0,6.0,1.0
m0,18.0,18.0,19.0,7.0,17.0,42.0,15.0,32.0,25.0,23.0,53.0,31.0,30.0,4.0,9.0,20.0,30.0,5.0,10.0,44.0,0.0,7.0,10.0,14.0,13.0,6.0,12.0,4.0,11.0,13.0,18.0,17.0,5.0,10.0,16.0,7.0,12.0,14.0,1.0,3.0,15.0,8.0,10.0,10.0,9.0,30.0,22.0,21.0,39.0,37.0,12.0,11.0,24.0,23.0,15.0,14.0,24.0,7.0,13.0,6.0,11.0,29.0,15.0,16.0,1.0,8.0,15.0,14.0,7.0,13.0,18.0,3.0,17.0,16.0,9.0,15.0,17.0,2.0,16.0,15.0,8.0,14.0,25.0,21.0,20.0,19.0,19.0,26.0,28.0,1.0,2.0,3.0,3.0,4.0,21.0,17.0,16.0,15.0,9.0,29.0,34.0,33.0,22.0,16.0,18.0,23.0,25.0,26.0,31.0,30.0,8.0,10.0,8.0,2.0,4.0,10.0,4.0,6.0,36.0,29.0,30.0,13.0,41.0,39.0,9.0,14.0,11.0,11.0,16.0,22.0,13.0,33.0,42.0,40.0,47.0,46.0,32.0,25.0,26.0,33.0,38.0,37.0,34.0,39.0,38.0,45.0
m1,11.0,25.0,26.0,14.0,10.0,49.0,8.0,39.0,32.0,30.0,60.0,38.0,37.0,9.0,16.0,27.0,37.0,6.0,3.0,51.0,7.0,0.0,3.0,21.0,20.0,13.0,19.0,11.0,4.0,6.0,25.0,24.0,10.0,17.0,23.0,8.0,5.0,7.0,8.0,10.0,8.0,1.0,3.0,3.0,2.0,37.0,29.0,28.0,46.0,44.0,5.0,4.0,31.0,30.0,22.0,21.0,31.0,14.0,20.0,7.0,4.0,36.0,22.0,23.0,8.0,1.0,22.0,21.0,14.0,20.0,25.0,10.0,24.0,23.0,16.0,22.0,24.0,9.0,23.0,22.0,15.0,21.0,32.0,28.0,27.0,26.0,26.0,33.0,35.0,6.0,7.0,8.0,4.0,5.0,28.0,24.0,23.0,22.0,2.0,36.0,41.0,40.0,29.0,23.0,25.0,30.0,32.0,33.0,38.0,37.0,15.0,17.0,13.0,7.0,9.0,11.0,5.0,7.0,43.0,36.0,37.0,20.0,48.0,46.0,14.0,21.0,12.0,16.0,23.0,29.0,14.0,40.0,49.0,47.0,54.0,53.0,39.0,32.0,33.0,40.0,45.0,44.0,41.0,46.0,45.0,52.0
